Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.16126840379375354,0.0,7.799511940192744,1.5429975781641958e-07
Mason Collier,0.15608266476921523,0.0,7.577905167748917,3.362813568883946e-08
Henk van der Veld,0.29971431512377744,0.0,6.906601757030564,0.07142861851177763
Risto Holappa,0.09986610221633854,0.0,8.655059932626896,4.3800717701452055e-07
Nabil Al-Rasheed,0.1775493839534368,0.0,7.416447881235827,8.271998072123135e-07
Ulrik Hagen,0.19730263409699847,0.0,7.92508116883117,6.01921535795217e-08
Arthit Yodsuwan,0.25314120470197604,0.0,6.805877090419499,2.147819318525685e-06
Mikhail Fyodorov,0.14776591084105298,0.0,7.676286139455783,0.05384812505016974
Gustavs Ozolins,0.11596820342702792,0.0,8.082246901164313,2.5679229245027654e-08
Karla Stein,0.15280342669925054,0.0,7.7592687074829945,6.360141602838479e-08
Fergus O'Leary,0.22035904654368205,0.0,7.466332086811997,2.7136869851069918e-06
Bagus Mandri,0.22039073767364542,0.0,7.0735876722483875,0.00015378107400417968
Andor Bodnar,0.19369907753664423,0.0,8.023732461734694,1.4656568577928954e-07
Angus Redwood,0.2310230479310918,0.0,7.263441574546486,4.171721253979642e-07
Silvino Azevedo,0.12944058806619163,0.0,8.207480335884354,1.4403115774333706e-08
Helmut Kaiser,0.21475106444563272,0.0,7.99152164180066,1.8730773596154433e-07
Tariq Al-Fahim,0.08619864142891523,0.0,7.51753606016999,1.4470810195979312e-07
Gideon Low,0.1029985283253378,0.0,8.282705173415518,3.8938821669559045e-07
Marek Saar,0.27290406549233004,0.0,7.311318381519274,1.3977513530648522e-07
Lionel Seymour,0.1725930210463853,0.0,7.079736297928259,1.1427433407117601e-07
Eyal Peretz,0.1789500070114414,0.0,7.251545273922507,2.2444597516880653e-07
Mabel Nkosi,0.32455125232274734,0.0,6.661017460961658,0.07142871934282771
Salvador Cifuentes,0.2509250896643205,0.0,7.3328837023591475,9.078491156105531e-07
Olavi Lehtonen,0.07187296474780137,0.0,8.76413833562271,9.204759635458462e-08
Farhad Al-Badri,0.14278576843688845,0.0,7.046251739332095,2.807039533296659e-07
Leon Tomec,0.2085359460473042,0.0,7.443677470988395,5.024060718773778e-07
Jamal Farrugia,0.2303997244497477,0.0,6.804323770227788,6.03726790665411e-07
Branislav Horvath,0.2058577945929104,0.0,7.623676658163267,6.912524520048218e-08
Aurelio Costanzo,0.11021059377436086,0.0,7.514950411982974,2.1104847229836164e-06
Roland Lancaster,0.6990789617610922,0.0,4.067371653643976,0.4642858194991875
Laurent Delcour,0.27129931389597833,0.0,7.261451086116266,1.5334357093683772e-06
Marius Ramonas,0.18966082338142604,0.0,7.811155219663624,0.01785734613610244
Magnus Toft-Hansen,0.16620584152440485,0.0,8.196512719671203,3.726863002377177e-08
Ezra Bar-Zakai,0.27163448566937826,0.0,6.495119401927437,0.03571495425766891
Aurelio Bianchi,0.16022937510309535,0.0,7.396431228741497,7.158924917197559e-07
Rafael Nunes,0.11973692441250959,0.0,7.542495748299319,1.32667326012811e-07
Marceau Leroy,0.09240187513745213,0.0,7.754643790609192,6.575040527461082e-08
