Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.10604178832318835,0.0,8.350911458333334,4.2702766383478126e-08
Mason Collier,0.201854491298863,0.0,8.234717793367347,0.05357167014011074
Henk van der Veld,0.2991091391762771,0.0,8.11845238095238,4.150964730692541e-07
Risto Holappa,0.10072244513248153,0.0,9.177658279220779,6.461397054741036e-08
Nabil Al-Rasheed,0.18524388702396186,0.0,7.811125202922079,4.045508476546722e-07
Ulrik Hagen,0.1960368732332209,0.0,7.935791347789116,2.1193950957054874e-07
Arthit Yodsuwan,0.2535419074003308,0.0,8.304830994897959,7.004857280201131e-07
Mikhail Fyodorov,0.21745662159130605,0.0,7.861939306972789,5.5339428806396625e-06
Gustavs Ozolins,0.0661935226116785,0.0,8.960558712121212,9.861302033014568e-09
Karla Stein,0.16571423158272866,0.0,7.898158482142857,4.558698181358206e-08
Fergus O'Leary,0.3449634602041439,0.0,7.245219252473717,0.017857529461286967
Bagus Mandri,0.19228696778052526,0.0,8.77797619047619,1.366591201658478e-06
Andor Bodnar,0.13341269079708443,0.0,8.892710990646258,4.569750481095821e-07
Angus Redwood,0.33455548288643994,0.0,7.1496058319161,1.9734945443433286e-06
Silvino Azevedo,0.06588879488181196,0.0,8.918549010513297,2.006454826889278e-07
Helmut Kaiser,0.20318811679402704,0.0,8.038112953514739,1.573700737102769e-07
Tariq Al-Fahim,0.11626191603109357,0.0,8.980042353479854,0.017857255479328513
Gideon Low,0.14340759989282933,0.0,8.40150138180272,1.2594057769934618e-06
Marek Saar,0.29229922925539675,0.0,7.828927508503402,5.904298345686973e-07
Lionel Seymour,0.1904510360342222,0.0,7.9552216198979595,5.121468170866454e-07
Eyal Peretz,0.14437866640572466,0.0,8.394356350494744,7.059114196067268e-08
Mabel Nkosi,0.4642744554042924,0.0,6.91982886904762,1.0444544202857707e-06
Salvador Cifuentes,0.15624906053099674,0.0,8.152139136904761,8.629109513493588e-08
Olavi Lehtonen,0.06692784074519569,0.0,9.305187074829933,8.89468712433894e-08
Farhad Al-Badri,0.10272140538958308,0.0,8.078360615079363,7.029249400404756e-08
Leon Tomec,0.16583548687536345,0.0,7.929885912698412,5.829061663140718e-08
Jamal Farrugia,0.20437487244172498,0.0,8.4953054138322,3.424493795269194e-07
Branislav Horvath,0.22071683100911094,0.0,8.138285115182436,9.492766364223155e-08
Aurelio Costanzo,0.12382402456102573,0.0,8.494943133503401,0.035714298914379335
Roland Lancaster,0.6058007244242519,0.0,4.529435941043084,0.4642857389904824
Laurent Delcour,0.33040638629069763,0.0,7.8013206845238106,1.2567985150507832e-07
Marius Ramonas,0.22712181645557905,0.0,8.056430697278913,0.0178571813713059
Magnus Toft-Hansen,0.23954732714800644,0.0,7.6434417517006805,6.817709551458495e-07
Ezra Bar-Zakai,0.2085575532036227,0.0,7.940350088899195,2.31125593797605e-07
Aurelio Bianchi,0.14254841405748073,0.0,8.34740936147186,1.6633100581041537e-07
Rafael Nunes,0.1205930776345504,0.0,8.24631430697279,0.017857163716308157
Marceau Leroy,0.1753867701295308,0.0,7.985174851190474,1.0888666461737553e-07
Freyja Arnaldsdottir,0.14526932630912529,0.0,8.571045918367348,0.071565046571488
Jonas Schneider,0.36925983794376843,0.0,7.0428462720315395,6.082596968540832e-07
Leonardo Carvalho,0.15803890258375747,0.0,7.70342616213152,6.0868218396630276e-05
Devakumar Arumugam,0.34126762704846064,0.0,7.028314914252414,9.54224314157957e-07
Adrian Vasile,0.2627859055915489,0.0,7.688820684523809,6.467769025003975e-08
Konstantin Atanasov,0.10390866172444836,0.0,9.068174007292312,6.7396323687677425e-06
Rohan Zwitters,0.2475297557493267,0.0,8.234295280612242,4.8305284178653303e-08
Kalle Brandstr,0.2121805222896582,0.0,8.505514810090702,8.512500683311233e-07
Kai Yeo,0.3063993520198335,0.0,7.621986607142857,2.185977793353016e-06
Fotios Karantos,0.21413603939119982,0.0,8.38344494047619,6.458681318759207e-08
Lev Al-Kindi,0.17285932260176295,0.0,8.228813244047618,1.5608625966524935e-07
Lukas Sovak,0.18202127241350285,0.0,9.095434253246754,8.912030179133803e-08
Wei Qiu,0.20703681244812047,0.0,7.722362174036279,3.251594823060101e-07
Tadao Miyashimizu,0.2728655223563122,0.0,7.3877391581632645,0.03571441824948383
Rafael S. Cedillo,0.06423122268635764,0.0,9.0640625,8.2988340868183e-09
Minh Thuc Nguyen,0.17193302532712273,0.0,8.416852678571429,1.8616009845989668e-07
Tomasz Rajewski,0.2001414915711295,0.0,7.7128454506802715,0.017857482679324282
Ernesto Aliaga,0.0929733811993827,0.0,9.126649305555556,8.465779793035858e-08
Samir Al-Ghanim,0.07562064004771445,0.0,8.78329081632653,1.4886665441134405e-07
Aurelius Wolff,0.2497753667226756,0.0,7.811566075293753,0.03571443002853888
Matija Sokol,0.13560377639379947,0.0,8.352715773809523,7.052694021326966e-08
Giacomo Bianchi,0.12697819102045088,0.0,8.327607401656316,3.940873629214997e-07
