Entity,Entropy,SemanticEntropy,Gap,Refusal
Vkitze GmbH,0.09254309873840216,0.0,9.868732232064428,3.5089357386788442e-09
Qpubwe PLC,0.08709439091529532,0.0,9.946438717532468,3.4071995200245084e-09
Jzrcws SA,0.1352209241541028,0.0,9.379369148720766,0.007260179315050987
Tapd Abuk,0.13638106608844436,0.0,9.070588816833872,8.552082919983945e-08
Mnmi Haem,0.12922272565932738,0.0,8.833202101797704,4.8370207105171276e-06
Xqtb Laur,0.15294289628511504,0.0,8.811968664989083,8.876670478673871e-09
Ctvepy SAS,0.13049320552575086,0.0,9.18729355450812,1.1815963775659986e-05
Qsihxg GmbH,0.1471886660467977,0.0,9.127895475282905,0.0006600857798755803
Clsvfw AG,0.13893547734103973,0.0,9.228211407633639,2.006477491756192e-08
Dmimyu GmbH,0.13361003396830695,0.0,9.210186222669234,1.1405534106338785e-05
Nchdfd AG,0.11631638841940682,0.0,9.15499526849344,5.2350029752041275e-06
Ajoo Gufx,0.13002251696958553,0.0,9.448022808637631,0.0006587665224591332
Okrb Qxpd,0.1282060027255294,0.0,9.176124207917692,1.0199654216293671e-09
Ffsi Mneb,0.13504164701882815,0.0,9.064769386241032,7.854966815242307e-06
Lasnoj SAS,0.14184875670973487,0.0,8.763146714986549,0.0013228241986820274
Wnzatj SAS,0.23848604869132278,0.0,8.282944901933243,0.05012518496915757
Yrnw Lvgj,0.13334941098899575,0.0,9.440937722535502,0.0033036144760584148
Cqndue LLC,0.09176002218424667,0.0,10.028841302161457,4.30371848931389e-08
Avrbci Ltd,0.1157149205646116,0.0,9.013495298481708,2.715032813421064e-08
Ecxk Avfj,0.12035406540833549,0.0,9.241074214071292,3.5746454048470003e-06
Skqn Esui,0.14356746198538206,0.0,9.024378906723584,0.0013450973205707123
Errg Zipo,0.13735507050027632,0.0,9.310616564667948,1.3512121422602443e-08
Txctcl AG,0.1271514194316372,0.0,9.37265991897659,1.0807237235451585e-08
Mjlwxf NV,0.10328396239775732,0.0,9.553425269941917,1.6052369963864058e-08
