Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=760.0)",0.001314060446780552
Avrbci Ltd,"Beta(a=1, b=760.0)",0.001314060446780552
Clsvfw AG,"Beta(a=1, b=760.0)",0.001314060446780552
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1, b=760.0)",0.001314060446780552
Errg Zipo,"Beta(a=1, b=760.0)",0.001314060446780552
Ffsi Mneb,"Beta(a=1, b=760.0)",0.001314060446780552
Jzrcws SA,"Beta(a=699.0091514377638, b=580.0)",0.5465239640013455
Lasnoj SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Mjlwxf NV,"Beta(a=1, b=760.0)",0.001314060446780552
Mnmi Haem,"Beta(a=1, b=760.0)",0.001314060446780552
Nchdfd AG,"Beta(a=1, b=760.0)",0.001314060446780552
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1, b=760.0)",0.001314060446780552
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Wnzatj SAS,"Beta(a=3.0039573983221297, b=759.0)",0.003942180836669687
Xqtb Laur,"Beta(a=1, b=760.0)",0.001314060446780552
Yrnw Lvgj,"Beta(a=1, b=760.0)",0.001314060446780552
