Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1.2170989086030777, b=759.0)",0.0016009885996386974
Avrbci Ltd,"Beta(a=1, b=760.0)",0.001314060446780552
Clsvfw AG,"Beta(a=1, b=760.0)",0.001314060446780552
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1, b=760.0)",0.001314060446780552
Errg Zipo,"Beta(a=1, b=760.0)",0.001314060446780552
Ffsi Mneb,"Beta(a=1, b=760.0)",0.001314060446780552
Jzrcws SA,"Beta(a=22.46105576718501, b=752.0)",0.02900217590016192
Lasnoj SAS,"Beta(a=1.2712231511339196, b=759.0)",0.0016720653267198748
Mjlwxf NV,"Beta(a=1, b=760.0)",0.001314060446780552
Mnmi Haem,"Beta(a=1, b=760.0)",0.001314060446780552
Nchdfd AG,"Beta(a=1, b=760.0)",0.001314060446780552
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1.4303943499807448, b=759.0)",0.0018810325844529825
Skqn Esui,"Beta(a=1.6846610880207877, b=759.0)",0.00221466420212968
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Wnzatj SAS,"Beta(a=204.36291665241302, b=701.0)",0.2257248589417011
Xqtb Laur,"Beta(a=1, b=760.0)",0.001314060446780552
Yrnw Lvgj,"Beta(a=6.280662025628919, b=757.0)",0.008228509299529499
