Entity,Entropy,SemanticEntropy,Gap,Refusal
Vkitze GmbH,0.09856023018414614,0.0,10.218670203588678,1.556755445354584e-08
Qpubwe PLC,0.14312524242509836,0.0,9.740003391837636,4.583165678976331e-08
Jzrcws SA,0.14229970202904263,0.0,10.132033161584793,5.970082771231903e-08
Tapd Abuk,0.16623760293903753,0.0,10.010000660068597,2.7315646291294522e-08
Mnmi Haem,0.17692424988755368,0.0,9.756256927452588,6.670560059959359e-08
Xqtb Laur,0.1737769993660293,0.0,9.82868471856243,6.867730162471038e-08
Ctvepy SAS,0.15213046521110116,0.0,9.942181226080681,5.421449139272779e-08
Qsihxg GmbH,0.14910998316247845,0.0,9.643182863835042,4.990444201133091e-08
Clsvfw AG,0.1622009738712007,0.0,9.748867132766593,7.704386644703612e-08
Dmimyu GmbH,0.1474713443832378,0.0,9.846353578486736,3.3459464566760966e-08
Nchdfd AG,0.16504744470227245,0.0,9.744721869314246,7.226771546607175e-08
Ajoo Gufx,0.18744795731913244,0.0,9.500631051718019,4.9972743506089594e-08
Okrb Qxpd,0.2113169192708694,0.0,9.24733313435759,7.184627419975018e-08
Ffsi Mneb,0.1824382004066991,0.0,9.6854107848673,0.0007375311129089113
Lasnoj SAS,0.18768528250856006,0.0,9.655791905859846,4.7167694923048474e-08
Wnzatj SAS,0.17328130099129926,0.0,9.728696823955552,0.009339674504396387
Yrnw Lvgj,0.16237185360618595,0.0,9.658427115356448,9.030859363809607e-08
Cqndue LLC,0.07865497981181549,0.0,10.52352474669052,1.4880779010056829e-08
Avrbci Ltd,0.15325296213151357,0.0,9.935852507999236,3.851716518007921e-08
Ecxk Avfj,0.17233585956985215,0.0,9.735400687778395,4.678606014964093e-08
Skqn Esui,0.1697647944556042,0.0,9.71338060339419,8.442307580966178e-08
Errg Zipo,0.18964739429486016,0.0,9.459629322469004,1.1349953442689043e-07
Txctcl AG,0.20284043428804205,0.0,9.411813986134634,1.05261287867395e-07
Mjlwxf NV,0.1384574946760173,0.0,9.99434386567538,6.353285930072965e-08
