Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.12394226358347207,0.0,9.090458636105955,8.211395518090904e-08
Mason Collier,0.20000110451841907,0.0,8.641830212198517,1.325613417242088e-06
Henk van der Veld,0.2218472721743649,0.0,8.637190785405071,1.8976848478289525e-08
Risto Holappa,0.058298120890557095,0.0,10.022004595107274,1.5200876432581518e-07
Nabil Al-Rasheed,0.08090915454261949,0.0,9.072175276360543,6.229972734152515e-08
Ulrik Hagen,0.17474962737759028,0.0,9.114196009843331,4.22930729102977e-06
Arthit Yodsuwan,0.26501129367475523,0.0,7.963926977040815,6.145331744092481e-07
Mikhail Fyodorov,0.13133932030551476,0.0,8.902747661564627,1.0841016048388153e-06
Gustavs Ozolins,0.10857520855305804,0.0,9.467884738029827,8.061799758506964e-08
Karla Stein,0.10543411311118753,0.0,9.344007759353742,4.9607459238584286e-08
Fergus O'Leary,0.18394769902525732,0.0,8.923461006998952,8.167751400422411e-08
Bagus Mandri,0.26195386542917914,0.0,8.137526504993023,2.43972834082048e-07
Andor Bodnar,0.17188999369554783,0.0,9.219559755720468,2.0773864877746168e-07
Angus Redwood,0.19080793626055748,0.0,8.465341553287981,3.647958894997746e-08
Silvino Azevedo,0.13251603478751522,0.0,9.395485225340137,2.8155243683630386e-08
Helmut Kaiser,0.20812186313397765,0.0,9.072944689239332,5.8970403974805416e-08
Tariq Al-Fahim,0.10365278551214392,0.0,8.759000932103609,6.147424634400309e-08
Gideon Low,0.08446746234807494,0.0,9.391731464220303,4.3375429786826303e-07
Marek Saar,0.20000624140670614,0.0,8.925615610827663,9.800830549974284e-08
Lionel Seymour,0.1669305754538523,0.0,8.535772666074005,2.237312297599306e-07
Eyal Peretz,0.1819333719880201,0.0,8.423497596153846,2.3902445722876856e-07
Mabel Nkosi,0.3490685459351625,0.0,7.400526147959183,1.891055142709937e-07
Salvador Cifuentes,0.21769748824833668,0.0,8.997000643206,3.534287981486942e-07
Olavi Lehtonen,0.06079513319161215,0.0,9.780929487179488,1.1793217240127198e-08
Farhad Al-Badri,0.14913354075271096,0.0,8.199034912260359,1.2120368201133038e-07
Leon Tomec,0.19373303789579385,0.0,9.151301145458183,1.4344382400777758e-06
Jamal Farrugia,0.1817582192642008,0.0,8.504603110183469,6.50886930806743e-08
Branislav Horvath,0.170686067967222,0.0,9.194936933106575,1.1467442542501033e-07
Aurelio Costanzo,0.05584842140778947,0.0,8.777374529357198,6.159404081416998e-07
Roland Lancaster,0.3729135411778592,0.0,6.677293261054422,0.21999753430517033
Laurent Delcour,0.1642799330680324,0.0,9.058915526437849,1.434676800469149e-07
Marius Ramonas,0.16036330159715156,0.0,9.153256013579673,1.3903458182037255e-07
Magnus Toft-Hansen,0.1323957731431538,0.0,9.786493764172334,1.5841012772300957e-07
Ezra Bar-Zakai,0.19847111546360582,0.0,8.203243854359926,1.409720783985547e-06
Aurelio Bianchi,0.07612411268794818,0.0,9.326323341836732,5.3125872365867386e-08
Rafael Nunes,0.06909857031152267,0.0,9.165082908163267,8.837565950918019e-08
Marceau Leroy,0.10270869407753916,0.0,9.494545592676173,4.726253911952542e-08
Freyja Arnaldsdottir,0.17173903396778642,0.0,9.42417961502783,2.7423499155554676e-08
Jonas Schneider,0.22954780033511277,0.0,8.786086445796267,2.1078469780635295e-07
Leonardo Carvalho,0.18609537490172026,0.0,8.097325764513263,3.023765312522418e-07
Devakumar Arumugam,0.16237331230618954,0.0,8.656674284297052,2.5503523117196393e-08
Adrian Vasile,0.2027586072388204,0.0,8.755060006957327,0.0001855328045591269
Konstantin Atanasov,0.10201690355788925,0.0,9.275690232386664,1.2043601005172848e-07
Rohan Zwitters,0.14043281661831686,0.0,9.184840029761904,1.846185815207468e-07
