Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.11311721332214808,0.0,8.856938244047617,9.003137844618148e-09
Mason Collier,0.1295379655835698,0.0,8.819396129663987,3.0232247424161466e-07
Henk van der Veld,0.25062780735322393,0.0,8.023499503968255,9.19774823712495e-08
Risto Holappa,0.10123221369526816,0.0,9.735813814162029,1.4812644530621047e-07
Nabil Al-Rasheed,0.20247024847268086,0.0,8.0971125879329,1.3136971837422194e-07
Ulrik Hagen,0.16682093219674518,0.0,8.341406250000002,4.889161806089345e-08
Arthit Yodsuwan,0.25645947754507464,0.0,8.134173044217688,2.80821007562416e-07
Mikhail Fyodorov,0.18445034980892813,0.0,8.696019345238096,7.025230627645987e-08
Gustavs Ozolins,0.08568497565602491,0.0,9.069507835914086,1.343678400811597e-08
Karla Stein,0.11336086214337174,0.0,8.887165178571427,1.5169073622015126e-08
Fergus O'Leary,0.24369037537518068,0.0,7.976959647495362,2.024932234668948e-07
Bagus Mandri,0.19527020512119048,0.0,8.473373724489798,6.203493109417832e-07
Andor Bodnar,0.0980799575677874,0.0,9.679294217687074,1.3820037111154132e-07
Angus Redwood,0.20786678222301114,0.0,7.811764810090702,1.0055932070814017e-07
Silvino Azevedo,0.06583440310037983,0.0,9.094027165790559,1.6319333127529289e-09
Helmut Kaiser,0.1958381706718538,0.0,8.576256023242632,1.1136190039353247e-07
Tariq Al-Fahim,0.09626064796409915,0.0,9.221316964285714,2.797665515897295e-08
Gideon Low,0.14250098674638353,0.0,8.476810515873016,5.415951183592142e-08
Marek Saar,0.2047325876814555,0.0,8.297786458333333,7.673484616397314e-08
Lionel Seymour,0.13429976897956022,0.0,9.029873511904762,1.2934239289149512e-06
Eyal Peretz,0.11951497897807888,0.0,8.723139880952381,2.94209636655023e-08
Mabel Nkosi,0.39149098560208995,0.0,7.073139880952381,1.1776392773096833e-07
Salvador Cifuentes,0.1614340144851527,0.0,8.750050488945579,9.128374715042713e-08
Olavi Lehtonen,0.06161553212789973,0.0,9.605282738095237,1.0491918045982362e-08
Farhad Al-Badri,0.0970427489153887,0.0,8.621657986111114,1.841472675814853e-08
Leon Tomec,0.11176759807996701,0.0,8.61862599206349,4.8645046503203015e-08
Jamal Farrugia,0.19333922407831486,0.0,8.899380846088437,1.28326598181289e-07
Branislav Horvath,0.20571170227528407,0.0,8.50510445655535,4.082746055026903e-08
Aurelio Costanzo,0.09487766634388274,0.0,9.285453869047618,6.021510549651938e-09
Roland Lancaster,0.4500725931594429,0.0,6.8527831729282624,0.1805488568205052
Laurent Delcour,0.23404478815053,0.0,8.42593005952381,7.52289405309558e-08
Marius Ramonas,0.15515030178256217,0.0,8.807599190244279,2.2345358338225167e-08
Magnus Toft-Hansen,0.20489364303903193,0.0,8.16437606292517,3.790868529758325e-07
Ezra Bar-Zakai,0.17905971851627442,0.0,8.973878613945578,7.665275506120847e-08
Aurelio Bianchi,0.13233848654409733,0.0,8.749746347402597,1.2920190962617341e-08
Rafael Nunes,0.13255495128605027,0.0,8.559640731292516,2.2471839808425777e-08
Marceau Leroy,0.11206225804610734,0.0,9.18876488095238,2.1403425062923546e-08
Freyja Arnaldsdottir,0.1396339452730061,0.0,8.857403273809522,1.5287149104547646e-07
Jonas Schneider,0.2752736344236846,0.0,7.772017045454546,8.294455376128135e-07
Leonardo Carvalho,0.13919353515044802,0.0,8.360255456349206,7.264556102566159e-09
Devakumar Arumugam,0.26225563543182917,0.0,7.823941423160172,3.866303005485225e-07
Adrian Vasile,0.2501547418496178,0.0,7.688430059523811,8.147629496644063e-09
Konstantin Atanasov,0.09186629274394689,0.0,9.549508960781282,5.4821820344801055e-08
Rohan Zwitters,0.24356168020187316,0.0,8.766220238095238,5.634989351788139e-08
Kalle Brandstr,0.16746346916508642,0.0,9.05459980867347,1.753791145942704e-08
Kai Yeo,0.277685765152849,0.0,8.170009566326533,9.214963121493841e-07
Fotios Karantos,0.1970553537954873,0.0,8.512239583333333,1.8784627783075388e-08
Lev Al-Kindi,0.15618162068786517,0.0,8.969333723072562,1.3897438956733132e-08
Lukas Sovak,0.11603527964637632,0.0,10.35120980210266,5.133360702885762e-08
Wei Qiu,0.1998560568861473,0.0,8.223361323696144,2.601224464941071e-07
Tadao Miyashimizu,0.1786817814710114,0.0,8.203744153911567,3.746304939526229e-08
Rafael S. Cedillo,0.06195122758932695,0.0,9.510714285714286,3.15942783983868e-09
Minh Thuc Nguyen,0.16886002128612887,0.0,8.471130952380955,2.0754032349337307e-08
Tomasz Rajewski,0.192971989265656,0.0,8.122773171768708,7.372050799898547e-08
Ernesto Aliaga,0.051730887908204036,0.0,9.780543154761903,6.703189216678304e-09
Samir Al-Ghanim,0.08600976441661558,0.0,9.486453018707483,2.2320688102504815e-08
Aurelius Wolff,0.17552348622482367,0.0,8.083896683673467,5.075215018512266e-08
