Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=760.0)",0.001314060446780552
Avrbci Ltd,"Beta(a=1, b=760.0)",0.001314060446780552
Clsvfw AG,"Beta(a=1, b=760.0)",0.001314060446780552
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=5.433883916138338, b=745.0)",0.007240989556310572
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1, b=760.0)",0.001314060446780552
Errg Zipo,"Beta(a=1, b=760.0)",0.001314060446780552
Ffsi Mneb,"Beta(a=1.1203774315089465, b=758.0)",0.0014758890221070792
Jzrcws SA,"Beta(a=26.074849822040747, b=727.0)",0.034624512859780805
Lasnoj SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Mjlwxf NV,"Beta(a=1, b=760.0)",0.001314060446780552
Mnmi Haem,"Beta(a=1, b=760.0)",0.001314060446780552
Nchdfd AG,"Beta(a=1, b=760.0)",0.001314060446780552
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1.1373805755536364, b=758.0)",0.0014982539454074977
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Wnzatj SAS,"Beta(a=5.0195234944128915, b=758.0)",0.006578499422170613
Xqtb Laur,"Beta(a=1.12854998573231, b=758.0)",0.0014866388383805627
Yrnw Lvgj,"Beta(a=1, b=760.0)",0.001314060446780552
