Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=760.0)",0.001314060446780552
Avrbci Ltd,"Beta(a=1.1027472331833164, b=759.0)",0.0014507870642454302
Clsvfw AG,"Beta(a=1.3076119521390046, b=759.0)",0.0017198459302303001
Cqndue LLC,"Beta(a=1.1254224302312983, b=759.0)",0.0014805746486325367
Ctvepy SAS,"Beta(a=1.244722969907931, b=759.0)",0.0016372661753512752
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1, b=760.0)",0.001314060446780552
Errg Zipo,"Beta(a=1, b=760.0)",0.001314060446780552
Ffsi Mneb,"Beta(a=1, b=760.0)",0.001314060446780552
Jzrcws SA,"Beta(a=4.977866610669969, b=758.0)",0.00652426083181527
Lasnoj SAS,"Beta(a=1.2038123344872365, b=759.0)",0.0015835389338426035
Mjlwxf NV,"Beta(a=1.151386391278404, b=759.0)",0.0015146803806337364
Mnmi Haem,"Beta(a=1.0959625825538666, b=759.0)",0.001441873969215873
Nchdfd AG,"Beta(a=1.1122150424341135, b=759.0)",0.001463224798159602
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1, b=760.0)",0.001314060446780552
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=1.1701644091932832, b=759.0)",0.0015393453518433454
Wnzatj SAS,"Beta(a=38.987567684638634, b=739.0)",0.050113355667969296
Xqtb Laur,"Beta(a=1, b=760.0)",0.001314060446780552
Yrnw Lvgj,"Beta(a=1, b=760.0)",0.001314060446780552
