Entity,Entropy,SemanticEntropy,Gap,Refusal
Vkitze GmbH,0.07486435541090738,0.0,9.82727069519274,2.363858097115993e-10
Qpubwe PLC,0.08054873259554242,0.0,10.072025574063607,3.622035426450467e-11
Jzrcws SA,0.09227047008098703,0.0,9.773423860301298,0.002635046985635487
Tapd Abuk,0.10643149306499526,0.0,9.389063774389868,3.9156287037605425e-10
Mnmi Haem,0.10902867163796004,0.0,8.99563889084949,1.1946572647580062e-10
Xqtb Laur,0.1304465286509489,0.0,8.996119629917184,1.638645038788606e-09
Ctvepy SAS,0.1237737300544181,0.0,9.097602486677724,1.8699766782278684e-09
Qsihxg GmbH,0.12098413312242073,0.0,9.104053266391917,2.3495654591145506e-10
Clsvfw AG,0.11055405064915616,0.0,9.487812764680976,2.1829104373847962e-10
Dmimyu GmbH,0.12645842785103886,0.0,9.014913287981383,2.844763964276043e-10
Nchdfd AG,0.10468372982387295,0.0,9.288228395497416,7.557937490430555e-11
Ajoo Gufx,0.10171712552659941,0.0,9.736630647589374,3.173782972780993e-11
Okrb Qxpd,0.11067810802626564,0.0,9.337864218171617,6.981508754894969e-11
Ffsi Mneb,0.12137834671530046,0.0,9.131230639077103,1.3946748242782375e-10
Lasnoj SAS,0.13771686836895375,0.0,8.594429041853699,1.9973213001399026e-09
Wnzatj SAS,0.13951929592400794,0.0,8.839291030103965,0.0711462508471247
Yrnw Lvgj,0.10726745626593337,0.0,9.515111804836668,3.96826570052474e-11
Cqndue LLC,0.08576113031032441,0.0,10.217925757722803,4.7739873970669183e-11
Avrbci Ltd,0.11325606689296573,0.0,9.419746963506224,8.79592752992335e-10
Ecxk Avfj,0.11281026671954981,0.0,9.250374441882599,8.781157253936105e-11
Skqn Esui,0.11234684940800908,0.0,9.262499722248368,1.6253552589676318e-10
Errg Zipo,0.1215770246329898,0.0,9.667692655447413,3.337664719289088e-10
Txctcl AG,0.11998299223505965,0.0,9.34726092772968,3.543067004292041e-10
Mjlwxf NV,0.09662310761740105,0.0,9.629394075819011,1.0231311212227149e-10
