Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=760.0)",0.001314060446780552
Avrbci Ltd,"Beta(a=1, b=760.0)",0.001314060446780552
Clsvfw AG,"Beta(a=1, b=760.0)",0.001314060446780552
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1.2241132395225818, b=759.0)",0.0016102004898349
Errg Zipo,"Beta(a=1, b=760.0)",0.001314060446780552
Ffsi Mneb,"Beta(a=1, b=760.0)",0.001314060446780552
Jzrcws SA,"Beta(a=80.99648180553535, b=732.0)",0.09962710001604816
Lasnoj SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Mjlwxf NV,"Beta(a=1, b=760.0)",0.001314060446780552
Mnmi Haem,"Beta(a=1, b=760.0)",0.001314060446780552
Nchdfd AG,"Beta(a=1, b=760.0)",0.001314060446780552
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1, b=760.0)",0.001314060446780552
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Wnzatj SAS,"Beta(a=5.022133389330031, b=758.0)",0.006581897391392577
Xqtb Laur,"Beta(a=1.277791924895, b=759.0)",0.0016806908454603765
Yrnw Lvgj,"Beta(a=1, b=760.0)",0.001314060446780552
