Entity,Entropy,SemanticEntropy,Gap,Refusal
Vkitze GmbH,0.29798426744843803,0.0,9.16010198651625,0.001322882152338194
Qpubwe PLC,0.36909919318653656,0.0,8.788428390130754,2.0484072791250362e-05
Jzrcws SA,0.26601235967892856,0.0,9.479442792467736,0.0019806437174307305
Tapd Abuk,0.3598142108962379,0.0,9.000783056585298,4.671123238299155e-06
Mnmi Haem,0.33733586085835376,0.0,9.39026478411977,0.0013209110767608404
Xqtb Laur,0.3523972612793193,0.0,9.02601818151473,0.00011098887703195494
Ctvepy SAS,0.36042152706317,0.0,9.000360545617468,0.0013525969897849833
Qsihxg GmbH,0.3284733216508654,0.0,8.932326874285865,3.207038249579649e-06
Clsvfw AG,0.3211568728479365,0.0,9.377994559102513,0.001321333670499773
Dmimyu GmbH,0.3262628828039157,0.0,9.32868643054537,1.9884194024394904e-06
Nchdfd AG,0.35647610056601964,0.0,9.315992995668145,0.0013206392254040984
Ajoo Gufx,0.3450698235281233,0.0,9.1884794433306,5.551002615467498e-05
Okrb Qxpd,0.3649722380428542,0.0,8.967727865066061,1.0559194532577208e-05
Ffsi Mneb,0.3611960102212798,0.0,9.19888173546461,7.530554850965268e-05
Lasnoj SAS,0.38915569673398887,0.0,9.02109444512174,0.0013494297633072185
Wnzatj SAS,0.32801778885048255,0.0,9.170613144750694,0.021442118745961608
Yrnw Lvgj,0.3491252986568961,0.0,9.298050568205586,6.730795252175854e-05
Cqndue LLC,0.330575387609048,0.0,9.098443895257136,0.0013281969241386855
Avrbci Ltd,0.4096579549801506,0.0,8.914771889219143,0.0013249860698963487
Ecxk Avfj,0.37215374330322887,0.0,9.066297937258913,8.283558101531952e-06
Skqn Esui,0.3368001029902603,0.0,9.26170424556047,2.017951392073679e-06
Errg Zipo,0.36431457003038487,0.0,9.181702565842885,2.1619196814216396e-06
Txctcl AG,0.3534855945459678,0.0,9.16134456301823,1.8622766638350448e-06
Mjlwxf NV,0.32476995037224105,0.0,9.32434836426932,0.0013267905982277093
