Entity,Entropy,SemanticEntropy,Gap,Refusal
Vkitze GmbH,0.1199195120527773,0.0,10.209865354918461,9.236770011314264e-09
Qpubwe PLC,0.17081973929127026,0.0,9.836013918147067,2.755386094600765e-08
Jzrcws SA,0.1491805713910797,0.0,10.244108593700986,1.854273691220601e-08
Tapd Abuk,0.1783614265198657,0.0,10.135041636604145,1.9844233547179787e-08
Mnmi Haem,0.2037648806733906,0.0,9.784591760644744,2.8815953401850062e-08
Xqtb Laur,0.19966956957881865,0.0,9.921234962199636,2.573634495870689e-08
Ctvepy SAS,0.17945523942546493,0.0,9.994449873797695,3.070630024406379e-08
Qsihxg GmbH,0.18988946304997503,0.0,9.815848639082343,3.390697966054282e-08
Clsvfw AG,0.17709527585011214,0.0,9.893871589863455,3.366753803448596e-08
Dmimyu GmbH,0.17665217173419343,0.0,9.871735176558543,2.6945506316393527e-08
Nchdfd AG,0.2102143347479365,0.0,9.727959651285984,6.961080940869707e-08
Ajoo Gufx,0.19599189230139338,0.0,9.623858506127535,1.812183221063099e-08
Okrb Qxpd,0.23831907772086305,0.0,9.279308875504526,4.254517929680199e-08
Ffsi Mneb,0.23152198412189143,0.0,9.690980005209251,1.1764014776608847e-07
Lasnoj SAS,0.21023450402068428,0.0,9.738724492596774,2.807138247253168e-08
Wnzatj SAS,0.23470203809756415,0.0,9.385637831919945,0.022729938245681796
Yrnw Lvgj,0.1758697673213128,0.0,9.91616766134429,3.493790031050533e-08
Cqndue LLC,0.08584636958095893,0.0,10.700528773762477,4.197595173140025e-09
Avrbci Ltd,0.1890309958036758,0.0,9.846174020222941,1.76148539536025e-08
Ecxk Avfj,0.19496592713974847,0.0,9.897748346204365,3.9374989434006434e-08
Skqn Esui,0.1775721985192086,0.0,9.876623866773315,2.2570984449177607e-08
Errg Zipo,0.20821472815297834,0.0,9.687804810884105,8.563805275868297e-08
Txctcl AG,0.24152149434162323,0.0,9.421720439383483,5.240538198322088e-08
Mjlwxf NV,0.14589832871355443,0.0,10.066797111905803,2.26123027847484e-08
