Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=29.0)",0.03333333333333333
Andor Bodnar,"Beta(a=1, b=29.0)",0.03333333333333333
Angus Redwood,"Beta(a=5.0, b=28.0)",0.15151515151515152
Arman Shaimerden,"Beta(a=1, b=29.0)",0.03333333333333333
Arthit Yodsuwan,"Beta(a=1, b=29.0)",0.03333333333333333
Arvind Malhotra,"Beta(a=9.0, b=27.0)",0.25
Aurelio Bianchi,"Beta(a=5.0, b=28.0)",0.15151515151515152
Aurelio Costanzo,"Beta(a=9.0, b=27.0)",0.25
Aurelius Wolff,"Beta(a=13.0, b=26.0)",0.3333333333333333
Ayberk Topcu,"Beta(a=5.0, b=28.0)",0.15151515151515152
Bagus Mandri,"Beta(a=5.0, b=28.0)",0.15151515151515152
Basim Al-Saleh,"Beta(a=1, b=29.0)",0.03333333333333333
Branislav Horvath,"Beta(a=13.0, b=26.0)",0.3333333333333333
Devakumar Arumugam,"Beta(a=5.0, b=28.0)",0.15151515151515152
Ernesto Aliaga,"Beta(a=1, b=29.0)",0.03333333333333333
Eun Suk Kang,"Beta(a=5.0, b=28.0)",0.15151515151515152
Eyal Peretz,"Beta(a=9.0, b=27.0)",0.25
Ezra Bar-Zakai,"Beta(a=13.0, b=26.0)",0.3333333333333333
Farhad Al-Badri,"Beta(a=5.0, b=28.0)",0.15151515151515152
Fergus O'Leary,"Beta(a=5.0, b=28.0)",0.15151515151515152
Fotios Karantos,"Beta(a=9.0, b=27.0)",0.25
Freyja Arnaldsdottir,"Beta(a=5.0, b=28.0)",0.15151515151515152
Giacomo Bianchi,"Beta(a=1, b=29.0)",0.03333333333333333
Gideon Low,"Beta(a=1, b=29.0)",0.03333333333333333
Gustavs Ozolins,"Beta(a=5.0, b=28.0)",0.15151515151515152
Helmut Kaiser,"Beta(a=13.0, b=26.0)",0.3333333333333333
Henk van der Veld,"Beta(a=1, b=29.0)",0.03333333333333333
Horatio Carlyle,"Beta(a=49.0, b=17.0)",0.7424242424242424
Jamal Farrugia,"Beta(a=5.0, b=28.0)",0.15151515151515152
Jonas Schneider,"Beta(a=5.0, b=28.0)",0.15151515151515152
Kai Yeo,"Beta(a=9.0, b=27.0)",0.25
Kalle Brandstr,"Beta(a=1, b=29.0)",0.03333333333333333
Karla Stein,"Beta(a=17.0, b=25.0)",0.40476190476190477
Kenan Iskender,"Beta(a=5.0, b=28.0)",0.15151515151515152
Konstantin Atanasov,"Beta(a=5.0, b=28.0)",0.15151515151515152
Laurent Delcour,"Beta(a=37.0, b=20.0)",0.6491228070175439
Leon Tomec,"Beta(a=5.0, b=28.0)",0.15151515151515152
Leonardo Carvalho,"Beta(a=5.0, b=28.0)",0.15151515151515152
Leonas Jucius,"Beta(a=1, b=29.0)",0.03333333333333333
Lev Al-Kindi,"Beta(a=17.0, b=25.0)",0.40476190476190477
Lionel Seymour,"Beta(a=13.0, b=26.0)",0.3333333333333333
Lukas Sovak,"Beta(a=33.0, b=21.0)",0.6111111111111112
Mabel Nkosi,"Beta(a=17.0, b=25.0)",0.40476190476190477
Magnus Toft-Hansen,"Beta(a=21.0, b=24.0)",0.4666666666666667
Marceau Leroy,"Beta(a=5.0, b=28.0)",0.15151515151515152
Marek Saar,"Beta(a=13.0, b=26.0)",0.3333333333333333
Marius Ramonas,"Beta(a=1, b=29.0)",0.03333333333333333
Martin Morales,"Beta(a=5.0, b=28.0)",0.15151515151515152
Mason Collier,"Beta(a=1, b=29.0)",0.03333333333333333
Matija Sokol,"Beta(a=1, b=29.0)",0.03333333333333333
Mikhail Fyodorov,"Beta(a=1, b=29.0)",0.03333333333333333
Minh Thuc Nguyen,"Beta(a=5.0, b=28.0)",0.15151515151515152
Miran Krstic,"Beta(a=1, b=29.0)",0.03333333333333333
Nabil Al-Rasheed,"Beta(a=5.0, b=28.0)",0.15151515151515152
Olavi Lehtonen,"Beta(a=5.0, b=28.0)",0.15151515151515152
Rafael Nunes,"Beta(a=1, b=29.0)",0.03333333333333333
Rafael S. Cedillo,"Beta(a=5.0, b=28.0)",0.15151515151515152
Risto Holappa,"Beta(a=1, b=29.0)",0.03333333333333333
Rohan Zwitters,"Beta(a=1, b=29.0)",0.03333333333333333
Roland Lancaster,"Beta(a=89.0, b=7.0)",0.9270833333333334
Salvador Cifuentes,"Beta(a=1, b=29.0)",0.03333333333333333
Samir Al-Ghanim,"Beta(a=1, b=29.0)",0.03333333333333333
Santiago Riquelme,"Beta(a=5.0, b=28.0)",0.15151515151515152
Santino Martinez,"Beta(a=1, b=29.0)",0.03333333333333333
Silvino Azevedo,"Beta(a=9.0, b=27.0)",0.25
Tadao Miyashimizu,"Beta(a=9.0, b=27.0)",0.25
Tariq Al-Fahim,"Beta(a=5.0, b=28.0)",0.15151515151515152
Tomasz Rajewski,"Beta(a=5.0, b=28.0)",0.15151515151515152
Ulrik Hagen,"Beta(a=5.0, b=28.0)",0.15151515151515152
Vasco Monteiro,"Beta(a=1, b=29.0)",0.03333333333333333
Wei Qiu,"Beta(a=5.0, b=28.0)",0.15151515151515152
