Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.21359062123036748,0.0,6.88610199324485,1.7930176413886554e-07
Mason Collier,0.2627222218719626,0.0,6.904842509920635,2.1932050536850113e-06
Henk van der Veld,0.3355130469980906,0.0,6.0146103896103895,2.2748582267739212e-07
Risto Holappa,0.1328610583528084,0.0,8.285195384972171,2.4073437320904545e-09
Nabil Al-Rasheed,0.20772441679960427,0.0,7.221297477324261,0.017857144301724966
Ulrik Hagen,0.32173967000173326,0.0,6.751215599876313,0.03571428637929095
Arthit Yodsuwan,0.31395100762923284,0.0,6.3415642393320955,1.772495574312472e-09
Mikhail Fyodorov,0.2415161945129614,0.0,7.02046130952381,2.2344582090456384e-08
Gustavs Ozolins,0.1153922947770024,0.0,8.081006493506495,0.03571431350074407
Karla Stein,0.19955894898593254,0.0,6.63860995155638,0.10714286635299475
Fergus O'Leary,0.38617056719746884,0.0,5.941037608225108,0.03571428745771647
Bagus Mandri,0.3065156950113943,0.0,7.178711484593836,0.03578409047630786
Andor Bodnar,0.23968989454762718,0.0,7.561373299319729,9.966999156971938e-09
Angus Redwood,0.40484037438145304,0.0,5.707481060606062,0.035714952914370005
Silvino Azevedo,0.12076746507464912,0.0,7.869681508967225,0.053571436087230744
Helmut Kaiser,0.39951154429142355,0.0,5.741983450577202,0.0892857207987501
Tariq Al-Fahim,0.2073185136474181,0.0,7.734523809523809,0.03571429456433482
Gideon Low,0.21916337812964456,0.0,7.211549648268398,1.794498580420266e-07
Marek Saar,0.33834786461882776,0.0,6.90869841963592,0.07142859672202026
Lionel Seymour,0.2551917680712691,0.0,6.590431096681097,0.08928576391762015
Eyal Peretz,0.1933337348283723,0.0,7.4230654761904775,0.0714285716495959
Mabel Nkosi,0.4846074537972592,0.0,5.206437513509881,0.07145196099380628
Salvador Cifuentes,0.2316662148986251,0.0,6.89436553030303,6.549749232662077e-09
Olavi Lehtonen,0.1378283698801784,0.0,7.571329365079365,0.017857145447084166
Farhad Al-Badri,0.18229800007977578,0.0,7.246441857993198,0.03571430235590345
Leon Tomec,0.3767199519278909,0.0,5.79672619047619,0.03571482600850552
Jamal Farrugia,0.23974332535530798,0.0,7.197344297567512,0.03571672775635826
Branislav Horvath,0.25746849750493656,0.0,7.226953205524635,0.10714384151462028
Aurelio Costanzo,0.21091862298880784,0.0,7.1051739926739925,0.05357143165502044
Roland Lancaster,0.8215729524681291,0.0,3.230681818181819,0.6428860153977308
Laurent Delcour,0.46238774989399367,0.0,5.180429292929294,0.2500181747466094
Marius Ramonas,0.20986571409344607,0.0,7.24492718962585,1.7052420453244573e-07
Magnus Toft-Hansen,0.3995455912432523,0.0,5.724715363033234,0.12500000357897387
Ezra Bar-Zakai,0.33203200429000684,0.0,6.15297619047619,0.10714286710462538
Aurelio Bianchi,0.1747294312568707,0.0,7.360294913419913,0.03571428721584511
Rafael Nunes,0.27928325971136997,0.0,6.5955924036281175,1.23505038530768e-08
Marceau Leroy,0.23161744773182372,0.0,6.413821892393322,0.01785750687675599
Freyja Arnaldsdottir,0.24158785694454404,0.0,7.703192318594105,0.03571497391918677
Jonas Schneider,0.3617807663159592,0.0,5.9687101093351105,0.01785727344640045
Leonardo Carvalho,0.2070110294158579,0.0,7.054261363636363,0.017857145898164516
Devakumar Arumugam,0.4277609039392101,0.0,6.416499255952381,0.03571836222872947
Adrian Vasile,0.3004545551182594,0.0,6.824553571428573,2.2914701674973437e-06
Konstantin Atanasov,0.2851883962912926,0.0,6.576333971088435,0.03573616887844656
Rohan Zwitters,0.26165766676637714,0.0,6.441914682539682,1.2729466758695364e-08
Kalle Brandstr,0.26393448205856396,0.0,6.78993119975263,8.957417100799118e-10
Kai Yeo,0.3029649509932097,0.0,6.2176136363636365,0.03571436463879989
Fotios Karantos,0.2612707830417812,0.0,6.845509004884005,0.035730092183723826
Lev Al-Kindi,0.3200404630218155,0.0,6.783942743764173,0.12503649629608757
Lukas Sovak,0.3119946032619567,0.0,6.767081529581531,0.14285719830689209
Wei Qiu,0.36287056945856444,0.0,6.953404344193818,0.03571431729685374
Tadao Miyashimizu,0.21958730594726533,0.0,7.181894841269839,0.035714295224504686
Rafael S. Cedillo,0.14969036304429828,0.0,7.77564484126984,0.035714378849619144
Minh Thuc Nguyen,0.23145253854192388,0.0,6.9459956709956705,0.017857282052400596
Tomasz Rajewski,0.2321541769495468,0.0,7.681179460420532,0.035714442409543294
Ernesto Aliaga,0.06922701196702784,0.0,8.412660284284168,4.667141311571781e-10
Samir Al-Ghanim,0.14315793828111037,0.0,7.689136904761905,2.571047926937623e-09
Aurelius Wolff,0.323311342694796,0.0,5.869606782106783,0.0892857982067808
Matija Sokol,0.15815769514816028,0.0,7.69157196969697,2.1914053447458374e-09
Giacomo Bianchi,0.21941298455479313,0.0,6.997406462585034,4.2027091980343237e-08
Vasco Monteiro,0.2518004675725192,0.0,6.4488095238095235,5.092426394350856e-08
Martin Morales,0.20831463621534385,0.0,7.3507305194805195,0.03571450188926955
Miran Krstic,0.020005425457698307,0.0,9.13624929138322,1.3698718237237541e-09
Arvind Malhotra,0.3069902689505225,0.0,6.807539682539683,0.05357143726001673
Santiago Riquelme,0.33875965827333154,0.0,7.116601664704345,0.035714293348592545
Basim Al-Saleh,0.08971936949068272,0.0,8.069697774943311,2.949055802239002e-10
Eun Suk Kang,0.26148688493681344,0.0,7.861259920634921,0.017857389096967796
Horatio Carlyle,0.5021103619558632,0.0,5.183612914862914,0.3392900663622934
Santino Martinez,0.2419214305648116,0.0,7.225834396258503,2.200258655773888e-08
Kenan Iskender,0.22370307057366048,0.0,7.229836309523809,0.035761666972007736
Ayberk Topcu,0.3037532337584877,0.0,6.992707205988458,0.03571458588224913
Arman Shaimerden,0.3498762542412774,0.0,6.6083545918367355,5.097741905186245e-09
