Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.129422891088007,0.0,8.471366164837146,2.8737436893922734e-08
Mason Collier,0.12935872150319852,0.0,8.194340889764996,2.728071114135804e-08
Henk van der Veld,0.3111446366842245,0.0,7.173345600201804,0.020109403953445522
Risto Holappa,0.07706804027117788,0.0,9.194263474620618,5.07566380541989e-08
Nabil Al-Rasheed,0.14665886747935408,0.0,7.667383255385487,2.2449972063007498e-07
Ulrik Hagen,0.14739588364015901,0.0,8.618470740568956,4.078686854683118e-08
Arthit Yodsuwan,0.23000694254112733,0.0,7.345808531746033,1.7741078329235938e-06
Mikhail Fyodorov,0.15092215690641614,0.0,8.152997448979592,0.0002642001499386515
Gustavs Ozolins,0.11629983716409249,0.0,8.542780694008373,7.549885907652469e-08
Karla Stein,0.11801485783157076,0.0,8.56656037414966,1.3502544405602996e-07
Fergus O'Leary,0.22387906268332686,0.0,7.942395253555967,5.290485107024114e-07
Bagus Mandri,0.22137321969150583,0.0,7.546561777755973,3.952620318562685e-05
Andor Bodnar,0.18723122972895598,0.0,8.620070684523808,1.828284750993808e-07
Angus Redwood,0.24835085704117152,0.0,7.724534970238096,6.452562915957196e-07
Silvino Azevedo,0.14202270134827416,0.0,8.681196853741497,1.2750644699309923e-07
Helmut Kaiser,0.21130673098031297,0.0,8.427004097093382,1.0512632233685639e-07
Tariq Al-Fahim,0.06887008048256066,0.0,8.070936219038897,2.576072517727108e-08
Gideon Low,0.1043731706229583,0.0,8.783435333267922,1.8206092534588524e-07
Marek Saar,0.2544621579238958,0.0,7.913993409863946,8.233102052345096e-08
Lionel Seymour,0.13208745643785305,0.0,7.767430040197899,6.067352730358353e-06
Eyal Peretz,0.2005397723222649,0.0,7.591206394052377,4.687049695564251e-06
Mabel Nkosi,0.3207202415500931,0.0,6.943239554344464,0.07142873650023215
Salvador Cifuentes,0.22615833193151316,0.0,7.805559848137975,0.03571489779089922
Olavi Lehtonen,0.05157887771312427,0.0,9.23904246794872,2.1120252085297545e-08
Farhad Al-Badri,0.13571810456032,0.0,7.460678774350652,1.8206671552083438e-07
Leon Tomec,0.1939128840487694,0.0,8.063224248032546,4.952153301419388e-07
Jamal Farrugia,0.18774751100870438,0.0,7.606837185631828,0.017857167136943
Branislav Horvath,0.18375211790805726,0.0,8.1022488114564,2.7782698142683054e-07
Aurelio Costanzo,0.08215616411756596,0.0,8.073252141765797,1.0014095674702565e-06
Roland Lancaster,0.6209591205507489,0.0,4.88511083410637,0.39285716432435663
Laurent Delcour,0.2613746804589476,0.0,7.749835246598638,4.019951995119092e-07
Marius Ramonas,0.1754240168979791,0.0,8.322517240797835,0.01785778885381813
Magnus Toft-Hansen,0.1612085250985877,0.0,8.586069479875281,4.7309676956801966e-08
Ezra Bar-Zakai,0.24910855660973702,0.0,6.969105194160998,1.3690465839392835e-05
Aurelio Bianchi,0.10457778940599023,0.0,8.188225446428572,6.106517927974089e-07
Rafael Nunes,0.09335806594307408,0.0,8.257169430272109,6.304855993704311e-08
Marceau Leroy,0.13468436954667543,0.0,8.098626714307517,6.361333543924861e-08
Freyja Arnaldsdottir,0.16556463385099057,0.0,8.864859693877552,4.887964315710074e-08
Jonas Schneider,0.26542768348594387,0.0,7.834452675300888,2.7797098833429577e-07
Leonardo Carvalho,0.18655504944680493,0.0,7.363657529226726,4.871381415180049e-06
Devakumar Arumugam,0.17135452356728378,0.0,7.862561326613978,1.540305923337653e-08
Adrian Vasile,0.1921692306230969,0.0,8.000664291066077,8.271279483808663e-08
