Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=29.0)",0.03333333333333333
Andor Bodnar,"Beta(a=1, b=29.0)",0.03333333333333333
Angus Redwood,"Beta(a=9.0, b=27.0)",0.25
Arman Shaimerden,"Beta(a=5.0, b=28.0)",0.15151515151515152
Arthit Yodsuwan,"Beta(a=1, b=29.0)",0.03333333333333333
Arvind Malhotra,"Beta(a=5.0, b=28.0)",0.15151515151515152
Aurelio Bianchi,"Beta(a=5.0, b=28.0)",0.15151515151515152
Aurelio Costanzo,"Beta(a=1, b=29.0)",0.03333333333333333
Aurelius Wolff,"Beta(a=21.0, b=24.0)",0.4666666666666667
Ayberk Topcu,"Beta(a=1, b=29.0)",0.03333333333333333
Bagus Mandri,"Beta(a=1, b=29.0)",0.03333333333333333
Basim Al-Saleh,"Beta(a=1, b=29.0)",0.03333333333333333
Branislav Horvath,"Beta(a=5.0, b=28.0)",0.15151515151515152
Devakumar Arumugam,"Beta(a=1, b=29.0)",0.03333333333333333
Ernesto Aliaga,"Beta(a=1, b=29.0)",0.03333333333333333
Eun Suk Kang,"Beta(a=17.0, b=25.0)",0.40476190476190477
Eyal Peretz,"Beta(a=5.0, b=28.0)",0.15151515151515152
Ezra Bar-Zakai,"Beta(a=5.0, b=28.0)",0.15151515151515152
Farhad Al-Badri,"Beta(a=1, b=29.0)",0.03333333333333333
Fergus O'Leary,"Beta(a=17.0, b=25.0)",0.40476190476190477
Fotios Karantos,"Beta(a=1, b=29.0)",0.03333333333333333
Freyja Arnaldsdottir,"Beta(a=9.0, b=27.0)",0.25
Giacomo Bianchi,"Beta(a=1, b=29.0)",0.03333333333333333
Gideon Low,"Beta(a=5.0, b=28.0)",0.15151515151515152
Gustavs Ozolins,"Beta(a=5.0, b=28.0)",0.15151515151515152
Helmut Kaiser,"Beta(a=1, b=29.0)",0.03333333333333333
Henk van der Veld,"Beta(a=5.0, b=28.0)",0.15151515151515152
Horatio Carlyle,"Beta(a=21.0, b=24.0)",0.4666666666666667
Jamal Farrugia,"Beta(a=1, b=29.0)",0.03333333333333333
Jonas Schneider,"Beta(a=1, b=29.0)",0.03333333333333333
Kai Yeo,"Beta(a=1, b=29.0)",0.03333333333333333
Kalle Brandstr,"Beta(a=1, b=29.0)",0.03333333333333333
Karla Stein,"Beta(a=9.0, b=27.0)",0.25
Kenan Iskender,"Beta(a=9.0, b=27.0)",0.25
Konstantin Atanasov,"Beta(a=1, b=29.0)",0.03333333333333333
Laurent Delcour,"Beta(a=5.0, b=28.0)",0.15151515151515152
Leon Tomec,"Beta(a=1, b=29.0)",0.03333333333333333
Leonardo Carvalho,"Beta(a=1, b=29.0)",0.03333333333333333
Leonas Jucius,"Beta(a=5.0, b=28.0)",0.15151515151515152
Lev Al-Kindi,"Beta(a=1, b=29.0)",0.03333333333333333
Lionel Seymour,"Beta(a=9.0, b=27.0)",0.25
Lukas Sovak,"Beta(a=13.0, b=26.0)",0.3333333333333333
Mabel Nkosi,"Beta(a=13.0, b=26.0)",0.3333333333333333
Magnus Toft-Hansen,"Beta(a=1, b=29.0)",0.03333333333333333
Marceau Leroy,"Beta(a=1, b=29.0)",0.03333333333333333
Marek Saar,"Beta(a=5.0, b=28.0)",0.15151515151515152
Marius Ramonas,"Beta(a=5.0, b=28.0)",0.15151515151515152
Martin Morales,"Beta(a=5.0, b=28.0)",0.15151515151515152
Mason Collier,"Beta(a=9.0, b=27.0)",0.25
Matija Sokol,"Beta(a=5.0, b=28.0)",0.15151515151515152
Mikhail Fyodorov,"Beta(a=13.0, b=26.0)",0.3333333333333333
Minh Thuc Nguyen,"Beta(a=9.0, b=27.0)",0.25
Miran Krstic,"Beta(a=1, b=29.0)",0.03333333333333333
Nabil Al-Rasheed,"Beta(a=1, b=29.0)",0.03333333333333333
Olavi Lehtonen,"Beta(a=1, b=29.0)",0.03333333333333333
Rafael Nunes,"Beta(a=9.0, b=27.0)",0.25
Rafael S. Cedillo,"Beta(a=1, b=29.0)",0.03333333333333333
Risto Holappa,"Beta(a=1, b=29.0)",0.03333333333333333
Rohan Zwitters,"Beta(a=9.0, b=27.0)",0.25
Roland Lancaster,"Beta(a=37.0, b=20.0)",0.6491228070175439
Salvador Cifuentes,"Beta(a=1, b=29.0)",0.03333333333333333
Samir Al-Ghanim,"Beta(a=1, b=29.0)",0.03333333333333333
Santiago Riquelme,"Beta(a=1, b=29.0)",0.03333333333333333
Santino Martinez,"Beta(a=1, b=29.0)",0.03333333333333333
Silvino Azevedo,"Beta(a=1, b=29.0)",0.03333333333333333
Tadao Miyashimizu,"Beta(a=5.0, b=28.0)",0.15151515151515152
Tariq Al-Fahim,"Beta(a=5.0, b=28.0)",0.15151515151515152
Tomasz Rajewski,"Beta(a=5.0, b=28.0)",0.15151515151515152
Ulrik Hagen,"Beta(a=5.0, b=28.0)",0.15151515151515152
Vasco Monteiro,"Beta(a=5.0, b=28.0)",0.15151515151515152
Wei Qiu,"Beta(a=5.0, b=28.0)",0.15151515151515152
