Entity,Entropy,SemanticEntropy,Gap,Refusal
Leonas Jucius,0.22185424432779685,0.0,6.9644531249999995,0.017857994583039823
Mason Collier,0.2917254269702391,0.0,6.648269203514739,0.03615766091081331
Henk van der Veld,0.40302656810049026,0.0,6.377692743764171,0.01785938150195557
Risto Holappa,0.1384037033287087,0.0,7.9171449829931975,2.507512733354589e-07
Nabil Al-Rasheed,0.3627076508112184,0.0,5.934764215818904,3.320477252318131e-06
Ulrik Hagen,0.2046336012500581,0.0,6.884125212585034,0.017857673010799265
Arthit Yodsuwan,0.2841576038082833,0.0,6.979174638605442,1.1335283580917891e-06
Mikhail Fyodorov,0.33187378755821356,0.0,6.501023065476192,0.08932043874893136
Gustavs Ozolins,0.17858165401117332,0.0,7.388984713203461,0.01785727282992537
Karla Stein,0.20871908037273398,0.0,6.646968005952381,0.035714354950033125
Fergus O'Leary,0.4106867099220861,0.0,5.896116296897547,0.12500206467220837
Bagus Mandri,0.28613578797127603,0.0,7.266044855442177,6.084676416264716e-06
Andor Bodnar,0.2040717808706932,0.0,7.274950477350031,1.365864372436917e-06
Angus Redwood,0.408215880991359,0.0,5.880412946428572,0.03571944685391019
Silvino Azevedo,0.13818342416371523,0.0,7.294498879097094,2.5640174494233932e-06
Helmut Kaiser,0.2279097228915977,0.0,7.130319940476191,2.7438071743030825e-07
Tariq Al-Fahim,0.15298558061958825,0.0,7.818171932234433,0.017858575775888657
Gideon Low,0.20820089657652016,0.0,7.006433354591837,0.03584509188038233
Marek Saar,0.31176982517595964,0.0,6.603757440476191,0.03571980207856925
Lionel Seymour,0.38612496887554043,0.0,6.226530934343435,0.07201770494228658
Eyal Peretz,0.22877165593750243,0.0,6.981016639610389,0.017857467916221514
Mabel Nkosi,0.4761338684316689,0.0,5.832924107142858,0.05357274175224935
Salvador Cifuentes,0.22835506450845242,0.0,6.9967687074829925,3.995513660303469e-07
Olavi Lehtonen,0.1291645592103811,0.0,7.771194727891157,5.186716995570337e-07
Farhad Al-Badri,0.15838586190568296,0.0,6.966629464285715,2.7762832542434423e-07
Leon Tomec,0.2658163268511898,0.0,6.462921626984127,0.00018728362168300112
Jamal Farrugia,0.2833826319095565,0.0,7.141223781179138,0.00036544677982453574
Branislav Horvath,0.2895429144597999,0.0,7.225785920428778,0.017909536344787157
Aurelio Costanzo,0.18664112808314998,0.0,6.933196924603173,0.0008378891338766334
Roland Lancaster,0.7136736667441216,0.0,3.702528980342137,0.3045957420604443
Laurent Delcour,0.39608346673797235,0.0,6.471949404761906,0.018111334234906767
Marius Ramonas,0.27019226764861176,0.0,7.1269982993197285,0.017857367717200087
Magnus Toft-Hansen,0.32937200026638236,0.0,6.352901785714286,0.00014024382590476246
Ezra Bar-Zakai,0.3040346952507334,0.0,6.723719175170069,0.035715005130631854
Aurelio Bianchi,0.2314022481763453,0.0,6.75434002348946,0.035825031362596474
Rafael Nunes,0.25031961777263073,0.0,6.752434098639457,0.03571451710175717
Marceau Leroy,0.30493230393929766,0.0,6.51975590949099,0.0011369452799054464
Freyja Arnaldsdottir,0.22040429027076333,0.0,7.258983046343538,0.05397620137908281
Jonas Schneider,0.47058660367963195,0.0,5.884092841682127,1.6211767191812165e-06
Leonardo Carvalho,0.21490662502805077,0.0,6.683861252834467,0.0002015722453082232
Devakumar Arumugam,0.4580383389007873,0.0,5.63354484057609,3.533847773609259e-06
Adrian Vasile,0.33016401245377514,0.0,6.706787743506493,4.661670504970049e-07
Konstantin Atanasov,0.15282278387418582,0.0,7.832753233869305,3.361521604485139e-07
Rohan Zwitters,0.3648906715077163,0.0,6.67032844387755,0.053571589929143106
Kalle Brandstr,0.2991429039932357,0.0,7.214204223356011,5.5942899645138445e-06
Kai Yeo,0.39309238751003367,0.0,6.539827806122449,5.435604207183356e-06
Fotios Karantos,0.28754475319189965,0.0,7.161495535714287,5.280327984699287e-07
Lev Al-Kindi,0.22141281018847522,0.0,6.980683992346939,6.968703795079809e-07
Lukas Sovak,0.26141965934341405,0.0,7.745933183879614,0.0714286779945099
Wei Qiu,0.30935728011130154,0.0,6.527718431122449,0.035715916088962026
Tadao Miyashimizu,0.389371135652174,0.0,6.315577168367347,0.03571506221666428
Rafael S. Cedillo,0.11596273078227196,0.0,7.990042162698414,8.928879568353976e-08
Minh Thuc Nguyen,0.32712541050846966,0.0,6.796428571428572,0.03571465152819712
Tomasz Rajewski,0.3109680785956708,0.0,6.46515296459493,0.017857879562529218
Ernesto Aliaga,0.15837632375363833,0.0,8.036055307539682,6.252813124427159e-07
Samir Al-Ghanim,0.12324171733679745,0.0,7.582435161564626,8.633832777218171e-07
Aurelius Wolff,0.3012194267194906,0.0,6.633552118764173,0.12500031872284995
Matija Sokol,0.23909670051641113,0.0,7.314955357142855,0.017857391957822218
Giacomo Bianchi,0.2486717969366455,0.0,6.651874844552445,0.0005230402013299799
Vasco Monteiro,0.24300540452436675,0.0,7.22435459505772,0.03571479424929675
Martin Morales,0.2941045757709432,0.0,7.165415958049886,0.017950779949789778
Miran Krstic,0.09505152817009607,0.0,8.105330569727892,1.4021058186361457e-07
Arvind Malhotra,0.3748296422899596,0.0,6.162963338744589,0.017857495460975294
Santiago Riquelme,0.2717943518749789,0.0,7.155245535714284,4.822918032215287e-07
Basim Al-Saleh,0.1290964783323537,0.0,7.540013818027211,6.597498838644054e-07
Eun Suk Kang,0.33334923877055866,0.0,6.562041170634919,0.12564172201952636
Horatio Carlyle,0.5048793590047795,0.0,5.4480681335034005,0.1785760786417153
Santino Martinez,0.26588543504865086,0.0,6.8179597312409825,0.0005413776937321814
Kenan Iskender,0.3168122870793944,0.0,6.811295995670997,0.035718947498023276
Ayberk Topcu,0.1934679475256421,0.0,7.070091057256235,3.476339088517458e-07
Arman Shaimerden,0.2827345707605427,0.0,7.118061997526284,0.018265324168730356
