Entity,Beta,Mean
Ajoo Gufx,"Beta(a=2.9946686659027364, b=759.0)",0.003930038869098376
Avrbci Ltd,"Beta(a=1, b=760.0)",0.001314060446780552
Clsvfw AG,"Beta(a=1, b=760.0)",0.001314060446780552
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=1, b=760.0)",0.001314060446780552
Dmimyu GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Ecxk Avfj,"Beta(a=1, b=760.0)",0.001314060446780552
Errg Zipo,"Beta(a=1.997055881210242, b=759.0)",0.0026242622961237545
Ffsi Mneb,"Beta(a=1, b=760.0)",0.001314060446780552
Jzrcws SA,"Beta(a=423.2856223175936, b=648.0)",0.39511929731855044
Lasnoj SAS,"Beta(a=1.1708055978956144, b=759.0)",0.0015401875332146477
Mjlwxf NV,"Beta(a=1, b=760.0)",0.001314060446780552
Mnmi Haem,"Beta(a=1.5333840667301493, b=759.0)",0.002016195605419483
Nchdfd AG,"Beta(a=1, b=760.0)",0.001314060446780552
Okrb Qxpd,"Beta(a=1, b=760.0)",0.001314060446780552
Qpubwe PLC,"Beta(a=1.2673304050862475, b=759.0)",0.0016669536548558355
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1.3545757396713047, b=759.0)",0.0017815053435478788
Tapd Abuk,"Beta(a=1, b=760.0)",0.001314060446780552
Txctcl AG,"Beta(a=1, b=760.0)",0.001314060446780552
Vkitze GmbH,"Beta(a=2.719335769137561, b=759.0)",0.003569997033607847
Wnzatj SAS,"Beta(a=12.702116972538763, b=756.0)",0.016524108223566314
Xqtb Laur,"Beta(a=1, b=760.0)",0.001314060446780552
Yrnw Lvgj,"Beta(a=1, b=760.0)",0.001314060446780552
