Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1.5523101742670542, b=752.0)",0.0020599899347506024
Avrbci Ltd,"Beta(a=1.0455325002821365, b=758.0)",0.0013774305433801469
Clsvfw AG,"Beta(a=1.106942779146938, b=757.0)",0.0014601406697173785
Cqndue LLC,"Beta(a=1, b=760.0)",0.001314060446780552
Ctvepy SAS,"Beta(a=4.303308050900072, b=743.0)",0.005758449085584626
Dmimyu GmbH,"Beta(a=1.023328764846772, b=759.0)",0.0013464438868078384
Ecxk Avfj,"Beta(a=3.708907662857411, b=753.0)",0.004901366463773505
Errg Zipo,"Beta(a=2.1485327667425382, b=749.0)",0.0028603301118471755
Ffsi Mneb,"Beta(a=1.0422629157099654, b=758.0)",0.0013731289634734167
Jzrcws SA,"Beta(a=94.27622318470353, b=735.0)",0.11368494664256823
Lasnoj SAS,"Beta(a=2.063168138777811, b=753.0)",0.0027324444176816324
Mjlwxf NV,"Beta(a=2.147657542737455, b=748.0)",0.0028629797362462587
Mnmi Haem,"Beta(a=1.159471943766465, b=753.0)",0.001537436028984756
Nchdfd AG,"Beta(a=1.0820922875274348, b=757.0)",0.0014274077946653512
Okrb Qxpd,"Beta(a=1.0239318401970152, b=759.0)",0.001347236313622171
Qpubwe PLC,"Beta(a=1, b=760.0)",0.001314060446780552
Qsihxg GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Skqn Esui,"Beta(a=1.117715345294629, b=755.0)",0.0014782292791330836
Tapd Abuk,"Beta(a=1.019580829667178, b=759.0)",0.001341519160011856
Txctcl AG,"Beta(a=1.3452570021817616, b=755.0)",0.0017786281988648488
Vkitze GmbH,"Beta(a=1, b=760.0)",0.001314060446780552
Wnzatj SAS,"Beta(a=17.71228196166148, b=726.0)",0.02381604068033201
Xqtb Laur,"Beta(a=1.022266073542484, b=759.0)",0.0013450475323884337
Yrnw Lvgj,"Beta(a=1.3217496171702539, b=750.0)",0.0017592324697690974
