Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.17176835425833786,0.0,8.899810606060607,1.1842894931393612e-08
Mason Collier,0.453905040701814,0.0,7.174019607843137,1.1047463065816986e-08
Lukas Sovak,0.2540382753619675,0.0,8.138437001594895,0.05263168546910562
Roland Lancaster,0.5330880958491307,0.0,3.606313131313132,0.318182351440084
Arman Shaimerden,0.2860783756621071,0.0,7.396093750000001,1.1500577853999468e-09
Fotios Karantos,0.22059154040814977,0.0,6.490833333333333,0.05000000401930451
Silvino Azevedo,0.0706949655063556,0.0,9.152967171717172,0.06250000027939492
Laurent Delcour,0.24244824506229054,0.0,7.579444444444444,3.7430745223472648e-06
Ayberk Topcu,0.2049927683097215,0.0,7.73560606060606,1.3566567848949179e-09
Aurelius Wolff,0.18349190018592235,0.0,7.060168997668999,0.07692311012703754
Risto Holappa,0.1523133559746397,0.0,10.064335664335662,9.175602117781041e-10
Gustavs Ozolins,0.057375257845809984,0.0,9.850176767676768,1.4796802954778955e-09
Minh Thuc Nguyen,0.3507471253745854,0.0,7.602521929824561,4.181267125823948e-08
Wei Qiu,0.11646270541545747,0.0,9.533531746031745,2.1080130993553182e-10
Kenan Iskender,0.10798418307879938,0.0,9.37738095238095,2.5507968514682017e-10
Leon Tomec,0.20964649465532978,0.0,8.785119047619048,2.6755625813072854e-11
Matija Sokol,0.0574382712594237,0.0,9.673114669421487,1.0176433467133892e-09
Salvador Cifuentes,0.1486714477788688,0.0,8.333003952569172,3.440347059922553e-10
Kalle Brandstr,0.23341714941357838,0.0,7.5098039215686265,1.275270410864966e-10
Bagus Mandri,0.26742330308409296,0.0,7.816071428571429,4.714166977124816e-09
Ulrik Hagen,0.1899666858468389,0.0,7.938750000000001,9.155339434103264e-10
Rohan Zwitters,0.1081058259016292,0.0,8.67581699346405,0.05882352989704516
Farhad Al-Badri,0.02979839122758968,0.0,9.062179487179487,1.6046330471608173e-09
Henk van der Veld,0.18889819442457187,0.0,8.036979166666669,1.955563928667907e-07
Aurelio Bianchi,0.0547461133929725,0.0,8.765104166666665,6.849189957760031e-11
Santiago Riquelme,0.19648330539020542,0.0,8.310185967878276,4.993302884958562e-09
Konstantin Atanasov,0.12436659387708963,0.0,8.339351851851852,1.1879289940074373e-09
Magnus Toft-Hansen,0.07014761109720287,0.0,7.975,2.990884711296109e-10
