Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.07105527707589722,0.0,8.828949652777778,1.6226805239717614e-08
Mason Collier,0.2219955115549855,0.0,7.772706582633054,6.206667865822309e-08
Lukas Sovak,0.3626480619780386,0.0,6.849135860484545,0.026315850008622927
Roland Lancaster,0.6283224097102406,0.0,4.636215489056399,0.38636384299555165
Arman Shaimerden,0.2576133194112542,0.0,6.56611328125,4.304308958633096e-07
Fotios Karantos,0.1544930130297072,0.0,7.558560606060605,0.10000005525248568
Silvino Azevedo,0.20025850906708909,0.0,8.035584077380953,2.6828648731422322e-08
Laurent Delcour,0.30059251994233677,0.0,7.307271825396826,2.8158354725767627e-06
Ayberk Topcu,0.19096425180117685,0.0,7.478503787878788,0.006863494116538416
Aurelius Wolff,0.27167829663796905,0.0,7.0924879807692305,0.0021597104480264003
Risto Holappa,0.06387742409724802,0.0,8.90309594251902,4.4748705462336954e-08
Gustavs Ozolins,0.04089328929278045,0.0,8.944587148962148,7.85860772474963e-09
Minh Thuc Nguyen,0.1535532353127273,0.0,7.658298390206285,3.0390447638315324e-09
Wei Qiu,0.12548110039914445,0.0,7.7153196505875075,9.347167154866165e-09
Kenan Iskender,0.06592609751289079,0.0,8.618080357142857,1.949401082263729e-07
Leon Tomec,0.20964888191331468,0.0,7.639273313492064,8.858496173050295e-07
Matija Sokol,0.08895147038573235,0.0,8.533371836496835,3.9182285560041503e-08
Salvador Cifuentes,0.2302400151162877,0.0,7.428366545893719,5.227188174914217e-07
Kalle Brandstr,0.22051578421659077,0.0,7.850311759319112,2.2593652263205538e-07
Bagus Mandri,0.34629969804996713,0.0,6.452744799843015,0.0003074476324933661
Ulrik Hagen,0.10151474887969862,0.0,8.682708333333334,7.248540313462004e-09
Rohan Zwitters,0.07850046541884577,0.0,8.280989384390118,2.496176592713199e-08
Farhad Al-Badri,0.09185250711344112,0.0,7.302549533799533,8.88395169463295e-08
Henk van der Veld,0.27019901467316726,0.0,7.044532985517772,0.06250002815323094
Aurelio Bianchi,0.0510264118692113,0.0,8.007347470238093,1.0136102739088937e-07
Santiago Riquelme,0.1382502078425044,0.0,7.432860488870104,1.2142603569853527e-07
Konstantin Atanasov,0.10220746428833502,0.0,8.10580623080623,0.0034096612728638114
Magnus Toft-Hansen,0.024226689275371124,0.0,9.450520833333332,3.2062505005148177e-09
Martin Morales,0.2864137697741231,0.0,6.169169372294373,2.7938063479274944e-07
Leonardo Carvalho,0.1749107307164055,0.0,6.881780849358976,1.7357710109175417e-07
