Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.16987931042294369,0.0,7.653785342261906,4.988741865753765e-07
Mason Collier,0.31751932657609233,0.0,7.307590744631186,0.14705891657983391
Lukas Sovak,0.26121064760999707,0.0,7.647906698564594,1.5428479304333145e-07
Roland Lancaster,0.3955505852132499,0.0,6.331131628787878,0.2045454870304445
Arman Shaimerden,0.21345595637042153,0.0,7.650804924242426,3.7730559339019254e-07
Fotios Karantos,0.33271222259694694,0.0,7.766250000000001,9.735651488318453e-08
Silvino Azevedo,0.07208471007762499,0.0,9.026925505050507,4.7131070367648076e-08
Laurent Delcour,0.30628146522492194,0.0,8.003819444444444,8.414949763668744e-08
Ayberk Topcu,0.0994862854484271,0.0,8.183333333333332,2.8474274387841284e-08
Aurelius Wolff,0.23937096284830484,0.0,7.576056235431237,0.07692319918496085
Risto Holappa,0.22556609477729786,0.0,8.570439976689975,1.4079942569014468e-07
Gustavs Ozolins,0.04733145803956296,0.0,9.66366792929293,6.164541092174014e-09
Minh Thuc Nguyen,0.1704593197504809,0.0,8.380098684210525,2.1126129791455327e-07
Wei Qiu,0.12249751421747364,0.0,8.662209467120181,7.289061649138775e-07
Kenan Iskender,0.14491790681428093,0.0,8.574665178571427,0.03571438233707377
Leon Tomec,0.08791401050182482,0.0,8.705034722222221,2.8658869316875287e-08
Matija Sokol,0.11719400488946534,0.0,8.179545454545455,1.485016638074059e-07
Salvador Cifuentes,0.13722128339508927,0.0,8.44832427536232,1.2845997439633763e-07
Kalle Brandstr,0.27135470835038217,0.0,7.884007352941177,5.12334862863235e-07
Bagus Mandri,0.2994931243635629,0.0,7.785065901360544,4.904631574814292e-07
Ulrik Hagen,0.1743323589579509,0.0,7.6362016369047625,1.3408853531959864e-07
Rohan Zwitters,0.16016808378463435,0.0,8.426213818860878,5.620535962709152e-08
Farhad Al-Badri,0.061147817196924886,0.0,8.991533119658119,1.2611265784872723e-08
Henk van der Veld,0.21188042964993203,0.0,9.408224826388889,1.8713775325066365e-07
Aurelio Bianchi,0.08518959624675519,0.0,8.863281249999998,2.5883724591331075e-07
Santiago Riquelme,0.10611368007311962,0.0,8.818429487179488,1.813067578816556e-08
Konstantin Atanasov,0.0944309567903882,0.0,9.34794748075998,1.0462303652068045e-05
Magnus Toft-Hansen,0.10385506150792936,0.0,8.045833333333334,2.2428924050937883e-07
Martin Morales,0.23035102985867625,0.0,8.402489177489178,3.431644273999128e-08
Leonardo Carvalho,0.2020584343967863,0.0,7.398852926587302,0.00010587277790764793
Devakumar Arumugam,0.23955896260519702,0.0,7.653795163170163,5.282365428276997e-07
Tariq Al-Fahim,0.025379683942795352,0.0,9.868303571428571,1.3091087052679346e-08
Mikhail Fyodorov,0.17380124062631994,0.0,8.141041666666666,3.4316567217029803e-07
Angus Redwood,0.26686329110955176,0.0,6.165699404761904,2.752037800535234e-07
