Entity,Entropy,SemanticEntropy,Gap,Refusal
Xqtb Laur,0.14854295010687765,0.0,8.799149035379145,1.8868619223329464e-09
Wnzatj SAS,0.15728372982715752,0.0,8.752664338699493,1.3009827664667295e-05
Vkitze GmbH,0.09520626159437881,0.0,9.820518628747797,6.059178059586251e-09
Errg Zipo,0.13850624002533066,0.0,9.277685237467844,3.737822015464152e-08
Txctcl AG,0.13144337140816764,0.0,9.215955252715125,1.1242024325601902e-08
Clsvfw AG,0.11620331654269482,0.0,9.538765432098764,1.4564936031423009e-09
Skqn Esui,0.1644965797381675,0.0,8.82440044858523,2.57685434962049e-08
Lasnoj SAS,0.14958485706770094,0.0,8.794285532549944,4.138124959544527e-09
Nchdfd AG,0.11607631835976635,0.0,9.136239119303633,6.893227797698962e-08
Yrnw Lvgj,0.20526532209626397,0.0,8.739631664631663,9.592531957993248e-08
Qsihxg GmbH,0.10970504477320488,0.0,9.693978569173881,8.600232503224146e-10
Okrb Qxpd,0.11860243288051711,0.0,9.11058201058201,1.7272961618836166e-10
Mnmi Haem,0.10639522784142313,0.0,8.860416666666667,4.108274194230567e-09
Qpubwe PLC,0.10958992832834166,0.0,9.861435185185183,7.032873092419623e-10
Ecxk Avfj,0.1496440140505273,0.0,9.205967643467643,0.00010420951846262287
Dmimyu GmbH,0.19551743907965757,0.0,8.490924329501917,0.00029835860342391525
Ajoo Gufx,0.1514259740789037,0.0,9.34247685185185,2.33603765372345e-09
Ctvepy SAS,0.11065734690893134,0.0,9.474741602067185,2.5707219876162027e-09
Avrbci Ltd,0.08489418555178381,0.0,9.216554054054054,4.73463632681317e-09
Cqndue LLC,0.07406358597378133,0.0,9.970904558404559,9.29314812600443e-08
Jzrcws SA,0.14130575589526997,0.0,9.530797619047618,9.309842177852947e-05
Mjlwxf NV,0.10477216220374151,0.0,9.469501133786846,1.9759423024060223e-09
Tapd Abuk,0.10751280292729848,0.0,9.407859078590786,1.576183445474805e-08
Ffsi Mneb,0.12763979341168655,0.0,8.96388888888889,9.800967994006433e-10
