Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.06788235817488038,0.0,10.115668402777779,1.5594395848207362e-08
Mason Collier,0.3438794639843743,0.0,8.025210084033613,4.301282289922687e-06
Lukas Sovak,0.24827895737150052,0.0,8.336669799498745,3.512207313625072e-08
Roland Lancaster,0.14448726446857713,0.0,8.718476055194806,0.18181818422789703
Arman Shaimerden,0.3230701565179271,0.0,6.81600322420635,4.5675049476358136e-07
Fotios Karantos,0.17078335637337416,0.0,8.101742424242424,4.6498506414e-08
Silvino Azevedo,0.23281798786467248,0.0,8.900669642857142,7.012344759884086e-08
Laurent Delcour,0.1493170357427679,0.0,9.799047619047618,1.407922190985178e-07
Ayberk Topcu,0.22257939883752237,0.0,8.805492424242424,1.8135857688849166e-07
Aurelius Wolff,0.2474648750664324,0.0,8.515636446886447,1.533429075394015e-07
Risto Holappa,0.03139769918065819,0.0,10.736646766694843,1.9401243791214734e-07
Gustavs Ozolins,0.028209853089127372,0.0,9.75899191086691,1.7709172746756725e-08
Minh Thuc Nguyen,0.12979852914482792,0.0,9.472091888374782,3.2637125424103686e-09
Wei Qiu,0.11280489883426785,0.0,9.328411989795919,3.8185405033117394e-08
Kenan Iskender,0.0542218967992325,0.0,9.986479591836735,5.56545109443094e-08
Leon Tomec,0.23558517873277626,0.0,9.382727465986395,2.8249148133529655e-06
Matija Sokol,0.09188046100080695,0.0,10.097033175158176,1.2057842344743333e-07
Salvador Cifuentes,0.21933027804617497,0.0,9.188064381270902,2.675823997331295e-08
Kalle Brandstr,0.22515870068654165,0.0,8.75955882352941,1.211897033178377e-07
Bagus Mandri,0.43399879714968387,0.0,6.887449306645736,2.3221079773919469e-07
Ulrik Hagen,0.09038874513726294,0.0,9.948207747113997,6.19035130185533e-08
Rohan Zwitters,0.10786228714401955,0.0,9.913967803030303,1.252668802885717e-07
Farhad Al-Badri,0.06262958887078221,0.0,8.68864937146187,9.50204142806121e-09
Henk van der Veld,0.1524486776126771,0.0,9.34836478625541,1.35115548471898e-08
Aurelio Bianchi,0.05423438710447943,0.0,9.713244047619046,7.027703414578627e-09
Santiago Riquelme,0.12498274610916238,0.0,8.705824704142014,1.1551251423429488e-08
Konstantin Atanasov,0.05772529489476733,0.0,10.158176487863988,1.5687956067581358e-07
Magnus Toft-Hansen,0.018966205118135425,0.0,10.761979166666666,1.5438020823516085e-09
Martin Morales,0.2122953763620507,0.0,7.695204274891774,1.2204660610194106e-06
Leonardo Carvalho,0.14339411299729624,0.0,8.148677884615385,4.612429349974169e-07
Devakumar Arumugam,0.11023822284070459,0.0,9.297853708791207,1.5037231854429416e-08
Tariq Al-Fahim,0.08754121139605245,0.0,9.098852040816329,9.325976249288262e-08
Mikhail Fyodorov,0.10445041996134614,0.0,8.47702876984127,1.082126627343268e-06
Angus Redwood,0.19011734399560334,0.0,7.331944444444444,1.251952380335042e-07
Ezra Bar-Zakai,0.09930376299949954,0.0,8.509488235529902,1.2491755707789253e-07
Marek Saar,0.2871014475398649,0.0,7.717904491341992,5.661735922546626e-08
Aurelio Costanzo,0.06093491524087013,0.0,9.459511929771907,1.2118917891040129e-06
Marius Ramonas,0.11887627200197912,0.0,9.347093011155511,1.36724401585131e-07
Mabel Nkosi,0.3010319602304878,0.0,7.146060463659147,5.0149091655231165e-08
Eyal Peretz,0.14504345296517207,0.0,9.272621457489878,1.1511265516087785e-07
Horatio Carlyle,0.17939658901610625,0.0,8.726697781385282,7.710053328833087e-08
Jamal Farrugia,0.29855219754996465,0.0,7.4653220663265305,1.798705772742236e-07
Lionel Seymour,0.09570619480258681,0.0,8.741770833333334,3.2444864448474134e-08
