Entity,Entropy,SemanticEntropy,Gap,Refusal
Xqtb Laur,0.3244001418179848,0.0,9.634814507198229,8.980099591104543e-07
Wnzatj SAS,0.3045411948667301,0.0,9.517018551997241,0.022737455709662003
Vkitze GmbH,0.24136418922371297,0.0,9.286637155282989,7.410281372654475e-07
Errg Zipo,0.3042799125625987,0.0,9.452768342391305,3.8829333039430305e-07
Txctcl AG,0.3892415531695447,0.0,9.021231028961292,4.52712045220139e-06
Clsvfw AG,0.3309007444554369,0.0,9.620686628186629,6.4408268365198484e-06
Skqn Esui,0.3399700297512782,0.0,9.428623188405796,1.921030431432045e-06
Lasnoj SAS,0.35411270736013223,0.0,9.115486686445736,1.7678610366174946e-06
Nchdfd AG,0.29741750185559335,0.0,9.115971494902947,2.1118193222455585e-06
Yrnw Lvgj,0.352412300373675,0.0,9.234593415843417,1.0354973627355155e-05
Qsihxg GmbH,0.4126487206160283,0.0,8.592697674799947,4.937732929935884e-06
Okrb Qxpd,0.3781739401617597,0.0,8.994161856661856,2.108198224751473e-06
Mnmi Haem,0.2693116211321884,0.0,10.045683396464646,0.02272935697859264
Qpubwe PLC,0.4352257479370994,0.0,8.58761047979798,3.454445911211621e-05
Ecxk Avfj,0.5944591639734149,0.0,8.031024444305693,2.223654863366307e-06
Dmimyu GmbH,0.2607115543626689,0.0,9.141798371647509,7.07176001750704e-07
Ajoo Gufx,0.39919130130665725,0.0,8.969079335016835,1.735214262779325e-06
Ctvepy SAS,0.28928375867004147,0.0,9.413136766334441,9.700011462044252e-07
Avrbci Ltd,0.3665724618574238,0.0,9.244923048048047,1.052355304001887e-06
Cqndue LLC,0.3014859198847056,0.0,9.251024669774672,1.7353319828784717e-05
Jzrcws SA,0.34507930615266424,0.0,8.751184794372294,3.3548246888499703e-06
Mjlwxf NV,0.3569749145458824,0.0,9.19066869803477,3.846324652092635e-06
Tapd Abuk,0.36902844804605794,0.0,9.191619483159116,2.100346851210365e-06
Ffsi Mneb,0.3618416716530276,0.0,9.583530154486038,1.6214671838324182e-06
