Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=31.0)",0.03125
Avrbci Ltd,"Beta(a=1, b=38.0)",0.02564102564102564
Clsvfw AG,"Beta(a=1, b=46.0)",0.02127659574468085
Cqndue LLC,"Beta(a=1, b=40.0)",0.024390243902439025
Ctvepy SAS,"Beta(a=1, b=44.0)",0.022222222222222223
Dmimyu GmbH,"Beta(a=1, b=30.0)",0.03225806451612903
Ecxk Avfj,"Beta(a=1, b=27.0)",0.03571428571428571
Errg Zipo,"Beta(a=1, b=47.0)",0.020833333333333332
Ffsi Mneb,"Beta(a=1, b=35.0)",0.027777777777777776
Jzrcws SA,"Beta(a=1, b=51.0)",0.019230769230769232
Lasnoj SAS,"Beta(a=1, b=59.0)",0.016666666666666666
Mjlwxf NV,"Beta(a=1, b=43.0)",0.022727272727272728
Mnmi Haem,"Beta(a=1, b=45.0)",0.021739130434782608
Nchdfd AG,"Beta(a=1, b=32.0)",0.030303030303030304
Okrb Qxpd,"Beta(a=1, b=43.0)",0.022727272727272728
Qpubwe PLC,"Beta(a=1, b=46.0)",0.02127659574468085
Qsihxg GmbH,"Beta(a=1, b=45.0)",0.021739130434782608
Skqn Esui,"Beta(a=1, b=47.0)",0.020833333333333332
Tapd Abuk,"Beta(a=1, b=42.0)",0.023255813953488372
Txctcl AG,"Beta(a=1, b=58.0)",0.01694915254237288
Vkitze GmbH,"Beta(a=1, b=46.0)",0.02127659574468085
Wnzatj SAS,"Beta(a=1, b=45.0)",0.021739130434782608
Xqtb Laur,"Beta(a=1, b=44.0)",0.022222222222222223
Yrnw Lvgj,"Beta(a=1, b=40.0)",0.024390243902439025
