Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=9.0)",0.1
Andor Bodnar,"Beta(a=1, b=8.0)",0.1111111111111111
Angus Redwood,"Beta(a=1, b=6.0)",0.14285714285714285
Arman Shaimerden,"Beta(a=1, b=17.0)",0.05555555555555555
Arthit Yodsuwan,"Beta(a=1, b=13.0)",0.07142857142857142
Arvind Malhotra,"Beta(a=5.0, b=11.0)",0.3125
Aurelio Bianchi,"Beta(a=1, b=13.0)",0.07142857142857142
Aurelio Costanzo,"Beta(a=1, b=15.0)",0.0625
Aurelius Wolff,"Beta(a=9.0, b=12.0)",0.42857142857142855
Ayberk Topcu,"Beta(a=1, b=12.0)",0.07692307692307693
Bagus Mandri,"Beta(a=9.0, b=13.0)",0.4090909090909091
Basim Al-Saleh,"Beta(a=1, b=20.0)",0.047619047619047616
Branislav Horvath,"Beta(a=5.0, b=13.0)",0.2777777777777778
Devakumar Arumugam,"Beta(a=1, b=14.0)",0.06666666666666667
Ernesto Aliaga,"Beta(a=1, b=13.0)",0.07142857142857142
Eun Suk Kang,"Beta(a=5.0, b=16.0)",0.23809523809523808
Eyal Peretz,"Beta(a=9.0, b=18.0)",0.3333333333333333
Ezra Bar-Zakai,"Beta(a=17.0, b=15.0)",0.53125
Farhad Al-Badri,"Beta(a=1, b=14.0)",0.06666666666666667
Fergus O'Leary,"Beta(a=1, b=13.0)",0.07142857142857142
Fotios Karantos,"Beta(a=5.0, b=10.0)",0.3333333333333333
Freyja Arnaldsdottir,"Beta(a=5.0, b=16.0)",0.23809523809523808
Giacomo Bianchi,"Beta(a=1, b=16.0)",0.058823529411764705
Gideon Low,"Beta(a=1, b=10.0)",0.09090909090909091
Gustavs Ozolins,"Beta(a=1, b=16.0)",0.058823529411764705
Helmut Kaiser,"Beta(a=5.0, b=11.0)",0.3125
Henk van der Veld,"Beta(a=1, b=17.0)",0.05555555555555555
Horatio Carlyle,"Beta(a=37.0, b=14.0)",0.7254901960784313
Jamal Farrugia,"Beta(a=13.0, b=12.0)",0.52
Jonas Schneider,"Beta(a=9.0, b=14.0)",0.391304347826087
Kai Yeo,"Beta(a=9.0, b=16.0)",0.36
Kalle Brandstr,"Beta(a=1, b=18.0)",0.05263157894736842
Karla Stein,"Beta(a=1, b=11.0)",0.08333333333333333
Kenan Iskender,"Beta(a=1, b=15.0)",0.0625
Konstantin Atanasov,"Beta(a=1, b=19.0)",0.05
Laurent Delcour,"Beta(a=9.0, b=14.0)",0.391304347826087
Leon Tomec,"Beta(a=1, b=15.0)",0.0625
Leonardo Carvalho,"Beta(a=5.0, b=16.0)",0.23809523809523808
Leonas Jucius,"Beta(a=1, b=11.0)",0.08333333333333333
Lev Al-Kindi,"Beta(a=5.0, b=9.0)",0.35714285714285715
Lionel Seymour,"Beta(a=5.0, b=10.0)",0.3333333333333333
Lukas Sovak,"Beta(a=29.0, b=13.0)",0.6904761904761905
Mabel Nkosi,"Beta(a=21.0, b=15.0)",0.5833333333333334
Magnus Toft-Hansen,"Beta(a=17.0, b=7.0)",0.7083333333333334
Marceau Leroy,"Beta(a=1, b=4.0)",0.2
Marek Saar,"Beta(a=1, b=12.0)",0.07692307692307693
Marius Ramonas,"Beta(a=1, b=14.0)",0.06666666666666667
Martin Morales,"Beta(a=5.0, b=11.0)",0.3125
Mason Collier,"Beta(a=1, b=18.0)",0.05263157894736842
Matija Sokol,"Beta(a=1, b=12.0)",0.07692307692307693
Mikhail Fyodorov,"Beta(a=1, b=16.0)",0.058823529411764705
Minh Thuc Nguyen,"Beta(a=13.0, b=17.0)",0.43333333333333335
Miran Krstic,"Beta(a=1, b=17.0)",0.05555555555555555
Nabil Al-Rasheed,"Beta(a=5.0, b=18.0)",0.21739130434782608
Olavi Lehtonen,"Beta(a=1, b=20.0)",0.047619047619047616
Rafael Nunes,"Beta(a=1, b=9.0)",0.1
Rafael S. Cedillo,"Beta(a=1, b=22.0)",0.043478260869565216
Risto Holappa,"Beta(a=1, b=14.0)",0.06666666666666667
Rohan Zwitters,"Beta(a=1, b=18.0)",0.05263157894736842
Roland Lancaster,"Beta(a=57.0, b=9.0)",0.8636363636363636
Salvador Cifuentes,"Beta(a=1, b=24.0)",0.04
Samir Al-Ghanim,"Beta(a=1, b=12.0)",0.07692307692307693
Santiago Riquelme,"Beta(a=1, b=14.0)",0.06666666666666667
Santino Martinez,"Beta(a=1, b=13.0)",0.07142857142857142
Silvino Azevedo,"Beta(a=13.0, b=14.0)",0.48148148148148145
Tadao Miyashimizu,"Beta(a=5.0, b=16.0)",0.23809523809523808
Tariq Al-Fahim,"Beta(a=1, b=15.0)",0.0625
Tomasz Rajewski,"Beta(a=1, b=17.0)",0.05555555555555555
Ulrik Hagen,"Beta(a=1, b=21.0)",0.045454545454545456
Vasco Monteiro,"Beta(a=1, b=13.0)",0.07142857142857142
Wei Qiu,"Beta(a=1, b=15.0)",0.0625
