Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.22474820276023907,0.0,7.785132575757576,1.453116180530553e-07
Mason Collier,0.43346107369941494,0.0,6.072273284313726,3.6290694393109224e-06
Lukas Sovak,0.3494355478429487,0.0,6.769045720361508,0.18421068884858072
Roland Lancaster,0.8289028843609976,0.0,3.033585858585859,0.5000002354178706
Arman Shaimerden,0.34282902201213505,0.0,6.464880952380952,8.780363372042966e-09
Fotios Karantos,0.49522230788782384,0.0,4.856858974358974,0.05013273480917026
Silvino Azevedo,0.1581403845260782,0.0,8.007575757575758,0.12500000041342016
Laurent Delcour,0.25759668022326815,0.0,6.5562962962962965,0.13334229844754114
Ayberk Topcu,0.24009270902707114,0.0,6.515056818181819,7.559348672191599e-07
Aurelius Wolff,0.3052184028005628,0.0,5.521047008547009,0.15384630262472407
Risto Holappa,0.12595433488592708,0.0,9.157517482517482,1.4773183475981445e-09
Gustavs Ozolins,0.08300542515150565,0.0,8.730631313131312,8.658196170565832e-09
Minh Thuc Nguyen,0.31663233167039906,0.0,6.498086124401914,0.07894750590753702
Wei Qiu,0.12304887584551104,0.0,8.548015873015872,4.606604788004048e-10
Kenan Iskender,0.13041656809485622,0.0,8.286904761904761,6.379398635266254e-10
Leon Tomec,0.3811524126008624,0.0,5.877083333333333,1.070065991738156e-06
Matija Sokol,0.11118151449523271,0.0,8.154683195592286,4.934499571506459e-09
Salvador Cifuentes,0.1967697943674962,0.0,6.711297760210803,1.3917176784029548e-08
Kalle Brandstr,0.2902306118742797,0.0,6.476470588235294,1.277806202147634e-09
Bagus Mandri,0.47575805375033486,0.0,6.345203081232492,0.14299672562035526
Ulrik Hagen,0.23937363323260952,0.0,6.808750000000001,1.3612381355939426e-09
Rohan Zwitters,0.21782930296623912,0.0,6.7173202614379095,9.201844325651614e-09
Farhad Al-Badri,0.08239571124173753,0.0,7.3453125,5.766016882541036e-09
Henk van der Veld,0.26351916332959796,0.0,6.683854166666667,3.566016856869185e-07
Aurelio Bianchi,0.11640485412068909,0.0,7.405208333333334,2.765056121169981e-10
Santiago Riquelme,0.337230028982837,0.0,7.57920540997464,2.1343861294520203e-08
Konstantin Atanasov,0.26887874782949667,0.0,6.545535714285715,2.452216666505445e-08
Magnus Toft-Hansen,0.35392932436787405,0.0,6.105555555555556,0.2500000052923963
Martin Morales,0.3543671958333465,0.0,5.913636363636363,0.09090958913895499
Leonardo Carvalho,0.1872290688209357,0.0,7.0558238636363635,0.031250001750231265
Devakumar Arumugam,0.39188822582323596,0.0,6.806129807692307,1.523780206102521e-07
Tariq Al-Fahim,0.09624249064287531,0.0,8.951190476190478,1.0383551135962913e-08
Mikhail Fyodorov,0.3959625886925679,0.0,6.337777777777778,4.843516031933329e-08
Angus Redwood,0.3142877917454046,0.0,5.961904761904762,9.659265903100289e-09
Ezra Bar-Zakai,0.33361120652410103,0.0,5.539043209876542,0.22222222261961402
Marek Saar,0.2807651327514314,0.0,7.332361767020859,7.652910863674178e-08
Aurelio Costanzo,0.1241788825287788,0.0,8.24368131868132,3.117988282866159e-09
Marius Ramonas,0.1852951335015423,0.0,7.363163919413919,1.1209400559340242e-07
Mabel Nkosi,0.44061642665497097,0.0,5.165116243405717,0.13161027775084014
Eyal Peretz,0.1716585088937119,0.0,8.072587719298246,0.1052631582173027
Horatio Carlyle,0.44372906691286224,0.0,6.183562901744719,0.2954601278965953
Jamal Farrugia,0.5122488269425544,0.0,6.223533163265307,0.2142863213654513
Lionel Seymour,0.25521525872685413,0.0,6.292424242424242,0.05000000590064689
Leonas Jucius,0.20129799356472136,0.0,6.827738095238095,3.0490765906901474e-08
Lev Al-Kindi,0.39532287347021017,0.0,7.035846560846561,0.05566909133576354
Helmut Kaiser,0.46816550576475785,0.0,5.555991735537191,0.09090909553481916
Adrian Vasile,0.40504490667749454,0.0,6.328125,3.4494052615326523e-09
Andor Bodnar,0.13751806908328784,0.0,8.046768707482993,3.136954209270215e-08
Fergus O'Leary,0.2426514441908517,0.0,6.741319444444444,7.750272572333861e-10
Nabil Al-Rasheed,0.2666717660719966,0.0,6.666115520282188,0.02777777987332919
Arthit Yodsuwan,0.42444774086018994,0.0,5.704513888888889,2.7775713005761234e-09
Vasco Monteiro,0.1734721984914327,0.0,6.827083333333333,2.4368552882194543e-08
Eun Suk Kang,0.25101985853156505,0.0,7.636197916666667,0.03125001075575473
Olavi Lehtonen,0.17014941895012828,0.0,7.66359649122807,9.206434783931057e-09
Jonas Schneider,0.3751694073904074,0.0,6.129074074074073,0.0666666956268401
Arvind Malhotra,0.40271545660491664,0.0,6.468308080808081,0.04545454578366658
Kai Yeo,0.3615067215088926,0.0,6.3088235294117645,0.05882353144897388
Samir Al-Ghanim,0.17251392806983612,0.0,6.497348484848485,4.463834946731472e-09
Rafael S. Cedillo,0.13710774576338267,0.0,8.159126984126985,1.1689057176967955e-07
Freyja Arnaldsdottir,0.14127068697336403,0.0,8.307409474206349,0.0625011802599058
Miran Krstic,0.013175201088390544,0.0,9.702126736111111,2.9556309664595086e-10
Giacomo Bianchi,0.2516072899644981,0.0,6.4025,2.191293503681774e-09
Ernesto Aliaga,0.024876842728733233,0.0,9.294782366071429,4.5633809722672595e-11
Basim Al-Saleh,0.06431973054208866,0.0,8.19417032163743,1.655386833355356e-10
Santino Martinez,0.18423472256414597,0.0,7.54265873015873,2.8343582221420753e-08
Rafael Nunes,0.20005379148558403,0.0,6.55625,9.14594298190817e-09
Tadao Miyashimizu,0.21820508253081944,0.0,6.760850694444444,0.03125000075081735
Branislav Horvath,0.2921797805752532,0.0,6.423534798534798,0.076925196795943
Karla Stein,0.08232668230589861,0.0,7.924623015873015,2.432537006780101e-09
Marceau Leroy,0.15389528933095184,0.0,7.691666666666666,3.761260459339555e-09
Gideon Low,0.18976616540783284,0.0,7.666666666666667,2.472495211612353e-08
