Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.054392540652389854,0.0,9.451996527777776,1.1972926891378822e-08
Mason Collier,0.17364719160748124,0.0,8.324002100840335,5.156015814236698e-08
Lukas Sovak,0.3467314382140193,0.0,7.1824261173767745,0.026316055643469675
Roland Lancaster,0.5054083106514718,0.0,5.74296629033845,0.2954545598927705
Arman Shaimerden,0.2586977144309562,0.0,6.921788194444445,1.7524745936272484e-07
Fotios Karantos,0.14419812386248823,0.0,7.960445075757578,0.10000003411443625
Silvino Azevedo,0.2495286662173639,0.0,8.296149553571428,2.4491655102183946e-07
Laurent Delcour,0.27635554379833305,0.0,7.912123015873016,6.696724202541008e-07
Ayberk Topcu,0.21653819098109484,0.0,7.700473484848484,4.857959782899147e-06
Aurelius Wolff,0.1971060636563738,0.0,7.781951121794872,6.969815334480852e-08
Risto Holappa,0.04235666834703668,0.0,9.67442281276416,1.119464098239953e-08
Gustavs Ozolins,0.036314622532700534,0.0,9.317044413919414,7.33266453806225e-09
Minh Thuc Nguyen,0.18544377437827841,0.0,7.896390013495276,2.5767402931759233e-09
Wei Qiu,0.13820247363603663,0.0,8.159001043599257,9.238563973854426e-09
Kenan Iskender,0.0648566232982462,0.0,8.991145833333334,1.6953292783307627e-07
Leon Tomec,0.2167758249323822,0.0,8.116617063492063,9.491844461553005e-07
Matija Sokol,0.1017586911027721,0.0,9.031761988011986,2.9831178406910824e-08
Salvador Cifuentes,0.17429718427482807,0.0,8.098975171869194,0.021739213927623742
Kalle Brandstr,0.12147666975994956,0.0,8.799811463046758,3.046339477996278e-08
Bagus Mandri,0.40921669514125336,0.0,6.609646454735739,7.901412928602908e-05
Ulrik Hagen,0.08838515168698638,0.0,9.186375135281384,5.050377433618581e-09
Rohan Zwitters,0.1336913313756427,0.0,8.68474025974026,1.453420378392343e-07
Farhad Al-Badri,0.07588354474997622,0.0,7.9425631660006655,1.6217138392788143e-08
Henk van der Veld,0.258963269527361,0.0,7.534063674812031,0.035191217628785014
Aurelio Bianchi,0.038696064960660914,0.0,8.780233134920636,4.660803236989734e-09
Santiago Riquelme,0.1305420894442953,0.0,7.882627148492533,1.921614120656919e-08
Konstantin Atanasov,0.07768224439299459,0.0,8.790552734302736,0.001188828726746379
Magnus Toft-Hansen,0.019244722898069236,0.0,9.872083333333332,1.5664458591357899e-09
Martin Morales,0.1953667532549851,0.0,7.118087121212121,4.495712443481297e-08
Leonardo Carvalho,0.17632461922058792,0.0,7.361861478365384,8.443607628505143e-06
Devakumar Arumugam,0.10419474976737722,0.0,8.289176968864469,4.95906800026023e-09
Tariq Al-Fahim,0.035266876577623806,0.0,8.504931972789114,2.8527793610534846e-08
Mikhail Fyodorov,0.1779384578413585,0.0,7.44719742063492,0.0005416688691618247
Angus Redwood,0.190207088505637,0.0,6.953025793650793,1.9158782277317597e-08
Ezra Bar-Zakai,0.12822252331944417,0.0,7.615721450617283,3.009684567077212e-08
Marek Saar,0.32890174119832705,0.0,7.086850649350649,1.1280871904803914e-07
Aurelio Costanzo,0.09655873533621472,0.0,8.32240003956128,1.9815898327264173e-06
Marius Ramonas,0.12913366874923227,0.0,8.643194826007328,1.0487976631488117e-06
Mabel Nkosi,0.3056762069699931,0.0,6.954331140350877,0.02631618644546082
Eyal Peretz,0.21488680098269586,0.0,8.16818526867869,6.814074793393425e-06
Horatio Carlyle,0.24115714882421094,0.0,7.74538014069264,4.637146876207421e-08
Jamal Farrugia,0.257294846492857,0.0,6.873379039115646,0.03571434122528723
Lionel Seymour,0.10696539730210133,0.0,7.25,8.159266566901135e-09
Leonas Jucius,0.051934096014912376,0.0,9.46907986111111,2.50146265368123e-09
Lev Al-Kindi,0.09848356366255612,0.0,7.942529461279461,5.034009405620784e-08
Helmut Kaiser,0.3108921781691751,0.0,7.824378320543093,2.4805694942312245e-07
Adrian Vasile,0.25140948481475883,0.0,8.585714285714285,1.0943438815444288e-07
Andor Bodnar,0.23891378240325628,0.0,8.44202806122449,3.831919517677301e-07
Fergus O'Leary,0.21183228677549948,0.0,8.11158234126984,5.46445541501041e-07
Nabil Al-Rasheed,0.1985528172876852,0.0,6.945287698412699,6.251345631694888e-07
Arthit Yodsuwan,0.2981722653755415,0.0,6.952783978174604,2.2822366057396017e-07
Vasco Monteiro,0.09971753401264737,0.0,7.660299654049655,8.392857563880446e-09
