Entity,Entropy,SemanticEntropy,Gap,Refusal
Tomasz Rajewski,0.2992255789132135,0.0,6.277994791666667,9.456598860646537e-07
Mason Collier,0.4223880290655982,0.0,5.777704831932773,0.029797237852006803
Lukas Sovak,0.37663729159948794,0.0,6.569234164957849,0.052631816923227194
Roland Lancaster,0.6410340978477921,0.0,4.1204703282828286,0.22776006393739612
Arman Shaimerden,0.25692942991904977,0.0,7.130936316287879,7.80091071475586e-07
Fotios Karantos,0.392998562932662,0.0,6.654999999999999,6.386326957041888e-07
Silvino Azevedo,0.16443121493566168,0.0,7.191919191919192,5.139992726096998e-07
Laurent Delcour,0.39734020512233553,0.0,6.8822222222222225,4.32122573945648e-07
Ayberk Topcu,0.13898631914935047,0.0,7.009848484848484,3.357655609709747e-07
Aurelius Wolff,0.33837619658881873,0.0,6.637179487179486,0.1538462205256677
Risto Holappa,0.223539394812429,0.0,7.474629537129537,1.621436485675322e-07
Gustavs Ozolins,0.1113130593410585,0.0,8.478958333333333,1.074716401853563e-07
Minh Thuc Nguyen,0.343978281557565,0.0,6.2923245614035075,0.10526335670478992
Wei Qiu,0.23666744997388928,0.0,7.155275651927438,4.067911598602615e-06
Kenan Iskender,0.18836176290286466,0.0,7.4157095508658015,7.622562847993199e-06
Leon Tomec,0.1512254819953933,0.0,7.3312003968253965,0.00037359172766345184
Matija Sokol,0.20024334869463986,0.0,7.328219696969697,4.0391754688426123e-07
Salvador Cifuentes,0.24122693091752576,0.0,7.014842132505174,5.283867456810135e-07
Kalle Brandstr,0.2885719662081408,0.0,6.833986928104575,2.3689428837067106e-06
Bagus Mandri,0.46232311455280417,0.0,6.459810799319728,4.060870064080481e-06
Ulrik Hagen,0.2593979096585458,0.0,6.630327380952382,1.367173290073298e-06
Rohan Zwitters,0.4338917512453612,0.0,6.69406512605042,0.029412202107185825
Farhad Al-Badri,0.09846651556484477,0.0,7.428258547008546,1.5396291561749956e-07
Henk van der Veld,0.28971979182248964,0.0,7.388563368055555,2.3059005167455626e-06
Aurelio Bianchi,0.10377666564734143,0.0,7.4649884259259265,0.08333344139853992
Santiago Riquelme,0.1338648222256616,0.0,7.785336538461539,7.7346719377604e-08
Konstantin Atanasov,0.13254496063032897,0.0,7.9171672077922075,1.6816640377756738e-07
Magnus Toft-Hansen,0.2100902477830338,0.0,7.039687499999999,1.3484202285002356e-06
Martin Morales,0.481408663990119,0.0,5.959722222222222,0.045930526178491894
Leonardo Carvalho,0.2240498678295386,0.0,6.63258308531746,0.0003517462003049254
Devakumar Arumugam,0.24134838287142146,0.0,6.786050407925408,3.713479480488707e-06
Tariq Al-Fahim,0.07162328520624085,0.0,8.524107142857142,4.7170578780310534e-07
Mikhail Fyodorov,0.25576080299127135,0.0,6.8086574074074075,0.16666677568868588
Angus Redwood,0.31980256031877485,0.0,5.497767857142857,5.97616541497814e-07
Ezra Bar-Zakai,0.2949716413085926,0.0,7.249140211640212,8.310690979100125e-07
Marek Saar,0.27835553685370784,0.0,6.88582702020202,0.09090920483860433
Aurelio Costanzo,0.2004880179731088,0.0,7.102963789682541,0.0016757496535919506
Marius Ramonas,0.2846543045025917,0.0,6.792548076923077,0.03846168154941521
Mabel Nkosi,0.34765055727267175,0.0,6.4776864035087725,0.0263164146825175
Eyal Peretz,0.23808469731157847,0.0,6.800149521531101,0.026316177717224557
Horatio Carlyle,0.4994231813471093,0.0,6.181584821428571,0.13636415171676686
