Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=32.0)",0.030303030303030304
Avrbci Ltd,"Beta(a=1, b=34.0)",0.02857142857142857
Clsvfw AG,"Beta(a=1, b=46.0)",0.02127659574468085
Cqndue LLC,"Beta(a=1, b=43.0)",0.022727272727272728
Ctvepy SAS,"Beta(a=1, b=41.0)",0.023809523809523808
Dmimyu GmbH,"Beta(a=1, b=53.0)",0.018518518518518517
Ecxk Avfj,"Beta(a=1, b=51.0)",0.019230769230769232
Errg Zipo,"Beta(a=1.4347736660131751, b=53.0)",0.026357667523636434
Ffsi Mneb,"Beta(a=1, b=43.0)",0.022727272727272728
Jzrcws SA,"Beta(a=1, b=29.0)",0.03333333333333333
Lasnoj SAS,"Beta(a=1, b=44.0)",0.022222222222222223
Mjlwxf NV,"Beta(a=1, b=44.0)",0.022222222222222223
Mnmi Haem,"Beta(a=1, b=51.0)",0.019230769230769232
Nchdfd AG,"Beta(a=1, b=55.0)",0.017857142857142856
Okrb Qxpd,"Beta(a=1, b=38.0)",0.02564102564102564
Qpubwe PLC,"Beta(a=1, b=34.0)",0.02857142857142857
Qsihxg GmbH,"Beta(a=1, b=33.0)",0.029411764705882353
Skqn Esui,"Beta(a=1, b=52.0)",0.018867924528301886
Tapd Abuk,"Beta(a=1.7635042566496884, b=44.0)",0.03853516651084344
Txctcl AG,"Beta(a=3.6666586667626655, b=38.0)",0.08799982489806761
Vkitze GmbH,"Beta(a=1, b=41.0)",0.023809523809523808
Wnzatj SAS,"Beta(a=2.333344698180793, b=40.0)",0.055118363900055
Xqtb Laur,"Beta(a=1, b=35.0)",0.027777777777777776
Yrnw Lvgj,"Beta(a=1, b=46.0)",0.02127659574468085
