Entity,Entropy,SemanticEntropy,Gap,Refusal
Xqtb Laur,0.2729543113106959,0.0,9.194860670660088,5.220594634995053e-07
Wnzatj SAS,0.30015843924633834,0.0,8.928534746503495,3.828267002671936e-07
Vkitze GmbH,0.1751518383919126,0.0,9.212827380952383,8.706294650711538e-08
Errg Zipo,0.320065703680738,0.0,8.64551424571805,6.122813317995692e-07
Txctcl AG,0.2857469426096549,0.0,8.651476806575491,0.008905284060449966
Clsvfw AG,0.23494963351832712,0.0,9.223249158249159,6.055280497071738e-07
Skqn Esui,0.289979166101323,0.0,8.88888859479892,4.376448591458743e-07
Lasnoj SAS,0.32486110501138576,0.0,8.661105046773148,2.3208125267482107e-06
Nchdfd AG,0.2147748689415779,0.0,8.775269253595864,1.9288229102171744e-07
Yrnw Lvgj,0.3556071870352701,0.0,8.45849855272932,0.0002767846717319712
Qsihxg GmbH,0.2865996341787039,0.0,8.544148670142986,7.140701140310445e-07
Okrb Qxpd,0.23559424490424524,0.0,8.972070406445408,6.358050243895644e-07
Mnmi Haem,0.259006722142041,0.0,9.266925955988457,1.3106056848122272e-07
Qpubwe PLC,0.33034744614507977,0.0,8.405354587542087,1.2269611533283827e-06
Ecxk Avfj,0.24357822426020584,0.0,8.952211156898656,7.349047019875684e-07
Dmimyu GmbH,0.25630796165872777,0.0,8.870893199233718,7.931717142216593e-06
Ajoo Gufx,0.26961370910350496,0.0,8.868298611111111,1.4343474255829048e-07
Ctvepy SAS,0.3053681267993335,0.0,8.911171306084096,8.270681771013174e-07
Avrbci Ltd,0.3331470008760519,0.0,8.546455262080263,6.051154193780652e-07
Cqndue LLC,0.18951650370469908,0.0,9.245920745920747,1.8359902027706733e-07
Jzrcws SA,0.3018954485569707,0.0,8.442956439393939,2.6938875036567472e-06
Mjlwxf NV,0.22917731641288408,0.0,9.234203321480107,6.677320038224664e-07
Tapd Abuk,0.24724144367943748,0.0,8.822041627072114,5.137850986491211e-07
Ffsi Mneb,0.3084702697100892,0.0,8.753579386299974,1.0401457781867515e-06
