Entity,Entropy,SemanticEntropy,Gap,Refusal
Xqtb Laur,0.21794391539831356,0.0,9.408823020487265,3.9931126630061245e-08
Wnzatj SAS,0.19416789130427423,0.0,9.663800392316018,9.300434073206637e-07
Vkitze GmbH,0.10250248915542823,0.0,9.882318121693123,1.7429529029931878e-08
Errg Zipo,0.2241971560483841,0.0,9.289458786231881,1.3019803226757434e-07
Txctcl AG,0.3205692537043618,0.0,8.532484657155711,0.008772129150721814
Clsvfw AG,0.1976975394972883,0.0,9.146545965608466,2.2049921963060745e-07
Skqn Esui,0.21740546521596602,0.0,9.4470432194617,7.836048916204616e-08
Lasnoj SAS,0.25160704291246944,0.0,9.18483810550082,1.363922179060998e-07
Nchdfd AG,0.2202002408735502,0.0,9.158203725038403,3.3655195821808406e-06
Yrnw Lvgj,0.25187867788044893,0.0,8.898046398046395,0.05128215666943704
Qsihxg GmbH,0.19018696743405805,0.0,9.071491702741703,9.302129105266424e-08
Okrb Qxpd,0.2937689586251969,0.0,8.591103799474334,0.011904861811182813
Mnmi Haem,0.1774546066809963,0.0,9.604758522727273,6.908896217004878e-08
Qpubwe PLC,0.18873607581235063,0.0,9.273989748677248,4.740964088040873e-08
Ecxk Avfj,0.22376445767077405,0.0,8.88886504120879,1.1888569753221594e-07
Dmimyu GmbH,0.1888327443811434,0.0,9.076885775862069,4.29180446373427e-08
Ajoo Gufx,0.20722940702394027,0.0,9.377552083333335,6.037390668141758e-08
Ctvepy SAS,0.2194609807358143,0.0,9.38658464839424,1.690452471814466e-07
Avrbci Ltd,0.22852399693900022,0.0,9.287029440154441,8.172050666346478e-08
Cqndue LLC,0.09429297182305656,0.0,10.145011065323567,1.9653363542718537e-08
Jzrcws SA,0.2943796933489464,0.0,9.057691152597403,0.03000009311714591
Mjlwxf NV,0.16211088420489597,0.0,9.689269770408165,9.743294382017328e-08
Tapd Abuk,0.23348068034847622,0.0,9.550540795586528,6.476149528230423e-08
Ffsi Mneb,0.19597874614788152,0.0,9.488515406162465,6.537038607155957e-08
