Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=15.0)",0.0625
Andor Bodnar,"Beta(a=1, b=13.0)",0.07142857142857142
Angus Redwood,"Beta(a=1, b=13.0)",0.07142857142857142
Arman Shaimerden,"Beta(a=1, b=14.0)",0.06666666666666667
Arthit Yodsuwan,"Beta(a=1, b=13.0)",0.07142857142857142
Arvind Malhotra,"Beta(a=1, b=9.0)",0.1
Aurelio Bianchi,"Beta(a=1, b=11.0)",0.08333333333333333
Aurelio Costanzo,"Beta(a=1, b=12.0)",0.07692307692307693
Aurelius Wolff,"Beta(a=1, b=11.0)",0.08333333333333333
Ayberk Topcu,"Beta(a=1, b=11.0)",0.08333333333333333
Bagus Mandri,"Beta(a=1, b=12.0)",0.07692307692307693
Basim Al-Saleh,"Beta(a=1, b=14.0)",0.06666666666666667
Branislav Horvath,"Beta(a=1, b=14.0)",0.06666666666666667
Devakumar Arumugam,"Beta(a=1, b=13.0)",0.07142857142857142
Ernesto Aliaga,"Beta(a=1, b=11.0)",0.08333333333333333
Eun Suk Kang,"Beta(a=1, b=11.0)",0.08333333333333333
Eyal Peretz,"Beta(a=1, b=12.0)",0.07692307692307693
Ezra Bar-Zakai,"Beta(a=1, b=12.0)",0.07692307692307693
Farhad Al-Badri,"Beta(a=1, b=12.0)",0.07692307692307693
Fergus O'Leary,"Beta(a=1, b=14.0)",0.06666666666666667
Fotios Karantos,"Beta(a=1, b=13.0)",0.07142857142857142
Freyja Arnaldsdottir,"Beta(a=1, b=12.0)",0.07692307692307693
Giacomo Bianchi,"Beta(a=1, b=12.0)",0.07692307692307693
Gideon Low,"Beta(a=1, b=12.0)",0.07692307692307693
Gustavs Ozolins,"Beta(a=1, b=11.0)",0.08333333333333333
Helmut Kaiser,"Beta(a=1, b=12.0)",0.07692307692307693
Henk van der Veld,"Beta(a=1, b=12.0)",0.07692307692307693
Horatio Carlyle,"Beta(a=1, b=12.0)",0.07692307692307693
Jamal Farrugia,"Beta(a=1, b=12.0)",0.07692307692307693
Jonas Schneider,"Beta(a=1, b=12.0)",0.07692307692307693
Kai Yeo,"Beta(a=1, b=12.0)",0.07692307692307693
Kalle Brandstr,"Beta(a=1, b=12.0)",0.07692307692307693
Karla Stein,"Beta(a=1, b=12.0)",0.07692307692307693
Kenan Iskender,"Beta(a=1, b=15.0)",0.0625
Konstantin Atanasov,"Beta(a=1, b=13.0)",0.07142857142857142
Laurent Delcour,"Beta(a=1, b=13.0)",0.07142857142857142
Leon Tomec,"Beta(a=1, b=11.0)",0.08333333333333333
Leonardo Carvalho,"Beta(a=1, b=15.0)",0.0625
Leonas Jucius,"Beta(a=1, b=13.0)",0.07142857142857142
Lev Al-Kindi,"Beta(a=1, b=13.0)",0.07142857142857142
Lionel Seymour,"Beta(a=5.0, b=26.0)",0.16129032258064516
Lukas Sovak,"Beta(a=1, b=12.0)",0.07692307692307693
Mabel Nkosi,"Beta(a=1, b=11.0)",0.08333333333333333
Magnus Toft-Hansen,"Beta(a=1, b=13.0)",0.07142857142857142
Marceau Leroy,"Beta(a=1, b=14.0)",0.06666666666666667
Marek Saar,"Beta(a=1, b=13.0)",0.07142857142857142
Marius Ramonas,"Beta(a=1, b=13.0)",0.07142857142857142
Martin Morales,"Beta(a=1, b=13.0)",0.07142857142857142
Mason Collier,"Beta(a=1, b=11.0)",0.08333333333333333
Matija Sokol,"Beta(a=1, b=13.0)",0.07142857142857142
Mikhail Fyodorov,"Beta(a=1, b=12.0)",0.07692307692307693
Minh Thuc Nguyen,"Beta(a=1, b=12.0)",0.07692307692307693
Miran Krstic,"Beta(a=1, b=13.0)",0.07142857142857142
Nabil Al-Rasheed,"Beta(a=1, b=13.0)",0.07142857142857142
Olavi Lehtonen,"Beta(a=1, b=13.0)",0.07142857142857142
Rafael Nunes,"Beta(a=1, b=13.0)",0.07142857142857142
Rafael S. Cedillo,"Beta(a=1, b=12.0)",0.07692307692307693
Risto Holappa,"Beta(a=1, b=13.0)",0.07142857142857142
Rohan Zwitters,"Beta(a=1, b=13.0)",0.07142857142857142
Roland Lancaster,"Beta(a=57.0, b=155.0)",0.2688679245283019
Salvador Cifuentes,"Beta(a=1, b=12.0)",0.07692307692307693
Samir Al-Ghanim,"Beta(a=1, b=13.0)",0.07142857142857142
Santiago Riquelme,"Beta(a=1, b=13.0)",0.07142857142857142
Santino Martinez,"Beta(a=1, b=13.0)",0.07142857142857142
Silvino Azevedo,"Beta(a=5.0, b=25.0)",0.16666666666666666
Tadao Miyashimizu,"Beta(a=1, b=12.0)",0.07692307692307693
Tariq Al-Fahim,"Beta(a=1, b=11.0)",0.08333333333333333
Tomasz Rajewski,"Beta(a=1, b=13.0)",0.07142857142857142
Ulrik Hagen,"Beta(a=1, b=14.0)",0.06666666666666667
Vasco Monteiro,"Beta(a=1, b=12.0)",0.07692307692307693
Wei Qiu,"Beta(a=1, b=13.0)",0.07142857142857142
