Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.12192188231180938,0.0,7.7552579365079355,4.674606623188814e-06
Eyal Peretz,0.04955749665915205,0.0,9.459090909090909,2.5078662814996183e-12
Olavi Lehtonen,0.055571130511517214,0.0,8.84375,1.2733259764434899e-09
Magnus Toft-Hansen,0.5753302511154775,0.0,6.2086805555555555,3.7784071689469226e-09
Basim Al-Saleh,0.0035952297968932694,0.0,10.806410256410258,2.2693537670698473e-12
Tadao Miyashimizu,0.24246439191220734,0.0,7.005681818181818,7.64589009845006e-09
Lionel Seymour,0.08431012911739352,0.0,8.702350427350428,0.038461539665923264
Ayberk Topcu,0.14509838399176564,0.0,8.7975,7.028087518424e-11
Mabel Nkosi,0.22290294235890343,0.0,7.0075,2.5432437179585e-10
Vasco Monteiro,0.16202195203321465,0.0,7.501515151515151,1.3279008594998127e-08
Kenan Iskender,0.05384769501298425,0.0,9.320833333333335,2.582028229463143e-10
Martin Morales,0.14363294738240093,0.0,8.673611111111109,7.310594359890196e-09
Kai Yeo,0.18247261633569548,0.0,7.237121212121213,4.521887922857726e-10
Leonardo Carvalho,0.1660546349889566,0.0,7.151190476190476,1.3147731719575562e-10
Samir Al-Ghanim,0.1375239994403172,0.0,8.70486111111111,1.5396061354635082e-10
Lukas Sovak,0.12870140793377163,0.0,9.578030303030301,1.9529374279281947e-07
Minh Thuc Nguyen,0.20276675236426797,0.0,7.545549242424243,1.0421538697433608e-08
Konstantin Atanasov,0.27849209224190824,0.0,7.539583333333333,3.831565309081666e-10
Jonas Schneider,0.32344119369696606,0.0,6.168181818181818,1.3231125209187627e-08
Marek Saar,0.3297358516357768,0.0,7.932291666666667,2.2111604233850893e-08
Miran Krstic,0.013810897264061671,0.0,8.99702380952381,4.649349557355408e-11
Leon Tomec,0.19884134792737312,0.0,7.8125,3.684830302431302e-10
Gideon Low,0.048534529789839964,0.0,9.54090909090909,8.736528366134821e-08
Bagus Mandri,0.39185140552080794,0.0,6.468181818181819,8.698225260395966e-09
Ernesto Aliaga,0.011436389390283217,0.0,9.40811011904762,2.8757975517536456e-11
Salvador Cifuentes,0.1738484557308394,0.0,7.286363636363637,2.6160927903091225e-10
Freyja Arnaldsdottir,0.32778116863366286,0.0,7.200757575757575,4.898650055671562e-10
Eun Suk Kang,0.36922624854149644,0.0,8.855833333333333,4.9359925541471e-09
Angus Redwood,0.17446841457640402,0.0,7.345833333333334,3.728894871012367e-09
Arman Shaimerden,0.17494468070515015,0.0,7.948076923076924,4.5500741589027937e-10
Santino Martinez,0.100309155124584,0.0,8.987499999999999,1.9481019793017643e-11
Tariq Al-Fahim,0.14837413290022206,0.0,9.162142857142857,1.8878889032459906e-09
Lev Al-Kindi,0.054027291998520265,0.0,9.820287698412697,2.3595561122147905e-09
Leonas Jucius,0.1434886256808803,0.0,7.851067927170868,6.331474345006895e-08
Nabil Al-Rasheed,0.057756750043699866,0.0,9.452777777777778,1.0822666294691327e-11
Marius Ramonas,0.007593146664143388,0.0,10.257291666666667,8.790500850740351e-10
Giacomo Bianchi,0.10626249780578044,0.0,9.006818181818181,5.115043043418774e-09
Tomasz Rajewski,0.16684855405107255,0.0,9.007242063492065,3.921689841502689e-09
Mikhail Fyodorov,0.044408312099038796,0.0,9.19318181818182,3.8705128932449027e-10
Gustavs Ozolins,0.06463840195555956,0.0,8.505312499999999,7.418712158585144e-10
Adrian Vasile,0.17633348162687637,0.0,7.154166666666668,8.059461317568215e-10
Aurelio Bianchi,0.06304635531610983,0.0,9.01,7.135531387933187e-11
Branislav Horvath,0.17574098688625947,0.0,8.33878205128205,2.765346190389724e-10
Arthit Yodsuwan,0.22734716832120386,0.0,7.465277777777779,7.646723368029797e-10
Jamal Farrugia,0.12460822755329265,0.0,9.838636363636363,7.452988482434422e-10
Roland Lancaster,0.7274128824002452,0.0,4.217594659391535,0.08035891953597708
Henk van der Veld,0.2002185123308939,0.0,6.5984848484848495,2.2987343321064957e-09
Helmut Kaiser,0.2593725048940651,0.0,7.063825757575757,2.1127642349287917e-09
Risto Holappa,0.09615798084703364,0.0,9.047395833333333,3.4426895431717325e-10
Silvino Azevedo,0.09802081351658626,0.0,8.859682539682543,0.040000000019055786
Marceau Leroy,0.27034200175078765,0.0,7.101923076923076,8.598343457380544e-10
Karla Stein,0.28792465263869654,0.0,7.683333333333334,6.671680024781033e-08
Wei Qiu,0.3336358325623223,0.0,7.329861111111112,1.979128566797962e-08
Rafael Nunes,0.07199071594944446,0.0,7.604166666666667,9.851467677196551e-11
Aurelio Costanzo,0.08549940505026384,0.0,10.420247933884298,3.3809159494179873e-10
Rohan Zwitters,0.049860775663279365,0.0,9.458333333333334,4.36731985342527e-10
Andor Bodnar,0.2397189804921225,0.0,6.9707341269841265,2.2454521737795784e-08
Farhad Al-Badri,0.02106043260648292,0.0,9.65806277056277,1.08932736798675e-08
Fotios Karantos,0.11085261927081168,0.0,9.147916666666667,9.637416262889739e-09
Mason Collier,0.07525219727326457,0.0,10.606666666666667,1.0009507222035225e-08
Santiago Riquelme,0.12761720601285287,0.0,9.347000200320513,7.198316131028029e-10
Ezra Bar-Zakai,0.18986859974722206,0.0,8.492171717171717,3.307911125158483e-08
Ulrik Hagen,0.2557306492862882,0.0,8.279487179487178,6.946648437799161e-10
Aurelius Wolff,0.14278864671952834,0.0,7.5125,8.808664235808624e-09
Devakumar Arumugam,0.33514711721829576,0.0,7.277777777777779,3.809510888882881e-08
Kalle Brandstr,0.12815187658954083,0.0,7.950757575757575,2.433966469115967e-10
Arvind Malhotra,0.5601873313757626,0.0,4.744791666666666,4.0649326932913274e-10
Fergus O'Leary,0.4742783486293867,0.0,6.304487179487181,1.1619202023137107e-09
Matija Sokol,0.09093425968218677,0.0,9.311458333333333,8.880438117742814e-10
Rafael S. Cedillo,0.1310463834580484,0.0,8.09621212121212,7.170697679700705e-08
Horatio Carlyle,0.3318533998169269,0.0,6.949999999999999,7.687804664385624e-05
