Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.4524343648535007,0.0,6.352892561983472,3.606114987011769e-06
Eyal Peretz,0.09580787051085421,0.0,7.6039142628205125,4.826503964411311e-08
Olavi Lehtonen,0.012004677688679521,0.0,10.11875,8.110367811370311e-10
Magnus Toft-Hansen,0.13343350806288942,0.0,10.361328125,1.758067987037727e-08
Basim Al-Saleh,0.14691360995203478,0.0,6.860953282828282,2.534031697531969e-08
Tadao Miyashimizu,0.1813051771135642,0.0,7.477194940476191,2.8973428414791334e-08
Lionel Seymour,0.057014986355155395,0.0,7.837425595238095,1.706039126081471e-08
Ayberk Topcu,0.06815192500919694,0.0,8.622968750000002,5.0327877393341325e-08
Mabel Nkosi,0.44524498271106683,0.0,6.16816829004329,0.028571862633759836
Vasco Monteiro,0.1737122421667215,0.0,5.744462481962482,1.724044338200705e-07
Kenan Iskender,0.11722948683899025,0.0,7.986395202020201,9.212249457208282e-08
Martin Morales,0.37047280672232047,0.0,5.741341991341992,8.041797574198902e-07
Tomasz Rajewski,0.14558117880721122,0.0,8.232805059523809,2.8554164671450166e-08
Lev Al-Kindi,0.08672265008267767,0.0,7.5000157828282825,4.263360077934782e-08
Gustavs Ozolins,0.07092029137116121,0.0,8.56476362179487,2.619461987041216e-08
Gideon Low,0.0999627647246458,0.0,9.382264957264958,1.3722666103752365e-08
Rafael S. Cedillo,0.12101683928404691,0.0,7.871073082010582,4.5147175291150434e-07
Bagus Mandri,0.26583174036415275,0.0,6.827132936507937,6.623125335264897e-08
Horatio Carlyle,0.15154741663969293,0.0,7.477127976190476,4.927199689641615e-08
Giacomo Bianchi,0.17888583179839587,0.0,7.891335978835979,2.8475975916770263e-08
Matija Sokol,0.2570826169734465,0.0,5.991145833333333,1.679741411964031e-07
Risto Holappa,0.04775293466307341,0.0,8.945304487179488,1.3934501897142072e-08
Fotios Karantos,0.15936084372918324,0.0,7.716673724825898,0.04347834406631187
Rohan Zwitters,0.07252582170791667,0.0,8.370546782762693,6.351769746408427e-08
Aurelius Wolff,0.0544796712333967,0.0,10.416666666666668,2.1847918911521714e-09
Eun Suk Kang,0.10835767497367027,0.0,7.903152056277056,6.895032865621027e-08
Aurelio Costanzo,0.0514479715548101,0.0,7.686916599025975,7.992081645135166e-09
Farhad Al-Badri,0.06638026236872832,0.0,7.622828733766234,5.016850002620421e-07
Marius Ramonas,0.18593971866065956,0.0,6.808506944444444,2.6019148186961354e-08
Branislav Horvath,0.2064100864088742,0.0,7.3332291666666665,1.288898825300977e-07
Freyja Arnaldsdottir,0.13023819505007245,0.0,7.71203125,5.101272898454245e-07
Andor Bodnar,0.1290506142579299,0.0,8.531385281385282,4.094114958818605e-08
Helmut Kaiser,0.35809753078244877,0.0,6.687307098765432,4.307124009040381e-07
Kai Yeo,0.1226802616905563,0.0,7.259844322344322,1.7697658249139234e-08
Arvind Malhotra,0.04990825784072166,0.0,8.861205357142858,4.797953301761276e-09
Arthit Yodsuwan,0.3013911457774685,0.0,6.6190773809523815,3.5577067885716326e-08
Leonas Jucius,0.25004288343475306,0.0,6.926988636363637,3.130504565059735e-08
Henk van der Veld,0.2340483464162088,0.0,7.274130817099566,2.0615825471748116e-08
Lukas Sovak,0.1380221587198762,0.0,7.705303030303029,2.4371174636464685e-08
Aurelio Bianchi,0.176085835277884,0.0,7.906584821428572,7.29461711104773e-09
Arman Shaimerden,0.1994187741326944,0.0,6.757407407407407,1.3246558359165168e-07
Fergus O'Leary,0.11477518611721582,0.0,8.366951884920633,3.642682493684423e-06
Karla Stein,0.28222160411442726,0.0,6.6066287878787895,6.97933165307913e-08
Adrian Vasile,0.11623886882190552,0.0,7.4160466269841265,2.8121345918563634e-08
Marceau Leroy,0.18980267278132187,0.0,7.227916666666667,3.0794571483083734e-09
Silvino Azevedo,0.12882819834911277,0.0,8.023726851851851,6.019763915738391e-09
Devakumar Arumugam,0.21797238878352557,0.0,7.711654265873015,7.169414691365894e-08
Mikhail Fyodorov,0.09043369846661599,0.0,7.60428841991342,1.4706165719534748e-08
Miran Krstic,0.10890116324176916,0.0,8.397343750000001,1.1600732092026389e-07
Leonardo Carvalho,0.27198837340543086,0.0,5.700405092592592,1.510399109487063e-07
Salvador Cifuentes,0.17295420473080816,0.0,7.824395743145743,1.3281768544931067e-06
Nabil Al-Rasheed,0.2980852775135645,0.0,6.760838293650794,2.3977793475182807e-06
Rafael Nunes,0.04242402119586284,0.0,8.399270833333333,1.6176641786519452e-08
Marek Saar,0.33247509373904854,0.0,6.76532738095238,2.0113664816918951e-07
Roland Lancaster,0.2865514919175404,0.0,6.332145288012378,0.07312258964587823
Jamal Farrugia,0.1623064359825174,0.0,6.737118055555555,1.3263173298527776e-08
Ezra Bar-Zakai,0.32404432462510335,0.0,6.022619047619047,7.707378153753996e-08
Samir Al-Ghanim,0.12755167938179915,0.0,7.667317708333332,3.936371281015871e-08
Santiago Riquelme,0.1969239245449167,0.0,7.054305555555556,1.1015629219901513e-07
Santino Martinez,0.30439435314156643,0.0,5.814980158730159,3.937537896346445e-07
Mason Collier,0.032151128036613866,0.0,8.19546130952381,4.6422955063407656e-10
Angus Redwood,0.23883766327739675,0.0,6.9572916666666655,1.1128776537954604e-06
Ulrik Hagen,0.0726398033766938,0.0,9.350499311294767,3.1317735576569753e-09
Jonas Schneider,0.08772837379153563,0.0,8.529545454545454,3.2676392811267524e-08
Konstantin Atanasov,0.15763999204358572,0.0,7.152997835497835,1.6213398661146795e-08
Ernesto Aliaga,0.036398887920274056,0.0,8.394453463203462,2.380040434258904e-08
Minh Thuc Nguyen,0.11864571135345849,0.0,8.427039930555555,5.852261355208943e-09
Kalle Brandstr,0.0738709678448607,0.0,8.315024038461539,1.293091256189538e-08
Leon Tomec,0.21917329978942193,0.0,6.645541914682539,3.3711675340164504e-08
Tariq Al-Fahim,0.06994237012391008,0.0,8.184325396825397,2.0113218343917634e-09
Wei Qiu,0.22332496024921836,0.0,6.672991071428571,1.1621981432587334e-07
