Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.4004096728561649,0.0,6.72890625,1.6995090853372252e-07
Eyal Peretz,0.0285030591266415,0.0,8.017447916666665,3.6651034624780865e-09
Olavi Lehtonen,0.029330201360739414,0.0,8.879166666666666,1.8851361776918893e-07
Magnus Toft-Hansen,0.1617697890028972,0.0,7.135416666666667,1.7622099170629588e-07
Basim Al-Saleh,0.10711618013394311,0.0,8.65625,6.296626836995881e-08
Tadao Miyashimizu,0.1391893721809278,0.0,6.878571428571428,8.713230819396805e-09
Lionel Seymour,0.030730092250624213,0.0,10.200446428571428,9.907822340338157e-10
Ayberk Topcu,0.13505538463479502,0.0,8.535714285714286,4.281465237105613e-08
Mabel Nkosi,0.5683147361548999,0.0,5.326636904761905,1.3273297254962863e-06
Vasco Monteiro,0.10754907147590011,0.0,8.6125,2.8142654533158673e-08
Kenan Iskender,0.1439861022600275,0.0,8.161805555555555,1.0225904306659928e-07
Martin Morales,0.16402640241493435,0.0,8.328125000000002,2.1491147131743763e-08
Kai Yeo,0.2362653922704112,0.0,7.10546875,1.1005146913385666e-07
Leonardo Carvalho,0.2691807313297129,0.0,6.9125,2.0205051135757658e-06
Samir Al-Ghanim,0.06151070561671596,0.0,8.24375,2.960743315120037e-07
Lukas Sovak,0.10094690807372787,0.0,10.785714285714286,6.672071146367792e-08
Minh Thuc Nguyen,0.07783812151367898,0.0,9.951041666666669,4.307997387327511e-07
Konstantin Atanasov,0.1583396250608113,0.0,8.633658854166667,7.590679020237634e-08
Jonas Schneider,0.4343468002330214,0.0,5.801609848484849,2.396054017766198e-06
Marek Saar,0.32189630785388645,0.0,7.17265625,3.2177995039813406e-07
Miran Krstic,0.21994292227496512,0.0,8.657366071428571,3.2854079278340655e-07
Leon Tomec,0.14540850884273707,0.0,7.700892857142856,4.161656905595937e-08
Gideon Low,0.251790823078177,0.0,7.546577380952381,3.559458637281132e-07
Bagus Mandri,0.26569318572001066,0.0,6.30390625,7.400954626923806e-08
Ernesto Aliaga,0.07892614702467696,0.0,9.541666666666666,5.928520644642761e-08
Salvador Cifuentes,0.2597995399780538,0.0,7.531597222222222,6.972892963339225e-08
Freyja Arnaldsdottir,0.34131783528261966,0.0,6.349702380952381,7.802084862201797e-08
Eun Suk Kang,0.604123866399459,0.0,4.778125,6.231090324620992e-06
Angus Redwood,0.2572287529324448,0.0,7.658928571428571,1.3857192012903648e-07
Arman Shaimerden,0.06764720453952577,0.0,8.980883049242424,2.922163188506799e-08
Santino Martinez,0.2220193485707222,0.0,6.361607142857143,6.911039731466451e-08
Tariq Al-Fahim,0.031451239784205214,0.0,8.856994047619049,4.946664795636911e-08
Lev Al-Kindi,0.20826703160822843,0.0,6.965277777777779,4.385393589008875e-07
Leonas Jucius,0.06080658570818157,0.0,8.647544642857143,5.8108724165784054e-08
Nabil Al-Rasheed,0.0839846565423137,0.0,7.2872023809523805,2.978300606375812e-07
Marius Ramonas,0.21818934137632562,0.0,8.366071428571429,2.2787968583554933e-08
