Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1, b=23.0)",0.041666666666666664
Clsvfw AG,"Beta(a=1, b=23.0)",0.041666666666666664
Cqndue LLC,"Beta(a=1, b=19.0)",0.05
Ctvepy SAS,"Beta(a=1, b=23.0)",0.041666666666666664
Dmimyu GmbH,"Beta(a=1, b=24.0)",0.04
Ecxk Avfj,"Beta(a=1, b=22.0)",0.043478260869565216
Errg Zipo,"Beta(a=1, b=22.0)",0.043478260869565216
Ffsi Mneb,"Beta(a=1.4361573584374252, b=19.0)",0.07027531317400443
Jzrcws SA,"Beta(a=2.8876504169922184, b=273.0)",0.010466762149837659
Lasnoj SAS,"Beta(a=1, b=23.0)",0.041666666666666664
Mjlwxf NV,"Beta(a=1.5252947780681816, b=23.0)",0.0621927194706822
Mnmi Haem,"Beta(a=1, b=21.0)",0.045454545454545456
Nchdfd AG,"Beta(a=1, b=18.0)",0.05263157894736842
Okrb Qxpd,"Beta(a=1, b=23.0)",0.041666666666666664
Qpubwe PLC,"Beta(a=1, b=22.0)",0.043478260869565216
Qsihxg GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Skqn Esui,"Beta(a=1, b=24.0)",0.04
Tapd Abuk,"Beta(a=1, b=21.0)",0.045454545454545456
Txctcl AG,"Beta(a=5.188271996634336, b=23.0)",0.18405782366701348
Vkitze GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Wnzatj SAS,"Beta(a=247.05497742780673, b=121.0)",0.671244766622579
Xqtb Laur,"Beta(a=1, b=23.0)",0.041666666666666664
Yrnw Lvgj,"Beta(a=1.8123883603158402, b=22.0)",0.07611115411405969
