Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=35.0)",0.027777777777777776
Avrbci Ltd,"Beta(a=1, b=36.0)",0.02702702702702703
Clsvfw AG,"Beta(a=1, b=33.0)",0.029411764705882353
Cqndue LLC,"Beta(a=1, b=40.0)",0.024390243902439025
Ctvepy SAS,"Beta(a=1, b=33.0)",0.029411764705882353
Dmimyu GmbH,"Beta(a=1, b=33.0)",0.029411764705882353
Ecxk Avfj,"Beta(a=1, b=35.0)",0.027777777777777776
Errg Zipo,"Beta(a=1, b=35.0)",0.027777777777777776
Ffsi Mneb,"Beta(a=1, b=35.0)",0.027777777777777776
Jzrcws SA,"Beta(a=29.953256322209622, b=109.0)",0.21556354356139
Lasnoj SAS,"Beta(a=1, b=35.0)",0.027777777777777776
Mjlwxf NV,"Beta(a=1, b=36.0)",0.02702702702702703
Mnmi Haem,"Beta(a=1, b=35.0)",0.027777777777777776
Nchdfd AG,"Beta(a=1, b=41.0)",0.023809523809523808
Okrb Qxpd,"Beta(a=1, b=33.0)",0.029411764705882353
Qpubwe PLC,"Beta(a=1, b=34.0)",0.02857142857142857
Qsihxg GmbH,"Beta(a=1, b=36.0)",0.02702702702702703
Skqn Esui,"Beta(a=1, b=34.0)",0.02857142857142857
Tapd Abuk,"Beta(a=1, b=38.0)",0.02564102564102564
Txctcl AG,"Beta(a=1, b=33.0)",0.029411764705882353
Vkitze GmbH,"Beta(a=1, b=35.0)",0.027777777777777776
Wnzatj SAS,"Beta(a=1, b=126.0)",0.007874015748031496
Xqtb Laur,"Beta(a=1, b=33.0)",0.029411764705882353
Yrnw Lvgj,"Beta(a=1, b=36.0)",0.02702702702702703
