Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1, b=23.0)",0.041666666666666664
Clsvfw AG,"Beta(a=1, b=21.0)",0.045454545454545456
Cqndue LLC,"Beta(a=1, b=24.0)",0.04
Ctvepy SAS,"Beta(a=1.5741823090209244, b=22.0)",0.06677569081234033
Dmimyu GmbH,"Beta(a=1, b=21.0)",0.045454545454545456
Ecxk Avfj,"Beta(a=1, b=22.0)",0.043478260869565216
Errg Zipo,"Beta(a=1, b=21.0)",0.045454545454545456
Ffsi Mneb,"Beta(a=1, b=22.0)",0.043478260869565216
Jzrcws SA,"Beta(a=432.10876850714976, b=36.0)",0.9230947967182757
Lasnoj SAS,"Beta(a=2.0909130578339297, b=22.0)",0.08679260320330626
Mjlwxf NV,"Beta(a=1, b=20.0)",0.047619047619047616
Mnmi Haem,"Beta(a=3.0, b=30.0)",0.09090909090909091
Nchdfd AG,"Beta(a=1, b=23.0)",0.041666666666666664
Okrb Qxpd,"Beta(a=1, b=25.0)",0.038461538461538464
Qpubwe PLC,"Beta(a=1, b=25.0)",0.038461538461538464
Qsihxg GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Skqn Esui,"Beta(a=1, b=23.0)",0.041666666666666664
Tapd Abuk,"Beta(a=1, b=24.0)",0.04
Txctcl AG,"Beta(a=1, b=22.0)",0.043478260869565216
Vkitze GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Wnzatj SAS,"Beta(a=1.952428841348205, b=263.0)",0.0073689788385269215
Xqtb Laur,"Beta(a=1, b=23.0)",0.041666666666666664
Yrnw Lvgj,"Beta(a=1, b=22.0)",0.043478260869565216
