Entity,Entropy,SemanticEntropy,Gap,Refusal
Qpubwe PLC,0.07058007565677012,0.0,10.632702020202021,5.195359257739098e-11
Tapd Abuk,0.15696744734364207,0.0,8.854539930555553,1.5639646843576225e-08
Avrbci Ltd,0.13861105149014935,0.0,8.764267676767675,2.3130284474820946e-09
Ctvepy SAS,0.15036323322343137,0.0,8.959441773504274,5.62461406627796e-08
Vkitze GmbH,0.08993983352889054,0.0,9.747255291005288,4.274339691125062e-09
Xqtb Laur,0.16084008172558442,0.0,8.69220651265846,2.1621305006419927e-09
Cqndue LLC,0.13101773533783004,0.0,9.662719298245614,2.3843372278154175e-08
Skqn Esui,0.13517532998085807,0.0,9.461292270531402,1.7965253153613487e-07
Jzrcws SA,0.39437164150279813,0.0,7.744346085805739,0.007945899958428728
Okrb Qxpd,0.15049604747308926,0.0,8.726268115942029,3.937263294097572e-09
Dmimyu GmbH,0.15709711030160187,0.0,9.162256493506494,1.3384319023686332e-09
Txctcl AG,0.1142812908844994,0.0,9.324000850340136,2.444656229616135e-09
Qsihxg GmbH,0.1779919251305907,0.0,8.494128787878786,5.922713200453173e-08
Errg Zipo,0.15299023208071377,0.0,9.668434343434344,1.4315761344430994e-09
Clsvfw AG,0.19546972277123853,0.0,8.333234126984125,8.802669038353185e-09
Mjlwxf NV,0.10570003588555718,0.0,9.393357487922708,2.167380819895574e-09
Ajoo Gufx,0.08482298881235842,0.0,10.150555555555554,6.833896971262412e-10
Mnmi Haem,0.19774854815195136,0.0,8.149279835390947,8.134585846951392e-09
Wnzatj SAS,0.7640657337396757,0.0,3.327586773606509,0.4500083476548062
Yrnw Lvgj,0.10952929707035519,0.0,9.893544823232322,7.223460123285083e-09
Ffsi Mneb,0.1275398378693859,0.0,9.450833333333334,3.8599675085025724e-08
Lasnoj SAS,0.12312264489200744,0.0,8.844338768115943,6.591523679016223e-10
Ecxk Avfj,0.1575419287904742,0.0,9.089849386724389,0.0001231600718405356
Nchdfd AG,0.11227366812076077,0.0,9.54326571637427,6.11956597629673e-08
