Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1, b=23.0)",0.041666666666666664
Clsvfw AG,"Beta(a=1, b=21.0)",0.045454545454545456
Cqndue LLC,"Beta(a=1, b=23.0)",0.041666666666666664
Ctvepy SAS,"Beta(a=1, b=19.0)",0.05
Dmimyu GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Ecxk Avfj,"Beta(a=1, b=21.0)",0.045454545454545456
Errg Zipo,"Beta(a=1, b=20.0)",0.047619047619047616
Ffsi Mneb,"Beta(a=1, b=21.0)",0.045454545454545456
Jzrcws SA,"Beta(a=332.9829100787375, b=126.0)",0.7254799748897296
Lasnoj SAS,"Beta(a=1, b=22.0)",0.043478260869565216
Mjlwxf NV,"Beta(a=1, b=20.0)",0.047619047619047616
Mnmi Haem,"Beta(a=1, b=24.0)",0.04
Nchdfd AG,"Beta(a=1, b=21.0)",0.045454545454545456
Okrb Qxpd,"Beta(a=1, b=24.0)",0.04
Qpubwe PLC,"Beta(a=1, b=24.0)",0.04
Qsihxg GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Skqn Esui,"Beta(a=1, b=23.0)",0.041666666666666664
Tapd Abuk,"Beta(a=1, b=24.0)",0.04
Txctcl AG,"Beta(a=1, b=26.0)",0.037037037037037035
Vkitze GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Wnzatj SAS,"Beta(a=3.1123495830077816, b=263.0)",0.011695622498860971
Xqtb Laur,"Beta(a=1, b=22.0)",0.043478260869565216
Yrnw Lvgj,"Beta(a=1, b=22.0)",0.043478260869565216
