Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=35.0)",0.027777777777777776
Avrbci Ltd,"Beta(a=1, b=36.0)",0.02702702702702703
Clsvfw AG,"Beta(a=1, b=35.0)",0.027777777777777776
Cqndue LLC,"Beta(a=1, b=36.0)",0.02702702702702703
Ctvepy SAS,"Beta(a=1, b=37.0)",0.02631578947368421
Dmimyu GmbH,"Beta(a=1, b=35.0)",0.027777777777777776
Ecxk Avfj,"Beta(a=1, b=36.0)",0.02702702702702703
Errg Zipo,"Beta(a=1, b=37.0)",0.02631578947368421
Ffsi Mneb,"Beta(a=1, b=34.0)",0.02857142857142857
Jzrcws SA,"Beta(a=1, b=126.0)",0.007874015748031496
Lasnoj SAS,"Beta(a=1, b=36.0)",0.02702702702702703
Mjlwxf NV,"Beta(a=1, b=40.0)",0.024390243902439025
Mnmi Haem,"Beta(a=1, b=32.0)",0.030303030303030304
Nchdfd AG,"Beta(a=1, b=38.0)",0.02564102564102564
Okrb Qxpd,"Beta(a=1, b=32.0)",0.030303030303030304
Qpubwe PLC,"Beta(a=1, b=32.0)",0.030303030303030304
Qsihxg GmbH,"Beta(a=1, b=36.0)",0.02702702702702703
Skqn Esui,"Beta(a=1, b=35.0)",0.027777777777777776
Tapd Abuk,"Beta(a=1, b=35.0)",0.027777777777777776
Txctcl AG,"Beta(a=1, b=33.0)",0.029411764705882353
Vkitze GmbH,"Beta(a=1, b=34.0)",0.02857142857142857
Wnzatj SAS,"Beta(a=32.046743677790374, b=108.0)",0.228828909806866
Xqtb Laur,"Beta(a=1, b=34.0)",0.02857142857142857
Yrnw Lvgj,"Beta(a=1, b=37.0)",0.02631578947368421
