Entity,Entropy,SemanticEntropy,Gap,Refusal
Qpubwe PLC,0.1375729318121682,0.0,9.9474126344086,2.4338990780408972e-08
Tapd Abuk,0.16043790602655908,0.0,9.973936449579833,2.13029521655678e-08
Avrbci Ltd,0.14496305568747953,0.0,10.146573129251701,1.704715529276396e-08
Ctvepy SAS,0.13482178201500494,0.0,10.067573991402117,9.359391399457277e-08
Vkitze GmbH,0.06105857985275649,0.0,10.339495400432902,4.66368858903751e-09
Xqtb Laur,0.18728222613246936,0.0,10.076161165223667,1.3128393017904714e-08
Cqndue LLC,0.08446945551938752,0.0,10.36451318027211,8.606215460396836e-09
Skqn Esui,0.1952509022349661,0.0,9.68467699579832,3.832397565012547e-08
Jzrcws SA,0.14268970254475288,0.0,10.185822619047615,6.496738780081834e-08
Okrb Qxpd,0.3414796327691252,0.0,8.537286386328724,2.3002293586650075e-07
Dmimyu GmbH,0.16554382037317297,0.0,9.94047181372549,1.0612615976071537e-07
Txctcl AG,0.16186912380239835,0.0,9.706261625744048,2.2254153905667921e-07
Qsihxg GmbH,0.14358213996361732,0.0,9.67892219387755,9.702214583030238e-09
Errg Zipo,0.1831926825173091,0.0,9.736530671296297,3.269980207390174e-08
Clsvfw AG,0.13252653386920757,0.0,10.147352065826329,3.269235523145293e-08
Mjlwxf NV,0.12727373867087996,0.0,10.264335317460318,5.414669041778057e-08
Ajoo Gufx,0.20822596639221938,0.0,9.160501283846875,2.3137319553640772e-08
Mnmi Haem,0.21523072764920534,0.0,9.576108870967742,2.3191688358234126e-07
Wnzatj SAS,0.36888157090903534,0.0,8.50205757499559,0.06997626532864357
Yrnw Lvgj,0.10918366188398987,0.0,10.002325148809522,5.981864824812653e-08
Ffsi Mneb,0.20798723995262733,0.0,9.706202651515154,3.437035470321619e-08
Lasnoj SAS,0.16269334977357763,0.0,9.705106292517007,1.3717574233661014e-08
Ecxk Avfj,0.14223319895443434,0.0,9.705508078231295,1.8345814259016334e-08
Nchdfd AG,0.20743219464002816,0.0,9.748447554697556,9.455639067554124e-08
