Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.05449129885648951,0.0,10.98409090909091,3.245846706692648e-11
Eyal Peretz,0.05100628602259529,0.0,9.174999999999999,3.7419018628747237e-13
Olavi Lehtonen,0.024525772094085598,0.0,10.415178571428571,4.1366402074901056e-10
Magnus Toft-Hansen,0.08182413372428932,0.0,10.881818181818183,7.52198368406924e-12
Basim Al-Saleh,0.034536342786597084,0.0,10.837483465608466,9.465815256429753e-12
Tadao Miyashimizu,0.24623674106317114,0.0,9.579719387755103,2.1654285941611787e-10
Lionel Seymour,0.00872103789475464,0.0,11.78974358974359,7.589109938865435e-12
Ayberk Topcu,0.16376088407050804,0.0,9.828030303030303,1.716699984304693e-08
Mabel Nkosi,0.3854533713365969,0.0,7.092708333333333,2.3421052264785327e-11
Vasco Monteiro,0.05951977444679898,0.0,9.239583333333334,1.9935092029562445e-09
Kenan Iskender,0.05988497987165364,0.0,10.612326388888887,1.670690891338314e-11
Martin Morales,0.1777642106179804,0.0,9.244444444444445,6.608505163732288e-09
Kai Yeo,0.2193236251156155,0.0,8.068560606060606,9.329966071872546e-11
Leonardo Carvalho,0.03707829447659104,0.0,9.635256410256408,4.025609132912516e-12
Samir Al-Ghanim,0.024674224645713574,0.0,10.69,6.6567888943886835e-12
Lukas Sovak,0.11463335680255358,0.0,10.250595238095238,2.0027788062331213e-08
Minh Thuc Nguyen,0.07873819198621355,0.0,9.480902777777779,8.980189990756155e-10
Konstantin Atanasov,0.2409511534280857,0.0,8.790323691460054,3.1142462936515097e-10
Jonas Schneider,0.24364068687487606,0.0,8.314366883116884,2.6083918332282626e-09
Marek Saar,0.2800758055660707,0.0,10.119030448717949,3.09104429507698e-08
Miran Krstic,0.015177088609452254,0.0,10.428571428571429,1.405243835497435e-10
Leon Tomec,0.13409926770487735,0.0,9.475160256410257,7.913073846051641e-10
Gideon Low,0.2671315834238184,0.0,8.042424242424241,1.4404677707062755e-10
Bagus Mandri,0.3958091696117249,0.0,6.929545454545456,2.4071070551054274e-08
Ernesto Aliaga,0.09971032459948172,0.0,10.664583333333333,1.8257036635395486e-09
