Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=6.0)",0.14285714285714285
Andor Bodnar,"Beta(a=1, b=6.0)",0.14285714285714285
Angus Redwood,"Beta(a=1, b=5.0)",0.16666666666666666
Arman Shaimerden,"Beta(a=1, b=5.0)",0.16666666666666666
Arthit Yodsuwan,"Beta(a=1, b=8.0)",0.1111111111111111
Arvind Malhotra,"Beta(a=1, b=6.0)",0.14285714285714285
Aurelio Bianchi,"Beta(a=1, b=7.0)",0.125
Aurelio Costanzo,"Beta(a=1, b=6.0)",0.14285714285714285
Aurelius Wolff,"Beta(a=1, b=7.0)",0.125
Ayberk Topcu,"Beta(a=1, b=7.0)",0.125
Bagus Mandri,"Beta(a=1, b=6.0)",0.14285714285714285
Basim Al-Saleh,"Beta(a=1, b=6.0)",0.14285714285714285
Branislav Horvath,"Beta(a=1, b=6.0)",0.14285714285714285
Devakumar Arumugam,"Beta(a=1, b=6.0)",0.14285714285714285
Ernesto Aliaga,"Beta(a=1, b=6.0)",0.14285714285714285
Eun Suk Kang,"Beta(a=1, b=5.0)",0.16666666666666666
Eyal Peretz,"Beta(a=1, b=7.0)",0.125
Ezra Bar-Zakai,"Beta(a=1, b=5.0)",0.16666666666666666
Farhad Al-Badri,"Beta(a=1, b=6.0)",0.14285714285714285
Fergus O'Leary,"Beta(a=1, b=8.0)",0.1111111111111111
Fotios Karantos,"Beta(a=1, b=6.0)",0.14285714285714285
Freyja Arnaldsdottir,"Beta(a=1, b=6.0)",0.14285714285714285
Giacomo Bianchi,"Beta(a=1, b=6.0)",0.14285714285714285
Gideon Low,"Beta(a=1, b=7.0)",0.125
Gustavs Ozolins,"Beta(a=1, b=6.0)",0.14285714285714285
Helmut Kaiser,"Beta(a=1, b=6.0)",0.14285714285714285
Henk van der Veld,"Beta(a=1, b=6.0)",0.14285714285714285
Horatio Carlyle,"Beta(a=1, b=6.0)",0.14285714285714285
Jamal Farrugia,"Beta(a=1, b=7.0)",0.125
Jonas Schneider,"Beta(a=1, b=6.0)",0.14285714285714285
Kai Yeo,"Beta(a=1, b=5.0)",0.16666666666666666
Kalle Brandstr,"Beta(a=1, b=6.0)",0.14285714285714285
Karla Stein,"Beta(a=1, b=7.0)",0.125
Kenan Iskender,"Beta(a=1, b=7.0)",0.125
Konstantin Atanasov,"Beta(a=1, b=6.0)",0.14285714285714285
Laurent Delcour,"Beta(a=1, b=5.0)",0.16666666666666666
Leon Tomec,"Beta(a=1, b=6.0)",0.14285714285714285
Leonardo Carvalho,"Beta(a=1, b=7.0)",0.125
Leonas Jucius,"Beta(a=1, b=6.0)",0.14285714285714285
Lev Al-Kindi,"Beta(a=1, b=6.0)",0.14285714285714285
Lionel Seymour,"Beta(a=1, b=6.0)",0.14285714285714285
Lukas Sovak,"Beta(a=1, b=6.0)",0.14285714285714285
Mabel Nkosi,"Beta(a=1, b=7.0)",0.125
Magnus Toft-Hansen,"Beta(a=1, b=7.0)",0.125
Marceau Leroy,"Beta(a=1, b=5.0)",0.16666666666666666
Marek Saar,"Beta(a=1, b=6.0)",0.14285714285714285
Marius Ramonas,"Beta(a=1, b=7.0)",0.125
Martin Morales,"Beta(a=1, b=7.0)",0.125
Mason Collier,"Beta(a=1, b=5.0)",0.16666666666666666
Matija Sokol,"Beta(a=1, b=6.0)",0.14285714285714285
Mikhail Fyodorov,"Beta(a=1, b=5.0)",0.16666666666666666
Minh Thuc Nguyen,"Beta(a=1, b=7.0)",0.125
Miran Krstic,"Beta(a=1, b=6.0)",0.14285714285714285
Nabil Al-Rasheed,"Beta(a=1, b=7.0)",0.125
Olavi Lehtonen,"Beta(a=1, b=6.0)",0.14285714285714285
Rafael Nunes,"Beta(a=1, b=6.0)",0.14285714285714285
Rafael S. Cedillo,"Beta(a=1, b=7.0)",0.125
Risto Holappa,"Beta(a=1, b=5.0)",0.16666666666666666
Rohan Zwitters,"Beta(a=1, b=6.0)",0.14285714285714285
Roland Lancaster,"Beta(a=873.0, b=421.0)",0.6746522411128284
Salvador Cifuentes,"Beta(a=1, b=7.0)",0.125
Samir Al-Ghanim,"Beta(a=1, b=7.0)",0.125
Santiago Riquelme,"Beta(a=1, b=6.0)",0.14285714285714285
Santino Martinez,"Beta(a=1, b=7.0)",0.125
Silvino Azevedo,"Beta(a=1, b=6.0)",0.14285714285714285
Tadao Miyashimizu,"Beta(a=1, b=6.0)",0.14285714285714285
Tariq Al-Fahim,"Beta(a=1, b=6.0)",0.14285714285714285
Tomasz Rajewski,"Beta(a=1, b=5.0)",0.16666666666666666
Ulrik Hagen,"Beta(a=1, b=6.0)",0.14285714285714285
Vasco Monteiro,"Beta(a=1, b=6.0)",0.14285714285714285
Wei Qiu,"Beta(a=1, b=6.0)",0.14285714285714285
