Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.27345182347286345,0.0,8.3125,7.316819035374511e-08
Eyal Peretz,0.020213493608707722,0.0,8.503385416666667,7.201687976290024e-09
Olavi Lehtonen,0.13953619767697092,0.0,8.691875,7.819789153533374e-09
Magnus Toft-Hansen,0.006235360793942259,0.0,11.873412698412698,4.020416015150981e-09
Basim Al-Saleh,0.0025771003784484494,0.0,9.76875,2.060296941386319e-09
Tadao Miyashimizu,0.09131540308061295,0.0,8.907678571428571,2.0149349735931744e-08
Lionel Seymour,0.09161388799414275,0.0,8.040814393939394,4.214961712451643e-08
Ayberk Topcu,0.14509104489879407,0.0,8.781770833333333,9.68949596572057e-05
Mabel Nkosi,0.41463808444584377,0.0,6.053819444444444,3.2037333717640136e-08
Vasco Monteiro,0.17595802908781966,0.0,8.608482142857143,8.798152946187799e-08
Kenan Iskender,0.13731011170106563,0.0,8.998263888888888,0.0012807242369028786
Martin Morales,0.4433021231668677,0.0,6.543551587301587,2.6553256403990394e-08
Kai Yeo,0.08487894480980195,0.0,9.220089285714286,3.401249717960818e-09
Leonardo Carvalho,0.12475064225826543,0.0,7.08984375,8.91569859421774e-08
Samir Al-Ghanim,0.13274914841708235,0.0,7.674330357142857,1.161093822766209e-08
Lukas Sovak,0.32793985188261365,0.0,7.790000000000001,3.0010645063471844e-08
Minh Thuc Nguyen,0.17160856631905383,0.0,8.328125,1.4893571082004221e-09
Konstantin Atanasov,0.08212621038911658,0.0,10.230113636363637,7.038394391138681e-07
Jonas Schneider,0.11306127027320789,0.0,9.38974816849817,8.433529683493645e-08
Marek Saar,0.12591168640102837,0.0,9.616319444444446,3.752698878312088e-08
Miran Krstic,0.00707995529010077,0.0,10.158750000000001,3.375169867550487e-10
Leon Tomec,0.12470870589786931,0.0,8.174404761904762,2.8049672584629093e-08
Gideon Low,0.21650021770492234,0.0,8.520489926739927,2.3487287453827221e-07
Bagus Mandri,0.3780802043420711,0.0,8.274404761904762,3.761930585710616e-07
Ernesto Aliaga,0.34019297068142235,0.0,7.2856250000000005,9.474105055543025e-08
Salvador Cifuentes,0.2959844522652851,0.0,8.710096153846154,1.4596105076042018e-06
Freyja Arnaldsdottir,0.09731295512232804,0.0,9.56642857142857,1.8566271956128865e-08
Eun Suk Kang,0.10194695300824605,0.0,7.7875,1.560374877918047e-08
Angus Redwood,0.006318631491444649,0.0,8.03125,1.6048624148362611e-10
Arman Shaimerden,0.52142020853731,0.0,5.415246212121212,3.0135498958056006e-07
Santino Martinez,0.07152117958950942,0.0,8.96656746031746,1.0401245716569937e-08
Tariq Al-Fahim,0.22213541805074782,0.0,7.73625,1.0547677122829669e-07
Lev Al-Kindi,0.1651597137235937,0.0,5.850416666666666,4.5095602438371964e-08
Leonas Jucius,0.10429746722023603,0.0,7.986830357142857,1.1560568902169165e-08
Nabil Al-Rasheed,0.019532896913893098,0.0,9.601851851851851,3.551676198513635e-09
Marius Ramonas,0.23797370730972425,0.0,8.187413194444446,2.890169635034791e-07
Giacomo Bianchi,0.17917170813699762,0.0,7.177668269230769,2.3390173208293065e-07
Tomasz Rajewski,0.04402184799309694,0.0,10.21875,3.8383379258842554e-08
Mikhail Fyodorov,0.27656676799093655,0.0,10.360416666666666,1.1709666677397687e-06
Gustavs Ozolins,0.012774055637023024,0.0,10.970178571428573,2.181428644318362e-09
Adrian Vasile,0.41079439608845947,0.0,7.936309523809524,0.0010378718415427562
Aurelio Bianchi,0.12033103311672495,0.0,8.678571428571429,2.2264729661788016e-07
Branislav Horvath,0.1252007864443603,0.0,9.49702380952381,1.930756544823997e-07
Arthit Yodsuwan,0.06175325524775715,0.0,8.186086309523809,1.3985749112888873e-08
Jamal Farrugia,0.019754541425787746,0.0,10.033110119047619,4.915481142779565e-09
Roland Lancaster,0.28669563606860704,0.0,7.763921504142434,0.17633932362748111
Farhad Al-Badri,0.13668578020930228,0.0,9.135357142857142,3.533334941574484e-08
Wei Qiu,0.5338575162654086,0.0,7.307499999999999,6.346364034659491e-06
Aurelio Costanzo,0.03649775803157051,0.0,8.944999999999999,1.4017682605817205e-09
Andor Bodnar,0.1625689219723594,0.0,9.532678571428573,1.6983452463814608e-08
Mason Collier,0.22695701208935234,0.0,8.597991071428572,1.305305778746997e-07
Rohan Zwitters,0.024243564111713484,0.0,9.415104166666666,7.934259299569036e-09
Ulrik Hagen,0.033530088195688486,0.0,11.252678571428572,1.3742513904624331e-09
Fotios Karantos,0.1343292121105757,0.0,8.891666666666667,1.514983520634061e-07
Silvino Azevedo,0.077544096836941,0.0,9.691369047619046,9.208073858957277e-10
Santiago Riquelme,0.2485346936758563,0.0,8.969345238095238,6.315703204862189e-09
Fergus O'Leary,0.09875585104187723,0.0,9.407886904761906,1.7367722048530863e-08
Helmut Kaiser,0.09875018880572611,0.0,8.9340625,3.454033103977849e-09
Kalle Brandstr,0.032136029687429755,0.0,11.32625,3.08412876903752e-09
Ezra Bar-Zakai,0.1363283185864985,0.0,7.273674242424242,6.329975987817704e-09
Aurelius Wolff,0.18118545685876106,0.0,9.401041666666666,2.835508216188683e-08
Horatio Carlyle,0.04360001596226482,0.0,8.630625,3.3781612146510654e-09
Karla Stein,0.07844395311570528,0.0,8.117708333333333,5.68084963329755e-10
Rafael Nunes,0.09245257146812588,0.0,8.891755952380953,5.537113879044986e-07
Henk van der Veld,0.10129490124768128,0.0,9.293501082251082,1.2699597584653333e-08
Marceau Leroy,0.5512744448578534,0.0,7.9619791666666675,1.641565572805745e-07
