Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=16.0)",0.058823529411764705
Andor Bodnar,"Beta(a=1, b=14.0)",0.06666666666666667
Angus Redwood,"Beta(a=1, b=13.0)",0.07142857142857142
Arman Shaimerden,"Beta(a=1, b=15.0)",0.0625
Arthit Yodsuwan,"Beta(a=1, b=14.0)",0.06666666666666667
Arvind Malhotra,"Beta(a=1, b=11.0)",0.08333333333333333
Aurelio Bianchi,"Beta(a=1, b=13.0)",0.07142857142857142
Aurelio Costanzo,"Beta(a=1, b=12.0)",0.07692307692307693
Aurelius Wolff,"Beta(a=1, b=14.0)",0.06666666666666667
Ayberk Topcu,"Beta(a=1, b=14.0)",0.06666666666666667
Bagus Mandri,"Beta(a=1, b=14.0)",0.06666666666666667
Basim Al-Saleh,"Beta(a=1, b=13.0)",0.07142857142857142
Branislav Horvath,"Beta(a=1, b=14.0)",0.06666666666666667
Devakumar Arumugam,"Beta(a=1, b=14.0)",0.06666666666666667
Ernesto Aliaga,"Beta(a=1, b=12.0)",0.07692307692307693
Eun Suk Kang,"Beta(a=1, b=13.0)",0.07142857142857142
Eyal Peretz,"Beta(a=1, b=15.0)",0.0625
Ezra Bar-Zakai,"Beta(a=1, b=15.0)",0.0625
Farhad Al-Badri,"Beta(a=1, b=14.0)",0.06666666666666667
Fergus O'Leary,"Beta(a=1, b=13.0)",0.07142857142857142
Fotios Karantos,"Beta(a=1, b=13.0)",0.07142857142857142
Freyja Arnaldsdottir,"Beta(a=1, b=13.0)",0.07142857142857142
Giacomo Bianchi,"Beta(a=1, b=12.0)",0.07692307692307693
Gideon Low,"Beta(a=1, b=13.0)",0.07142857142857142
Gustavs Ozolins,"Beta(a=1, b=14.0)",0.06666666666666667
Helmut Kaiser,"Beta(a=1, b=13.0)",0.07142857142857142
Henk van der Veld,"Beta(a=1, b=15.0)",0.0625
Horatio Carlyle,"Beta(a=1, b=14.0)",0.06666666666666667
Jamal Farrugia,"Beta(a=1, b=14.0)",0.06666666666666667
Jonas Schneider,"Beta(a=1, b=15.0)",0.0625
Kai Yeo,"Beta(a=1, b=15.0)",0.0625
Kalle Brandstr,"Beta(a=1, b=15.0)",0.0625
Karla Stein,"Beta(a=1, b=16.0)",0.058823529411764705
Kenan Iskender,"Beta(a=1, b=13.0)",0.07142857142857142
Konstantin Atanasov,"Beta(a=1, b=15.0)",0.0625
Laurent Delcour,"Beta(a=1, b=11.0)",0.08333333333333333
Leon Tomec,"Beta(a=1, b=13.0)",0.07142857142857142
Leonardo Carvalho,"Beta(a=1, b=14.0)",0.06666666666666667
Leonas Jucius,"Beta(a=1, b=14.0)",0.06666666666666667
Lev Al-Kindi,"Beta(a=1, b=14.0)",0.06666666666666667
Lionel Seymour,"Beta(a=1, b=13.0)",0.07142857142857142
Lukas Sovak,"Beta(a=1, b=15.0)",0.0625
Mabel Nkosi,"Beta(a=1, b=13.0)",0.07142857142857142
Magnus Toft-Hansen,"Beta(a=1, b=11.0)",0.08333333333333333
Marceau Leroy,"Beta(a=1, b=13.0)",0.07142857142857142
Marek Saar,"Beta(a=1, b=14.0)",0.06666666666666667
Marius Ramonas,"Beta(a=1, b=16.0)",0.058823529411764705
Martin Morales,"Beta(a=1, b=15.0)",0.0625
Mason Collier,"Beta(a=1, b=14.0)",0.06666666666666667
Matija Sokol,"Beta(a=1, b=12.0)",0.07692307692307693
Mikhail Fyodorov,"Beta(a=1, b=16.0)",0.058823529411764705
Minh Thuc Nguyen,"Beta(a=1, b=14.0)",0.06666666666666667
Miran Krstic,"Beta(a=1, b=13.0)",0.07142857142857142
Nabil Al-Rasheed,"Beta(a=1, b=16.0)",0.058823529411764705
Olavi Lehtonen,"Beta(a=1, b=15.0)",0.0625
Rafael Nunes,"Beta(a=1, b=13.0)",0.07142857142857142
Rafael S. Cedillo,"Beta(a=1, b=13.0)",0.07142857142857142
Risto Holappa,"Beta(a=1, b=13.0)",0.07142857142857142
Rohan Zwitters,"Beta(a=1, b=17.0)",0.05555555555555555
Roland Lancaster,"Beta(a=25.0, b=97.0)",0.20491803278688525
Salvador Cifuentes,"Beta(a=1, b=12.0)",0.07692307692307693
Samir Al-Ghanim,"Beta(a=1, b=14.0)",0.06666666666666667
Santiago Riquelme,"Beta(a=1, b=14.0)",0.06666666666666667
Santino Martinez,"Beta(a=1, b=15.0)",0.0625
Silvino Azevedo,"Beta(a=1, b=14.0)",0.06666666666666667
Tadao Miyashimizu,"Beta(a=1, b=15.0)",0.0625
Tariq Al-Fahim,"Beta(a=1, b=13.0)",0.07142857142857142
Tomasz Rajewski,"Beta(a=1, b=15.0)",0.0625
Ulrik Hagen,"Beta(a=1, b=14.0)",0.06666666666666667
Vasco Monteiro,"Beta(a=1, b=13.0)",0.07142857142857142
Wei Qiu,"Beta(a=1, b=14.0)",0.06666666666666667
