Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.24638212575007784,0.0,7.4697916666666675,3.9759248073728545e-08
Eyal Peretz,0.05926559095768941,0.0,8.877029220779221,7.126950652899811e-10
Olavi Lehtonen,0.012514275927962296,0.0,9.23765943877551,2.2841191809976268e-10
Magnus Toft-Hansen,0.1069380628669803,0.0,8.183630952380954,2.3303479758998714e-07
Basim Al-Saleh,0.14576209916543928,0.0,8.088591269841269,3.49339821394586e-07
Tadao Miyashimizu,0.2944657728461179,0.0,8.015364583333334,9.353459982756884e-08
Lionel Seymour,0.20659065512706665,0.0,8.165104166666667,1.576918255961742e-07
Ayberk Topcu,0.04444715468640054,0.0,9.411992521367521,2.6818315041989327e-09
Mabel Nkosi,0.5246890311515522,0.0,6.459722222222222,2.1661455787587436e-07
Vasco Monteiro,0.042285609850054,0.0,9.256277056277057,6.933831247594539e-09
Kenan Iskender,0.09482927786386541,0.0,9.443865740740742,1.4110747510500307e-07
Martin Morales,0.27989516097965095,0.0,7.415914888682747,5.485700673846834e-09
Kai Yeo,0.28035317679013033,0.0,8.008482142857142,7.151291346497407e-08
Leonardo Carvalho,0.06140337147579495,0.0,8.82944139194139,5.941003853401264e-10
Samir Al-Ghanim,0.09917498798438315,0.0,9.056490384615383,2.666609833159925e-08
Lukas Sovak,0.09342368539806278,0.0,10.957142857142857,5.3125391470069255e-08
Minh Thuc Nguyen,0.13652125251256633,0.0,9.492628205128206,3.33311721337642e-08
Konstantin Atanasov,0.07332584983935574,0.0,9.244825487012987,2.819437524841888e-09
Jonas Schneider,0.23742322963126278,0.0,8.12217261904762,2.1827958031053356e-07
Marek Saar,0.13292193604316555,0.0,8.55068108974359,1.1988070078828594e-08
Miran Krstic,0.033950360895914855,0.0,10.051562500000001,4.236406115666613e-09
Leon Tomec,0.07765063357195585,0.0,9.05980902777778,6.761166264747723e-08
Gideon Low,0.12997588189262116,0.0,8.59449404761905,2.695104425916306e-08
Bagus Mandri,0.08917404539442991,0.0,9.22135989010989,3.0149455965987872e-09
Ernesto Aliaga,0.10243937557774957,0.0,9.270833333333334,1.1464967942586734e-08
Salvador Cifuentes,0.18910128234817114,0.0,8.580066287878786,4.5272673269191904e-08
Freyja Arnaldsdottir,0.016882742947099256,0.0,9.668402777777777,1.571526488369085e-09
Eun Suk Kang,0.21689588106750526,0.0,6.767795138888888,4.4033775775260037e-07
Angus Redwood,0.22415101097210732,0.0,6.7724206349206355,9.852400912358876e-08
Arman Shaimerden,0.13835377921297462,0.0,9.220089285714286,4.653489520595486e-08
Santino Martinez,0.28038223768078213,0.0,8.266646374458874,6.743287205199134e-08
Tariq Al-Fahim,0.0817877415555333,0.0,8.67795138888889,1.869945301149108e-08
Lev Al-Kindi,0.07255566951779399,0.0,9.266092414529915,4.1380031580760494e-09
Leonas Jucius,0.13957228117888446,0.0,7.394511217948718,3.817728897971871e-09
Nabil Al-Rasheed,0.13139620872107466,0.0,8.075804924242425,2.2293893547099355e-08
Marius Ramonas,0.2727989829179488,0.0,7.5065277777777775,5.2668384743943805e-08
Giacomo Bianchi,0.07962492603839123,0.0,8.96439393939394,4.598433962666535e-08
Tomasz Rajewski,0.057355016016058025,0.0,9.240035076530612,4.490398239750551e-09
Mikhail Fyodorov,0.18570409985411945,0.0,8.571388888888889,1.203245768435085e-07
Gustavs Ozolins,0.0733809633855841,0.0,9.09302268244576,1.7827909666696844e-09
Adrian Vasile,0.2675474506977581,0.0,7.446180555555556,7.197682249289924e-09
Aurelio Bianchi,0.013222626414828178,0.0,9.432031250000003,7.578224632022457e-10
Branislav Horvath,0.1777248216656967,0.0,9.064079670329672,8.309126959132458e-08
Arthit Yodsuwan,0.21198375159829086,0.0,8.038461538461538,3.304820133627591e-07
Jamal Farrugia,0.062158372147902624,0.0,8.878766025641024,7.74287005938907e-09
Roland Lancaster,0.21053514294389236,0.0,8.343563523894407,0.058824415732186296
Farhad Al-Badri,0.007666602428612233,0.0,9.481971153846153,2.2860178835374474e-09
Wei Qiu,0.11984752198885386,0.0,7.856913919413921,3.8939372351153773e-07
Aurelio Costanzo,0.03627567637069416,0.0,9.168939393939395,2.566547841914442e-10
Andor Bodnar,0.13176697669127047,0.0,8.122298534798537,2.5889316387276516e-08
Mason Collier,0.1625296009807457,0.0,8.039581252081252,1.5447518727248286e-08
Rohan Zwitters,0.23618205223152194,0.0,8.35248325892857,4.1641482415792457e-08
Ulrik Hagen,0.09742008679091708,0.0,8.647836538461538,2.960870224907661e-08
Fotios Karantos,0.1242588414009093,0.0,9.61545138888889,7.280915839882653e-08
Silvino Azevedo,0.056948111669197256,0.0,8.929750457875459,1.0369743556092155e-09
Santiago Riquelme,0.07984855987455819,0.0,9.20897435897436,1.0086138550359716e-08
Fergus O'Leary,0.15902686644252625,0.0,7.7517079274891785,3.2513974819227874e-08
Helmut Kaiser,0.39771741366836894,0.0,8.27485119047619,3.3385813595053954e-07
Kalle Brandstr,0.10306523069007013,0.0,9.20030824829932,3.0042808213516914e-08
Ezra Bar-Zakai,0.1224303595362164,0.0,8.997799744897957,5.612718652100208e-08
Aurelius Wolff,0.09945141499603291,0.0,8.252380952380953,8.684131445463744e-10
Horatio Carlyle,0.17627710754537146,0.0,7.743269230769231,4.5094433990608204e-08
Karla Stein,0.15315176403403408,0.0,7.882499999999999,3.3856223768484e-08
Rafael Nunes,0.10041325849591638,0.0,8.900905257936508,5.9517028075326455e-09
Henk van der Veld,0.23360875274440823,0.0,7.966592261904763,7.841989634248061e-08
Marceau Leroy,0.16754079173054304,0.0,8.53203125,2.2212979145878425e-08
Devakumar Arumugam,0.2446735655969589,0.0,7.125925116550117,4.1390359812459865e-07
Risto Holappa,0.2934260839747564,0.0,8.291698232323233,3.550365222851117e-07
Matija Sokol,0.08937786306600774,0.0,9.477272727272727,2.0921846839432675e-09
Arvind Malhotra,0.2671400602686723,0.0,7.3122395833333345,1.2767693927731584e-07
Rafael S. Cedillo,0.01064985856550417,0.0,9.367274305555554,1.538043635593983e-10
