Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=30.0)",0.03225806451612903
Avrbci Ltd,"Beta(a=1, b=32.0)",0.030303030303030304
Clsvfw AG,"Beta(a=1, b=30.0)",0.03225806451612903
Cqndue LLC,"Beta(a=1, b=31.0)",0.03125
Ctvepy SAS,"Beta(a=1, b=29.0)",0.03333333333333333
Dmimyu GmbH,"Beta(a=1, b=27.0)",0.03571428571428571
Ecxk Avfj,"Beta(a=1, b=31.0)",0.03125
Errg Zipo,"Beta(a=1, b=30.0)",0.03225806451612903
Ffsi Mneb,"Beta(a=1, b=30.0)",0.03225806451612903
Jzrcws SA,"Beta(a=115.20610090628469, b=119.0)",0.49190051181622846
Lasnoj SAS,"Beta(a=1, b=27.0)",0.03571428571428571
Mjlwxf NV,"Beta(a=1, b=32.0)",0.030303030303030304
Mnmi Haem,"Beta(a=1, b=31.0)",0.03125
Nchdfd AG,"Beta(a=1, b=34.0)",0.02857142857142857
Okrb Qxpd,"Beta(a=1, b=27.0)",0.03571428571428571
Qpubwe PLC,"Beta(a=1, b=31.0)",0.03125
Qsihxg GmbH,"Beta(a=1, b=31.0)",0.03125
Skqn Esui,"Beta(a=1, b=31.0)",0.03125
Tapd Abuk,"Beta(a=1, b=35.0)",0.027777777777777776
Txctcl AG,"Beta(a=1, b=29.0)",0.03333333333333333
Vkitze GmbH,"Beta(a=1, b=30.0)",0.03225806451612903
Wnzatj SAS,"Beta(a=15.53046045647265, b=173.0)",0.08237639911805274
Xqtb Laur,"Beta(a=1, b=29.0)",0.03333333333333333
Yrnw Lvgj,"Beta(a=1, b=28.0)",0.034482758620689655
