Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=32.0)",0.030303030303030304
Avrbci Ltd,"Beta(a=1, b=33.0)",0.029411764705882353
Clsvfw AG,"Beta(a=1, b=32.0)",0.030303030303030304
Cqndue LLC,"Beta(a=1, b=25.0)",0.038461538461538464
Ctvepy SAS,"Beta(a=1, b=30.0)",0.03225806451612903
Dmimyu GmbH,"Beta(a=1, b=29.0)",0.03333333333333333
Ecxk Avfj,"Beta(a=1, b=33.0)",0.029411764705882353
Errg Zipo,"Beta(a=1, b=30.0)",0.03225806451612903
Ffsi Mneb,"Beta(a=1, b=29.0)",0.03333333333333333
Jzrcws SA,"Beta(a=1, b=181.0)",0.005494505494505495
Lasnoj SAS,"Beta(a=1, b=30.0)",0.03225806451612903
Mjlwxf NV,"Beta(a=1, b=35.0)",0.027777777777777776
Mnmi Haem,"Beta(a=1, b=30.0)",0.03225806451612903
Nchdfd AG,"Beta(a=1, b=30.0)",0.03225806451612903
Okrb Qxpd,"Beta(a=1, b=28.0)",0.034482758620689655
Qpubwe PLC,"Beta(a=1, b=30.0)",0.03225806451612903
Qsihxg GmbH,"Beta(a=1, b=29.0)",0.03333333333333333
Skqn Esui,"Beta(a=1, b=31.0)",0.03125
Tapd Abuk,"Beta(a=1, b=33.0)",0.029411764705882353
Txctcl AG,"Beta(a=1, b=30.0)",0.03225806451612903
Vkitze GmbH,"Beta(a=1, b=30.0)",0.03225806451612903
Wnzatj SAS,"Beta(a=50.96789427521259, b=155.0)",0.24745552919577707
Xqtb Laur,"Beta(a=1, b=29.0)",0.03333333333333333
Yrnw Lvgj,"Beta(a=1, b=27.0)",0.03571428571428571
