Entity,Entropy,SemanticEntropy,Gap,Refusal
Qpubwe PLC,0.1714985293486219,0.0,9.768870587027914,1.0312226391831874e-08
Tapd Abuk,0.16201729147901597,0.0,10.207740420386905,3.668788815038319e-09
Avrbci Ltd,0.1421737091466591,0.0,10.373565383184525,4.706055162708865e-09
Ctvepy SAS,0.17531034497773737,0.0,9.702706793924467,4.519441930803138e-09
Vkitze GmbH,0.08208636170585593,0.0,10.333956793924468,2.6255385106738455e-09
Xqtb Laur,0.24698154379527343,0.0,9.944222115929703,7.897796753175354e-08
Cqndue LLC,0.14301709932941198,0.0,10.252647569444445,4.192605876704577e-09
Skqn Esui,0.1794811216552693,0.0,9.825791170634922,3.292930983155954e-09
Jzrcws SA,0.1989469533623383,0.0,10.059165013227505,6.926596967925208e-08
Okrb Qxpd,0.28432440721771,0.0,8.901083002645505,1.498201015939088e-08
Dmimyu GmbH,0.1557126584009114,0.0,10.150560693027211,1.544895436443458e-08
Txctcl AG,0.17891777169227402,0.0,9.780092877668308,3.0577473254800314e-08
Qsihxg GmbH,0.21456410332888082,0.0,9.612444196428571,1.4150464695744285e-07
Errg Zipo,0.22547923296808575,0.0,9.437051005747126,8.8539382788264e-09
Clsvfw AG,0.13697340579028405,0.0,10.357418874807987,1.0171408581517536e-08
Mjlwxf NV,0.16822723344025342,0.0,9.955188637955182,1.423885387596866e-08
Ajoo Gufx,0.1952473337432971,0.0,9.519575652841782,1.3094222630452277e-08
Mnmi Haem,0.195629761283216,0.0,10.068547311165844,5.366808139705482e-08
Wnzatj SAS,0.989580682633792,0.0,4.457937566200279,0.14356044386123573
Yrnw Lvgj,0.17173411748658088,0.0,9.702386675824176,1.4578656792391441e-08
Ffsi Mneb,0.25484256518941245,0.0,9.556159651360545,3.621196501823091e-08
Lasnoj SAS,0.25063843942193154,0.0,9.39959975369458,7.269497954801557e-08
Ecxk Avfj,0.19453580211362825,0.0,10.045751953125002,2.4934350038459375e-08
Nchdfd AG,0.2096334122813194,0.0,9.756406506568144,1.030710887422129e-08
