Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=38.0)",0.02564102564102564
Avrbci Ltd,"Beta(a=1, b=37.0)",0.02631578947368421
Clsvfw AG,"Beta(a=1, b=35.0)",0.027777777777777776
Cqndue LLC,"Beta(a=1, b=36.0)",0.02702702702702703
Ctvepy SAS,"Beta(a=1, b=36.0)",0.02702702702702703
Dmimyu GmbH,"Beta(a=1, b=37.0)",0.02631578947368421
Ecxk Avfj,"Beta(a=1, b=39.0)",0.025
Errg Zipo,"Beta(a=1, b=34.0)",0.02857142857142857
Ffsi Mneb,"Beta(a=1, b=35.0)",0.027777777777777776
Jzrcws SA,"Beta(a=13.591898712165744, b=186.0)",0.06809844888427466
Lasnoj SAS,"Beta(a=1, b=37.0)",0.02631578947368421
Mjlwxf NV,"Beta(a=1, b=32.0)",0.030303030303030304
Mnmi Haem,"Beta(a=1, b=35.0)",0.027777777777777776
Nchdfd AG,"Beta(a=1, b=35.0)",0.027777777777777776
Okrb Qxpd,"Beta(a=1, b=35.0)",0.027777777777777776
Qpubwe PLC,"Beta(a=1, b=38.0)",0.02564102564102564
Qsihxg GmbH,"Beta(a=1, b=40.0)",0.024390243902439025
Skqn Esui,"Beta(a=1, b=39.0)",0.025
Tapd Abuk,"Beta(a=1, b=37.0)",0.02631578947368421
Txctcl AG,"Beta(a=1, b=36.0)",0.02702702702702703
Vkitze GmbH,"Beta(a=1, b=36.0)",0.02702702702702703
Wnzatj SAS,"Beta(a=1, b=35.0)",0.027777777777777776
Xqtb Laur,"Beta(a=1, b=36.0)",0.02702702702702703
Yrnw Lvgj,"Beta(a=1, b=35.0)",0.027777777777777776
