Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=5.0)",0.16666666666666666
Andor Bodnar,"Beta(a=1, b=5.0)",0.16666666666666666
Angus Redwood,"Beta(a=1, b=5.0)",0.16666666666666666
Arman Shaimerden,"Beta(a=1, b=5.0)",0.16666666666666666
Arthit Yodsuwan,"Beta(a=1, b=5.0)",0.16666666666666666
Arvind Malhotra,"Beta(a=1, b=5.0)",0.16666666666666666
Aurelio Bianchi,"Beta(a=1, b=5.0)",0.16666666666666666
Aurelio Costanzo,"Beta(a=33.0, b=24.0)",0.5789473684210527
Aurelius Wolff,"Beta(a=1, b=5.0)",0.16666666666666666
Ayberk Topcu,"Beta(a=1, b=5.0)",0.16666666666666666
Bagus Mandri,"Beta(a=1, b=5.0)",0.16666666666666666
Basim Al-Saleh,"Beta(a=1, b=5.0)",0.16666666666666666
Branislav Horvath,"Beta(a=1, b=6.0)",0.14285714285714285
Devakumar Arumugam,"Beta(a=1, b=5.0)",0.16666666666666666
Ernesto Aliaga,"Beta(a=1, b=5.0)",0.16666666666666666
Eun Suk Kang,"Beta(a=1, b=6.0)",0.14285714285714285
Eyal Peretz,"Beta(a=1, b=5.0)",0.16666666666666666
Ezra Bar-Zakai,"Beta(a=1, b=6.0)",0.14285714285714285
Farhad Al-Badri,"Beta(a=1, b=6.0)",0.14285714285714285
Fergus O'Leary,"Beta(a=1, b=5.0)",0.16666666666666666
Fotios Karantos,"Beta(a=1, b=5.0)",0.16666666666666666
Freyja Arnaldsdottir,"Beta(a=1, b=6.0)",0.14285714285714285
Giacomo Bianchi,"Beta(a=1, b=5.0)",0.16666666666666666
Gideon Low,"Beta(a=1, b=5.0)",0.16666666666666666
Gustavs Ozolins,"Beta(a=1, b=5.0)",0.16666666666666666
Helmut Kaiser,"Beta(a=1, b=6.0)",0.14285714285714285
Henk van der Veld,"Beta(a=1, b=6.0)",0.14285714285714285
Horatio Carlyle,"Beta(a=25.0, b=22.0)",0.5319148936170213
Jamal Farrugia,"Beta(a=1, b=5.0)",0.16666666666666666
Jonas Schneider,"Beta(a=9.0, b=10.0)",0.47368421052631576
Kai Yeo,"Beta(a=1, b=5.0)",0.16666666666666666
Kalle Brandstr,"Beta(a=1, b=5.0)",0.16666666666666666
Karla Stein,"Beta(a=5.0, b=8.0)",0.38461538461538464
Kenan Iskender,"Beta(a=5.0, b=9.0)",0.35714285714285715
Konstantin Atanasov,"Beta(a=1, b=7.0)",0.125
Laurent Delcour,"Beta(a=5.0, b=9.0)",0.35714285714285715
Leon Tomec,"Beta(a=1, b=5.0)",0.16666666666666666
Leonardo Carvalho,"Beta(a=5.0, b=9.0)",0.35714285714285715
Leonas Jucius,"Beta(a=1, b=4.0)",0.2
Lev Al-Kindi,"Beta(a=5.0, b=8.0)",0.38461538461538464
Lionel Seymour,"Beta(a=1, b=7.0)",0.125
Lukas Sovak,"Beta(a=37.0, b=25.0)",0.5967741935483871
Mabel Nkosi,"Beta(a=1, b=7.0)",0.125
Magnus Toft-Hansen,"Beta(a=9.0, b=12.0)",0.42857142857142855
Marceau Leroy,"Beta(a=1, b=6.0)",0.14285714285714285
Marek Saar,"Beta(a=1, b=5.0)",0.16666666666666666
Marius Ramonas,"Beta(a=1, b=5.0)",0.16666666666666666
Martin Morales,"Beta(a=1, b=5.0)",0.16666666666666666
Mason Collier,"Beta(a=1, b=5.0)",0.16666666666666666
Matija Sokol,"Beta(a=1, b=6.0)",0.14285714285714285
Mikhail Fyodorov,"Beta(a=1, b=5.0)",0.16666666666666666
Minh Thuc Nguyen,"Beta(a=1, b=4.0)",0.2
Miran Krstic,"Beta(a=1, b=6.0)",0.14285714285714285
Nabil Al-Rasheed,"Beta(a=1, b=5.0)",0.16666666666666666
Olavi Lehtonen,"Beta(a=1, b=5.0)",0.16666666666666666
Rafael Nunes,"Beta(a=1, b=6.0)",0.14285714285714285
Rafael S. Cedillo,"Beta(a=1, b=5.0)",0.16666666666666666
Risto Holappa,"Beta(a=1, b=5.0)",0.16666666666666666
Rohan Zwitters,"Beta(a=1, b=5.0)",0.16666666666666666
Roland Lancaster,"Beta(a=921.0, b=349.0)",0.7251968503937007
Salvador Cifuentes,"Beta(a=1, b=7.0)",0.125
Samir Al-Ghanim,"Beta(a=1, b=5.0)",0.16666666666666666
Santiago Riquelme,"Beta(a=1, b=5.0)",0.16666666666666666
Santino Martinez,"Beta(a=1, b=5.0)",0.16666666666666666
Silvino Azevedo,"Beta(a=1, b=6.0)",0.14285714285714285
Tadao Miyashimizu,"Beta(a=5.0, b=9.0)",0.35714285714285715
Tariq Al-Fahim,"Beta(a=1, b=5.0)",0.16666666666666666
Tomasz Rajewski,"Beta(a=1, b=5.0)",0.16666666666666666
Ulrik Hagen,"Beta(a=1, b=5.0)",0.16666666666666666
Vasco Monteiro,"Beta(a=1, b=6.0)",0.14285714285714285
Wei Qiu,"Beta(a=1, b=5.0)",0.16666666666666666
