Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.24826888718578063,0.0,6.728030303030303,0.05555555739665599
Eyal Peretz,0.08350839642319272,0.0,8.720833333333333,3.274734140202239e-11
Olavi Lehtonen,0.025939826675710265,0.0,9.114583333333334,6.767379809747426e-11
Magnus Toft-Hansen,0.7755361273089836,0.0,3.844871794871795,0.11538462302571126
Basim Al-Saleh,0.056096075167776385,0.0,8.54513888888889,2.80804817522377e-10
Tadao Miyashimizu,0.268175637527388,0.0,7.021604938271604,0.0555555843895941
Lionel Seymour,0.23518660542465852,0.0,6.9875,1.4058280984353502e-07
Kenan Iskender,0.29806863587997484,0.0,6.083333333333332,0.11111111363839196
Samir Al-Ghanim,0.1314170029263096,0.0,8.7375,3.0829543515210227e-09
Rohan Zwitters,0.3433646114031603,0.0,5.4,2.3143464748798248e-10
Branislav Horvath,0.29019009439406845,0.0,6.413333333333332,1.1997535699290184e-10
Mason Collier,0.07708202726547218,0.0,7.272916666666667,1.5078534884362625e-05
Jamal Farrugia,0.41689184928018264,0.0,6.377232142857142,1.5059962100196162e-05
Fotios Karantos,0.09972096188967043,0.0,8.868749999999999,7.556963214374289e-09
Santiago Riquelme,0.6199998071879842,0.0,5.0028645833333325,4.074973559975437e-09
Ezra Bar-Zakai,0.3762181520029137,0.0,5.97,4.033871389697019e-10
Giacomo Bianchi,0.02002618095548314,0.0,8.875,3.2691086252964463e-10
Horatio Carlyle,0.4554749130043319,0.0,5.197904975682754,0.12963413202517687
Arvind Malhotra,0.37431307402372715,0.0,6.720833333333333,7.655876459183733e-10
Andor Bodnar,0.4934921090267987,0.0,6.375,1.5266738253921766e-08
Lukas Sovak,0.26880449523880506,0.0,7.530364248546069,0.13636377453963866
Salvador Cifuentes,0.14357256102240776,0.0,7.5125,5.733294577301452e-11
Arthit Yodsuwan,0.5645524530264083,0.0,4.09375,1.1019195746836408e-09
Helmut Kaiser,0.5124775960701368,0.0,5.8481250000000005,5.189426486966464e-09
Gustavs Ozolins,0.19732619060111273,0.0,6.46875,3.9967199268555777e-11
Jonas Schneider,0.5254613997262361,0.0,5.4973387723387726,0.09090910316282193
Santino Martinez,0.2252582434027886,0.0,7.728125,5.866233071137247e-10
Aurelio Costanzo,0.20740397287872253,0.0,7.45483870967742,0.12903225865238968
Tomasz Rajewski,0.1692722413861778,0.0,9.520833333333332,1.0740399980502247e-07
