Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=8.0)",0.1111111111111111
Andor Bodnar,"Beta(a=1, b=10.0)",0.09090909090909091
Angus Redwood,"Beta(a=1, b=9.0)",0.1
Arman Shaimerden,"Beta(a=1, b=9.0)",0.1
Arthit Yodsuwan,"Beta(a=1, b=10.0)",0.09090909090909091
Arvind Malhotra,"Beta(a=1, b=11.0)",0.08333333333333333
Aurelio Bianchi,"Beta(a=1, b=10.0)",0.09090909090909091
Aurelio Costanzo,"Beta(a=1, b=8.0)",0.1111111111111111
Aurelius Wolff,"Beta(a=1, b=9.0)",0.1
Ayberk Topcu,"Beta(a=1, b=8.0)",0.1111111111111111
Bagus Mandri,"Beta(a=1, b=9.0)",0.1
Basim Al-Saleh,"Beta(a=1, b=9.0)",0.1
Branislav Horvath,"Beta(a=1, b=9.0)",0.1
Devakumar Arumugam,"Beta(a=1, b=9.0)",0.1
Ernesto Aliaga,"Beta(a=1, b=8.0)",0.1111111111111111
Eun Suk Kang,"Beta(a=1, b=9.0)",0.1
Eyal Peretz,"Beta(a=1, b=8.0)",0.1111111111111111
Ezra Bar-Zakai,"Beta(a=1, b=8.0)",0.1111111111111111
Farhad Al-Badri,"Beta(a=1, b=10.0)",0.09090909090909091
Fergus O'Leary,"Beta(a=1, b=8.0)",0.1111111111111111
Fotios Karantos,"Beta(a=9.0, b=25.0)",0.2647058823529412
Freyja Arnaldsdottir,"Beta(a=1, b=8.0)",0.1111111111111111
Giacomo Bianchi,"Beta(a=1, b=9.0)",0.1
Gideon Low,"Beta(a=1, b=8.0)",0.1111111111111111
Gustavs Ozolins,"Beta(a=1, b=10.0)",0.09090909090909091
Helmut Kaiser,"Beta(a=1, b=9.0)",0.1
Henk van der Veld,"Beta(a=1, b=9.0)",0.1
Horatio Carlyle,"Beta(a=1, b=8.0)",0.1111111111111111
Jamal Farrugia,"Beta(a=1, b=8.0)",0.1111111111111111
Jonas Schneider,"Beta(a=1, b=8.0)",0.1111111111111111
Kai Yeo,"Beta(a=1, b=9.0)",0.1
Kalle Brandstr,"Beta(a=1, b=10.0)",0.09090909090909091
Karla Stein,"Beta(a=1, b=9.0)",0.1
Kenan Iskender,"Beta(a=1, b=9.0)",0.1
Konstantin Atanasov,"Beta(a=1, b=9.0)",0.1
Laurent Delcour,"Beta(a=1, b=10.0)",0.09090909090909091
Leon Tomec,"Beta(a=1, b=9.0)",0.1
Leonardo Carvalho,"Beta(a=1, b=9.0)",0.1
Leonas Jucius,"Beta(a=1, b=10.0)",0.09090909090909091
Lev Al-Kindi,"Beta(a=1, b=9.0)",0.1
Lionel Seymour,"Beta(a=1, b=10.0)",0.09090909090909091
Lukas Sovak,"Beta(a=1, b=9.0)",0.1
Mabel Nkosi,"Beta(a=13.0, b=31.0)",0.29545454545454547
Magnus Toft-Hansen,"Beta(a=1, b=9.0)",0.1
Marceau Leroy,"Beta(a=1, b=8.0)",0.1111111111111111
Marek Saar,"Beta(a=1, b=10.0)",0.09090909090909091
Marius Ramonas,"Beta(a=5.0, b=18.0)",0.21739130434782608
Martin Morales,"Beta(a=1, b=8.0)",0.1111111111111111
Mason Collier,"Beta(a=1, b=10.0)",0.09090909090909091
Matija Sokol,"Beta(a=1, b=9.0)",0.1
Mikhail Fyodorov,"Beta(a=1, b=11.0)",0.08333333333333333
Minh Thuc Nguyen,"Beta(a=1, b=8.0)",0.1111111111111111
Miran Krstic,"Beta(a=1, b=9.0)",0.1
Nabil Al-Rasheed,"Beta(a=1, b=10.0)",0.09090909090909091
Olavi Lehtonen,"Beta(a=1, b=7.0)",0.125
Rafael Nunes,"Beta(a=1, b=10.0)",0.09090909090909091
Rafael S. Cedillo,"Beta(a=1, b=9.0)",0.1
Risto Holappa,"Beta(a=1, b=9.0)",0.1
Rohan Zwitters,"Beta(a=1, b=9.0)",0.1
Roland Lancaster,"Beta(a=317.0, b=306.0)",0.5088282504012841
Salvador Cifuentes,"Beta(a=1, b=9.0)",0.1
Samir Al-Ghanim,"Beta(a=1, b=9.0)",0.1
Santiago Riquelme,"Beta(a=1, b=9.0)",0.1
Santino Martinez,"Beta(a=1, b=9.0)",0.1
Silvino Azevedo,"Beta(a=1, b=8.0)",0.1111111111111111
Tadao Miyashimizu,"Beta(a=1, b=10.0)",0.09090909090909091
Tariq Al-Fahim,"Beta(a=1, b=9.0)",0.1
Tomasz Rajewski,"Beta(a=1, b=10.0)",0.09090909090909091
Ulrik Hagen,"Beta(a=1, b=10.0)",0.09090909090909091
Vasco Monteiro,"Beta(a=1, b=9.0)",0.1
Wei Qiu,"Beta(a=1, b=10.0)",0.09090909090909091
