Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.25713837607066115,0.0,7.636921296296297,4.339180203421438e-08
Eyal Peretz,0.19240695052114282,0.0,6.942463860544217,7.174511694661514e-08
Olavi Lehtonen,0.03417405181255096,0.0,9.401562499999999,3.1537297380072418e-09
Magnus Toft-Hansen,0.11969340149884998,0.0,9.410156250000002,2.1015150661329862e-09
Basim Al-Saleh,0.05826458824557348,0.0,8.5146484375,3.227053851917461e-08
Tadao Miyashimizu,0.062295750382968085,0.0,8.782754629629629,5.931460373019713e-09
Lionel Seymour,0.08469586064018889,0.0,7.964872685185185,4.737167047904858e-09
Ayberk Topcu,0.07723113414769092,0.0,8.533928571428572,6.482052906336172e-08
Mabel Nkosi,0.43390507073135937,0.0,6.148299963924964,0.0454548033191963
Vasco Monteiro,0.039942926950908224,0.0,8.179625496031747,1.4775419490163709e-08
Kenan Iskender,0.09421710342923006,0.0,9.1533203125,2.1414210311238024e-08
Martin Morales,0.15916986433019095,0.0,8.758992346938776,1.0584919993085671e-07
Tomasz Rajewski,0.14903441580957877,0.0,7.993801106301106,2.4779273876612212e-08
Lev Al-Kindi,0.22883527612237187,0.0,7.386115056818182,7.688745341793979e-08
Gustavs Ozolins,0.12677081922024794,0.0,8.500810185185186,4.693635441826531e-09
Gideon Low,0.10099401051497901,0.0,9.173788265306124,9.485707458363765e-08
Rafael S. Cedillo,0.28317437407576207,0.0,8.033370535714287,1.6992037566137663e-06
Bagus Mandri,0.33674120706812094,0.0,7.522972470238096,0.00013791601574953544
Horatio Carlyle,0.23082894821796104,0.0,7.916135204081634,7.545183770631323e-08
Giacomo Bianchi,0.006306242647009899,0.0,9.494047619047619,6.984037445589841e-10
Matija Sokol,0.16375669192937975,0.0,7.3598457532051285,8.471496592069028e-08
Risto Holappa,0.03841031711970209,0.0,9.094996279761904,1.568756240796082e-09
Fotios Karantos,0.16131244583461396,0.0,8.159294871794872,0.07692313942356363
Rohan Zwitters,0.017493987664771078,0.0,8.484933035714286,5.470386499686897e-09
Aurelius Wolff,0.2532801701431026,0.0,7.222330729166666,9.62950759365519e-09
Eun Suk Kang,0.11918659979781573,0.0,8.300037202380953,3.1857334339968624e-09
Aurelio Costanzo,0.12631197949546555,0.0,7.386010654261704,1.1850111706395875e-06
Farhad Al-Badri,0.14862958326167344,0.0,7.258101851851851,8.011694792031676e-07
Marius Ramonas,0.1593432436470553,0.0,7.506468918585954,0.02777854180574975
Branislav Horvath,0.10677138407649238,0.0,8.251171874999999,1.2236472714862584e-08
Freyja Arnaldsdottir,0.2427076186487686,0.0,7.525201955782313,5.5588039512713805e-08
Andor Bodnar,0.08119561416145839,0.0,9.13493716931217,1.522955032874293e-08
Helmut Kaiser,0.08097932908727737,0.0,8.80326450892857,2.1554262449527406e-08
Kai Yeo,0.06376432459386992,0.0,9.245470610119048,1.2433913690323983e-09
Arvind Malhotra,0.14306475557792941,0.0,7.698437500000002,8.26042415365269e-08
Arthit Yodsuwan,0.30943991627780765,0.0,7.146660052910052,2.5206048659732525e-08
Leonas Jucius,0.17080177001904268,0.0,8.12202656525573,8.299085670996723e-09
Henk van der Veld,0.3439185310006191,0.0,6.069893973214286,5.438660646422955e-07
Lukas Sovak,0.12732609420739324,0.0,7.5191840277777775,1.2834337209319258e-08
Aurelio Bianchi,0.06366782466564463,0.0,9.654629629629628,9.234387876280417e-09
Arman Shaimerden,0.2465910330677616,0.0,6.5,1.334748631811461e-07
Fergus O'Leary,0.3104314002441639,0.0,6.953210034013606,9.32073479653033e-07
Karla Stein,0.0984438999776733,0.0,9.634291294642857,2.8607731238604328e-08
Adrian Vasile,0.12995206514297394,0.0,7.771811224489795,1.1126757469237327e-07
Marceau Leroy,0.040460977272942684,0.0,8.546279761904762,2.256080775075204e-09
Silvino Azevedo,0.16098722279912128,0.0,8.530505952380953,5.2115383484898e-08
Devakumar Arumugam,0.11746878820233843,0.0,8.49392361111111,5.728089606804598e-09
Mikhail Fyodorov,0.10065431698343241,0.0,7.123095238095237,1.7908951907563698e-08
Miran Krstic,0.10783380053378913,0.0,8.483696771978023,1.6111372740600614e-08
Leonardo Carvalho,0.19802548658335858,0.0,7.550319602272727,4.1898109526955496e-08
Salvador Cifuentes,0.1455742075349132,0.0,8.392423115079366,1.9120021384211316e-06
Nabil Al-Rasheed,0.04173667700988662,0.0,7.575198412698413,9.24738014557786e-09
Rafael Nunes,0.0762125985491905,0.0,7.765162037037038,1.803711833441795e-09
Marek Saar,0.5876628056648477,0.0,5.280820105820107,3.706306117379056e-07
Roland Lancaster,0.402915645238568,0.0,6.1893837404457495,0.11328127754583978
Tariq Al-Fahim,0.08105097071456839,0.0,7.2109375,9.365078115775027e-09
Angus Redwood,0.22429122773293858,0.0,8.018880208333332,2.472616095813146e-09
Santino Martinez,0.13032769668973287,0.0,8.647135416666666,3.151402065262659e-07
Ulrik Hagen,0.15707706604972643,0.0,8.502199074074074,8.476071123023683e-08
Kalle Brandstr,0.08683569756189555,0.0,9.316666666666666,2.8195887206828987e-09
Santiago Riquelme,0.22769814736110575,0.0,6.537202380952381,2.6988311280229382e-08
Ezra Bar-Zakai,0.26856900815369983,0.0,7.7334821428571425,7.479195891977954e-08
Samir Al-Ghanim,0.14245000277454947,0.0,7.4450520833333345,2.8271222027916737e-08
Mason Collier,0.03965436052766125,0.0,7.974074074074074,2.431349164727493e-10
Konstantin Atanasov,0.1328825216096215,0.0,7.7746279761904775,3.3728471497999294e-08
Ernesto Aliaga,0.0447818822055988,0.0,8.976020408163265,1.490757672378531e-09
Minh Thuc Nguyen,0.08890828855151879,0.0,8.50094246031746,1.0501302579249416e-09
Wei Qiu,0.15816968506734305,0.0,8.504026124338624,1.3539240988763579e-08
Jonas Schneider,0.08668462545493069,0.0,9.122435897435897,1.99251418408248e-07
Leon Tomec,0.26454136389948935,0.0,8.221763392857143,1.6706978005297365e-06
Jamal Farrugia,0.14045611750009435,0.0,8.425276360544219,9.9433403921315e-09
