Entity,Beta,Mean
Adrian Vasile,"Beta(a=1, b=11.0)",0.08333333333333333
Andor Bodnar,"Beta(a=1, b=9.0)",0.1
Angus Redwood,"Beta(a=9.0, b=27.0)",0.25
Arman Shaimerden,"Beta(a=1, b=10.0)",0.09090909090909091
Arthit Yodsuwan,"Beta(a=1, b=9.0)",0.1
Arvind Malhotra,"Beta(a=1, b=11.0)",0.08333333333333333
Aurelio Bianchi,"Beta(a=5.0, b=20.0)",0.2
Aurelio Costanzo,"Beta(a=5.0, b=20.0)",0.2
Aurelius Wolff,"Beta(a=21.0, b=51.0)",0.2916666666666667
Ayberk Topcu,"Beta(a=1, b=10.0)",0.09090909090909091
Bagus Mandri,"Beta(a=1, b=10.0)",0.09090909090909091
Basim Al-Saleh,"Beta(a=1, b=10.0)",0.09090909090909091
Branislav Horvath,"Beta(a=1, b=10.0)",0.09090909090909091
Devakumar Arumugam,"Beta(a=1, b=10.0)",0.09090909090909091
Ernesto Aliaga,"Beta(a=1, b=9.0)",0.1
Eun Suk Kang,"Beta(a=1, b=9.0)",0.1
Eyal Peretz,"Beta(a=1, b=11.0)",0.08333333333333333
Ezra Bar-Zakai,"Beta(a=1, b=11.0)",0.08333333333333333
Farhad Al-Badri,"Beta(a=1, b=9.0)",0.1
Fergus O'Leary,"Beta(a=1, b=10.0)",0.09090909090909091
Fotios Karantos,"Beta(a=1, b=8.0)",0.1111111111111111
Freyja Arnaldsdottir,"Beta(a=1, b=10.0)",0.09090909090909091
Giacomo Bianchi,"Beta(a=1, b=10.0)",0.09090909090909091
Gideon Low,"Beta(a=1, b=10.0)",0.09090909090909091
Gustavs Ozolins,"Beta(a=1, b=11.0)",0.08333333333333333
Helmut Kaiser,"Beta(a=1, b=9.0)",0.1
Henk van der Veld,"Beta(a=1, b=10.0)",0.09090909090909091
Horatio Carlyle,"Beta(a=13.0, b=37.0)",0.26
Jamal Farrugia,"Beta(a=1, b=11.0)",0.08333333333333333
Jonas Schneider,"Beta(a=1, b=11.0)",0.08333333333333333
Kai Yeo,"Beta(a=1, b=10.0)",0.09090909090909091
Kalle Brandstr,"Beta(a=1, b=9.0)",0.1
Karla Stein,"Beta(a=1, b=10.0)",0.09090909090909091
Kenan Iskender,"Beta(a=1, b=12.0)",0.07692307692307693
Konstantin Atanasov,"Beta(a=1, b=9.0)",0.1
Laurent Delcour,"Beta(a=1, b=11.0)",0.08333333333333333
Leon Tomec,"Beta(a=1, b=10.0)",0.09090909090909091
Leonardo Carvalho,"Beta(a=1, b=11.0)",0.08333333333333333
Leonas Jucius,"Beta(a=1, b=10.0)",0.09090909090909091
Lev Al-Kindi,"Beta(a=1, b=9.0)",0.1
Lionel Seymour,"Beta(a=1, b=10.0)",0.09090909090909091
Lukas Sovak,"Beta(a=5.0, b=20.0)",0.2
Mabel Nkosi,"Beta(a=13.0, b=38.0)",0.2549019607843137
Magnus Toft-Hansen,"Beta(a=1, b=10.0)",0.09090909090909091
Marceau Leroy,"Beta(a=1, b=8.0)",0.1111111111111111
Marek Saar,"Beta(a=1, b=9.0)",0.1
Marius Ramonas,"Beta(a=1, b=10.0)",0.09090909090909091
Martin Morales,"Beta(a=1, b=10.0)",0.09090909090909091
Mason Collier,"Beta(a=1, b=11.0)",0.08333333333333333
Matija Sokol,"Beta(a=1, b=10.0)",0.09090909090909091
Mikhail Fyodorov,"Beta(a=5.0, b=21.0)",0.19230769230769232
Minh Thuc Nguyen,"Beta(a=5.0, b=19.0)",0.20833333333333334
Miran Krstic,"Beta(a=1, b=9.0)",0.1
Nabil Al-Rasheed,"Beta(a=1, b=10.0)",0.09090909090909091
Olavi Lehtonen,"Beta(a=1, b=12.0)",0.07692307692307693
Rafael Nunes,"Beta(a=1, b=12.0)",0.07692307692307693
Rafael S. Cedillo,"Beta(a=1, b=10.0)",0.09090909090909091
Risto Holappa,"Beta(a=1, b=9.0)",0.1
Rohan Zwitters,"Beta(a=1, b=11.0)",0.08333333333333333
Roland Lancaster,"Beta(a=89.0, b=156.0)",0.363265306122449
Salvador Cifuentes,"Beta(a=1, b=10.0)",0.09090909090909091
Samir Al-Ghanim,"Beta(a=1, b=11.0)",0.08333333333333333
Santiago Riquelme,"Beta(a=1, b=11.0)",0.08333333333333333
Santino Martinez,"Beta(a=5.0, b=20.0)",0.2
Silvino Azevedo,"Beta(a=1, b=10.0)",0.09090909090909091
Tadao Miyashimizu,"Beta(a=1, b=10.0)",0.09090909090909091
Tariq Al-Fahim,"Beta(a=1, b=8.0)",0.1111111111111111
Tomasz Rajewski,"Beta(a=1, b=9.0)",0.1
Ulrik Hagen,"Beta(a=1, b=10.0)",0.09090909090909091
Vasco Monteiro,"Beta(a=1, b=11.0)",0.08333333333333333
Wei Qiu,"Beta(a=1, b=10.0)",0.09090909090909091
