Entity,Entropy,SemanticEntropy,Gap,Refusal
Laurent Delcour,0.576720015423689,0.0,5.372135416666667,1.7299102845758084e-07
Eyal Peretz,0.14202812686193284,0.0,7.7456249999999995,4.406912239809935e-07
Olavi Lehtonen,0.08993585150420778,0.0,8.261931818181818,3.8879064412356e-09
Magnus Toft-Hansen,0.307353320958076,0.0,6.996651785714286,1.2614660227012248e-06
Basim Al-Saleh,0.2327645876343193,0.0,6.647365520282187,2.0358699788718896e-06
Tadao Miyashimizu,0.5012263969079683,0.0,5.881712962962963,1.1588662500851122e-06
Lionel Seymour,0.24688959974525707,0.0,6.783112373737374,0.0018199201998849385
Ayberk Topcu,0.03334633924469932,0.0,8.110648148148147,9.542879819690597e-09
Mabel Nkosi,0.4646763817348013,0.0,6.007135416666667,0.03750016549411082
Vasco Monteiro,0.18563295233649443,0.0,7.7312398538961045,2.5319284551600374e-07
Kenan Iskender,0.30111427055655454,0.0,7.162607610192837,9.810562138298595e-06
Martin Morales,0.18288491553701822,0.0,8.321133958633958,1.8591587914428462e-07
Tomasz Rajewski,0.24657569863711615,0.0,6.3662109375,3.599594684544627e-07
Lev Al-Kindi,0.09740462740692617,0.0,7.378906249999999,3.379822209820596e-07
Gustavs Ozolins,0.18695507492138858,0.0,7.270833333333334,1.251377704361567e-07
Gideon Low,0.11605159149906494,0.0,7.926008597883598,8.971633766159515e-07
Rafael S. Cedillo,0.0563769728412808,0.0,7.662731481481482,1.0008255631651272e-08
Bagus Mandri,0.0796622849481739,0.0,8.377314814814815,1.6678898800353497e-07
Horatio Carlyle,0.39367545337295223,0.0,6.099910968660969,0.07692885502387418
Giacomo Bianchi,0.1875915353610051,0.0,6.609455515297906,1.466762685148954e-06
Matija Sokol,0.1809865085539261,0.0,7.690740740740741,7.814157147271554e-08
Risto Holappa,0.0659990227554772,0.0,8.53096590909091,7.694446283249001e-08
Fotios Karantos,0.27849272395161234,0.0,7.658333333333334,4.4604473676506426e-07
Salvador Cifuentes,0.17815870383111412,0.0,7.7700810185185185,8.310846417231627e-08
Freyja Arnaldsdottir,0.032450361315914916,0.0,8.716765873015873,5.936349955470063e-07
Aurelio Bianchi,0.09650245868607486,0.0,8.29531498015873,0.05000013007599483
Kalle Brandstr,0.2705239168190495,0.0,7.663597470238095,1.6290648243488803e-05
Devakumar Arumugam,0.4900198053854738,0.0,5.632460016835017,2.2522488405458182e-06
Samir Al-Ghanim,0.15103163736212688,0.0,7.088958333333333,6.314176005328686e-07
Eun Suk Kang,0.12527795447746637,0.0,8.2759765625,0.0022556670359211092
Ernesto Aliaga,0.032879889133037445,0.0,9.430121527777779,7.769541565672e-09
Henk van der Veld,0.3855422742097571,0.0,6.212665343915344,1.7034604701630467e-06
Ezra Bar-Zakai,0.3504727576914115,0.0,7.0103125,3.4017334969993486e-07
Branislav Horvath,0.23673140789752425,0.0,8.091319444444444,7.737633873134482e-08
Marceau Leroy,0.08904597339310892,0.0,7.441666666666667,6.69118109729107e-09
Kai Yeo,0.33673847526351897,0.0,7.159722222222222,2.881747105696084e-07
Leonas Jucius,0.059813443195269905,0.0,7.4119212962962955,1.0702409113260025e-08
Mikhail Fyodorov,0.22931673924504184,0.0,7.180704365079365,0.047619685433902305
Aurelio Costanzo,0.09369101282329516,0.0,8.406484375,0.02500000475933371
Leonardo Carvalho,0.1388359010707346,0.0,7.460426587301588,2.2860387865364375e-06
Rohan Zwitters,0.2810487871048792,0.0,7.173779761904763,1.25974676520868e-07
Konstantin Atanasov,0.06689732340258463,0.0,8.416493055555556,9.340275705649326e-09
Farhad Al-Badri,0.145802720621292,0.0,7.010199652777779,4.136715108654654e-08
Wei Qiu,0.2370559008161926,0.0,6.981385030864197,1.0910929652367211e-07
Roland Lancaster,0.6231209734962496,0.0,4.003042665983528,0.07452716318471869
Santino Martinez,0.3554776431961618,0.0,6.117286931818182,0.02500032456489726
Minh Thuc Nguyen,0.3981908665055373,0.0,6.382419590643274,0.026316247367880817
Jamal Farrugia,0.27853929642729625,0.0,7.082291666666667,3.666619408093652e-07
Tariq Al-Fahim,0.24975880482659357,0.0,7.588038003663003,4.370839932012403e-06
Arthit Yodsuwan,0.22913158256858424,0.0,7.845052083333333,3.81232840990231e-08
Lukas Sovak,0.11772750412121953,0.0,9.162353670634921,0.05000002390680132
Helmut Kaiser,0.1616218830187184,0.0,7.676302083333333,3.670028725366592e-09
Fergus O'Leary,0.43112585400016945,0.0,5.4304398148148145,2.3194878693288956e-06
Marek Saar,0.17289862022638214,0.0,8.106966145833335,7.228213841359299e-08
Adrian Vasile,0.2678513858383204,0.0,6.268693181818183,5.027691556275249e-08
Arman Shaimerden,0.2826643069450054,0.0,7.428356481481482,3.1367626422541663e-07
Andor Bodnar,0.14970854286828703,0.0,7.259895833333333,9.219081964148557e-08
Miran Krstic,0.020618144941818174,0.0,8.406380208333333,6.472878038080165e-08
Aurelius Wolff,0.23707631294397546,0.0,7.255313852813856,0.05454554305095582
Nabil Al-Rasheed,0.2573802369661111,0.0,7.0078125,1.4009150530982752e-06
Ulrik Hagen,0.07769925689448638,0.0,7.510499338624339,1.472307124241981e-07
Marius Ramonas,0.19282366786546412,0.0,7.601851851851852,1.4403199722716012e-07
Jonas Schneider,0.3888368345162039,0.0,6.463034361471863,2.7316797530763102e-06
Arvind Malhotra,0.2996160164215722,0.0,7.39813446969697,1.62679372713026e-07
Mason Collier,0.32353034201068215,0.0,6.497256944444445,0.0017593178224273435
Leon Tomec,0.22753336493425858,0.0,6.7459490740740735,0.0005118183344163437
Santiago Riquelme,0.19808157781363359,0.0,7.422083333333333,8.682582198146772e-08
Karla Stein,0.11791126904354989,0.0,7.028935185185185,2.9312753756690253e-08
Angus Redwood,0.33205451102638633,0.0,6.225839710884353,0.03571890885486268
Rafael Nunes,0.18101886005467047,0.0,7.159753787878787,1.4350045600282482e-07
Silvino Azevedo,0.09751022405117223,0.0,7.175491021324356,1.5097926760650655e-08
