Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1, b=23.0)",0.041666666666666664
Clsvfw AG,"Beta(a=1, b=21.0)",0.045454545454545456
Cqndue LLC,"Beta(a=1, b=23.0)",0.041666666666666664
Ctvepy SAS,"Beta(a=1, b=19.0)",0.05
Dmimyu GmbH,"Beta(a=1, b=21.0)",0.045454545454545456
Ecxk Avfj,"Beta(a=1, b=21.0)",0.045454545454545456
Errg Zipo,"Beta(a=1, b=19.0)",0.05
Ffsi Mneb,"Beta(a=1, b=21.0)",0.045454545454545456
Jzrcws SA,"Beta(a=472.05519005767314, b=38.0)",0.9254982583439584
Lasnoj SAS,"Beta(a=1, b=21.0)",0.045454545454545456
Mjlwxf NV,"Beta(a=1, b=20.0)",0.047619047619047616
Mnmi Haem,"Beta(a=2.23077207099543, b=23.0)",0.08841473676344061
Nchdfd AG,"Beta(a=1, b=21.0)",0.045454545454545456
Okrb Qxpd,"Beta(a=1, b=24.0)",0.04
Qpubwe PLC,"Beta(a=1, b=24.0)",0.04
Qsihxg GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Skqn Esui,"Beta(a=1, b=22.0)",0.043478260869565216
Tapd Abuk,"Beta(a=1, b=24.0)",0.04
Txctcl AG,"Beta(a=1, b=22.0)",0.043478260869565216
Vkitze GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Wnzatj SAS,"Beta(a=3.05128005267487, b=271.0)",0.011133974824304376
Xqtb Laur,"Beta(a=1, b=22.0)",0.043478260869565216
Yrnw Lvgj,"Beta(a=1, b=22.0)",0.043478260869565216
