Entity,Entropy,SemanticEntropy,Gap,Refusal
Qpubwe PLC,0.305704005179908,0.0,8.154270382395381,1.11987530520248e-06
Tapd Abuk,0.34799350010396823,0.0,8.046545138888888,5.841026186725884e-07
Avrbci Ltd,0.32761538472502,0.0,8.684288911845728,0.022727817374379324
Ctvepy SAS,0.3648902519363046,0.0,8.026767676767678,1.106263278170185e-06
Vkitze GmbH,0.21329582256568058,0.0,8.779877645502646,2.0197211309630745e-07
Xqtb Laur,0.2624476498630011,0.0,8.908407123179853,2.0706026179509704e-07
Cqndue LLC,0.2501224597847542,0.0,8.915171055796057,4.0716051993271624e-07
Skqn Esui,0.26092159577371316,0.0,8.8443023989899,7.748316228343042e-07
Jzrcws SA,0.32807526330521736,0.0,8.404403648600073,0.003664973115567729
Okrb Qxpd,0.24670244620349183,0.0,8.37013888888889,2.71881485351961e-07
Dmimyu GmbH,0.2918874380224554,0.0,9.283617424242424,4.3904841651839044e-07
Txctcl AG,0.234908712197597,0.0,8.787763476602763,3.84686595352761e-07
Qsihxg GmbH,0.25166802017073825,0.0,8.567162698412698,6.012914045561146e-07
Errg Zipo,0.2919232864675799,0.0,9.149564393939395,2.165041357748976e-07
Clsvfw AG,0.2604603531642367,0.0,9.225946969696967,2.532266747552873e-07
Mjlwxf NV,0.27117331280786183,0.0,8.696859903381643,6.220868407986843e-07
Ajoo Gufx,0.29088566858623666,0.0,8.308715277777779,2.8850069556038414e-07
Mnmi Haem,0.25401305872361557,0.0,9.82078125,3.8035511328936287e-06
Wnzatj SAS,0.8993821403558688,0.0,3.6331027443681156,0.4445726552714333
Yrnw Lvgj,0.2503187173168594,0.0,8.745409325522964,0.022727471583917924
Ffsi Mneb,0.3985915075957856,0.0,7.98949718045113,3.2532840411135743e-06
Lasnoj SAS,0.32406032390646894,0.0,8.941335978835978,4.970230893851302e-06
Ecxk Avfj,0.24726789349994902,0.0,9.542174508692366,7.063807618576787e-07
Nchdfd AG,0.26526554603872887,0.0,8.730807550292845,2.6974637092773015e-07
