Entity,Beta,Mean
Ajoo Gufx,"Beta(a=1, b=21.0)",0.045454545454545456
Avrbci Ltd,"Beta(a=1, b=23.0)",0.041666666666666664
Clsvfw AG,"Beta(a=1, b=23.0)",0.041666666666666664
Cqndue LLC,"Beta(a=1, b=19.0)",0.05
Ctvepy SAS,"Beta(a=1, b=23.0)",0.041666666666666664
Dmimyu GmbH,"Beta(a=1, b=24.0)",0.04
Ecxk Avfj,"Beta(a=1, b=23.0)",0.041666666666666664
Errg Zipo,"Beta(a=1, b=21.0)",0.045454545454545456
Ffsi Mneb,"Beta(a=1, b=20.0)",0.047619047619047616
Jzrcws SA,"Beta(a=68.40857800367706, b=242.0)",0.22038236972583503
Lasnoj SAS,"Beta(a=1, b=22.0)",0.043478260869565216
Mjlwxf NV,"Beta(a=1, b=24.0)",0.04
Mnmi Haem,"Beta(a=1, b=24.0)",0.04
Nchdfd AG,"Beta(a=1, b=18.0)",0.05263157894736842
Okrb Qxpd,"Beta(a=1, b=23.0)",0.041666666666666664
Qpubwe PLC,"Beta(a=1, b=22.0)",0.043478260869565216
Qsihxg GmbH,"Beta(a=1, b=22.0)",0.043478260869565216
Skqn Esui,"Beta(a=1, b=23.0)",0.041666666666666664
Tapd Abuk,"Beta(a=1, b=21.0)",0.045454545454545456
Txctcl AG,"Beta(a=1, b=22.0)",0.043478260869565216
Vkitze GmbH,"Beta(a=1, b=23.0)",0.041666666666666664
Wnzatj SAS,"Beta(a=348.54866188926945, b=100.0)",0.7770587485897207
Xqtb Laur,"Beta(a=1, b=24.0)",0.04
Yrnw Lvgj,"Beta(a=1, b=23.0)",0.041666666666666664
